"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[sampling site]"	"Sample Characteristic Ontology Term[sampling site]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Sample Characteristic[histology]"	"Sample Characteristic Ontology Term[histology]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[histology]"	"Factor Value Ontology Term[histology]"	"Factor Value[sampling site]"	"Factor Value Ontology Term[sampling site]"
"SRR2973279"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_02"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973280"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_03"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973281"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_04"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973282"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_05"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973283"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_06"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973284"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_08"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973285"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_10"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973286"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_12"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973287"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_33"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR2973288"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC01"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC01_34"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
