SYMBOL,ENSEMBL
HELLS,ENSG00000119969
EXO1,ENSG00000174371
CDC6,ENSG00000094804
MCM4,ENSG00000104738
MRPL36,ENSG00000171421
USP1,ENSG00000162607
POLD3,ENSG00000077514
UHRF1,ENSG00000276043
RPA2,ENSG00000117748
WDR76,ENSG00000092470
BLM,ENSG00000197299
RRM1,ENSG00000167325
CENPU,ENSG00000151725
CDC45,ENSG00000093009
PRIM1,ENSG00000198056
POLA1,ENSG00000101868
UNG,ENSG00000076248
MCM6,ENSG00000076003
MCM2,ENSG00000073111
FEN1,ENSG00000168496
TYMS,ENSG00000176890
NASP,ENSG00000132780
CHAF1B,ENSG00000159259
BRIP1,ENSG00000136492
RAD51,ENSG00000051180
DTL,ENSG00000143476
MSH2,ENSG00000095002
DSCC1,ENSG00000136982
PCNA,ENSG00000132646
RFC2,ENSG00000049541
CDCA7,ENSG00000144354
RAD51AP1,ENSG00000111247
POLR1B,ENSG00000125630
UBR7,ENSG00000278787
UBR7,ENSG00000012963
GINS2,ENSG00000131153
SLBP,ENSG00000163950
CLSPN,ENSG00000092853
MCM7,ENSG00000166508
RRM2,ENSG00000171848
CASP8AP2,ENSG00000288475
CASP8AP2,ENSG00000118412
ATAD2,ENSG00000156802
MCM5,ENSG00000100297
E2F8,ENSG00000129173
CCNE2,ENSG00000175305
TIPIN,ENSG00000075131
GMNN,ENSG00000112312
