SYMBOL,ENSEMBL
PSRC1,ENSG00000134222
CKAP2,ENSG00000136108
CDCA8,ENSG00000134690
TTK,ENSG00000112742
TOP2A,ENSG00000131747
KIF23,ENSG00000137807
CDCA2,ENSG00000184661
TMPO,ENSG00000120802
SMC4,ENSG00000113810
CKAP5,ENSG00000175216
CTCF,ENSG00000102974
CKS2,ENSG00000123975
KIF2C,ENSG00000142945
ECT2,ENSG00000114346
DLGAP5,ENSG00000126787
NEK2,ENSG00000117650
BIRC5,ENSG00000089685
HMMR,ENSG00000072571
PIMREG,ENSG00000129195
ANP32E,ENSG00000143401
GTSE1,ENSG00000075218
CENPA,ENSG00000115163
G2E3,ENSG00000092140
CKAP2L,ENSG00000169607
JPT1,ENSG00000189159
BUB1,ENSG00000169679
UBE2C,ENSG00000175063
KIF20B,ENSG00000138182
NCAPD2,ENSG00000010292
HMGB2,ENSG00000164104
ANLN,ENSG00000011426
CDCA3,ENSG00000111665
LBR,ENSG00000143815
NUSAP1,ENSG00000137804
CENPF,ENSG00000117724
CBX5,ENSG00000094916
HJURP,ENSG00000123485
KIF11,ENSG00000138160
CDC25C,ENSG00000158402
CENPE,ENSG00000138778
GAS2L3,ENSG00000139354
AURKB,ENSG00000178999
NDC80,ENSG00000080986
MKI67,ENSG00000148773
TACC3,ENSG00000013810
RANGAP1,ENSG00000100401
CDK1,ENSG00000170312
CDC20,ENSG00000117399
NUF2,ENSG00000143228
TPX2,ENSG00000088325
AURKA,ENSG00000087586
CCNB2,ENSG00000157456
CKS1B,ENSG00000173207
TUBB4B,ENSG00000188229
