symbol,entrez,ensembl
AK2,204,ENSG00000004455
ANP32E,81611,ENSG00000143401
ASF1A,25842,ENSG00000111875
ASF1B,55723,ENSG00000105011
ASF1B,55723,ENSG00000288210
ATAD2,29028,ENSG00000156802
AURKA,6790,ENSG00000087586
AURKB,9212,ENSG00000178999
BARD1,580,ENSG00000138376
BIRC5,332,ENSG00000089685
BRCA1,672,ENSG00000012048
BRCA2,675,ENSG00000139618
BRMS1L,84312,ENSG00000100916
BUB1B,701,ENSG00000156970
CBX5,23468,ENSG00000094916
CCNB2,9133,ENSG00000157456
CCNE1,898,ENSG00000105173
CCP110,9738,ENSG00000103540
CDC20,991,ENSG00000117399
CDC25A,993,ENSG00000164045
CDC25B,994,ENSG00000101224
CDCA3,83461,ENSG00000111665
CDCA8,55143,ENSG00000134690
CDK1,983,ENSG00000170312
CDK4,1019,ENSG00000135446
CDKN1A,1026,ENSG00000124762
CDKN1B,1027,ENSG00000111276
CDKN2A,1029,ENSG00000147889
CDKN2C,1031,ENSG00000123080
CDKN3,1033,ENSG00000100526
CENPE,1062,ENSG00000138778
CENPM,79019,ENSG00000100162
CHEK1,1111,ENSG00000149554
CHEK2,11200,ENSG00000183765
CIT,11113,ENSG00000122966
CKS1B,1163,ENSG00000173207
CKS2,1164,ENSG00000123975
CNOT9,9125,ENSG00000144580
CSE1L,1434,ENSG00000124207
CTCF,10664,ENSG00000102974
CTPS1,1503,ENSG00000171793
DCK,1633,ENSG00000156136
DCLRE1B,64858,ENSG00000118655
DCTPP1,79077,ENSG00000179958
DDX39A,10212,ENSG00000123136
DEK,7913,ENSG00000124795
DEPDC1,55635,ENSG00000024526
DIAPH3,81624,ENSG00000139734
DLGAP5,9787,ENSG00000126787
DNMT1,1786,ENSG00000130816
DONSON,29980,ENSG00000159147
DSCC1,79075,ENSG00000136982
DUT,1854,ENSG00000128951
E2F8,79733,ENSG00000129173
EED,8726,ENSG00000074266
EIF2S1,1965,ENSG00000134001
ESPL1,9700,ENSG00000135476
EXOSC8,11340,ENSG00000120699
EZH2,2146,ENSG00000106462
GINS1,9837,ENSG00000101003
GINS3,64785,ENSG00000181938
GINS4,84296,ENSG00000147536
GSPT1,2935,ENSG00000103342
H2AX,3014,ENSG00000188486
H2AZ1,3015,ENSG00000164032
HELLS,3070,ENSG00000119969
HMGA1,3159,ENSG00000137309
HMGB2,3148,ENSG00000164104
HMGB3,3149,ENSG00000029993
HMMR,3161,ENSG00000072571
HNRNPD,3184,ENSG00000138668
HUS1,3364,ENSG00000136273
ILF3,3609,ENSG00000129351
ING3,54556,ENSG00000071243
IPO7,10527,ENSG00000205339
JPT1,51155,ENSG00000189159
KIF18B,146909,ENSG00000186185
KIF22,3835,ENSG00000079616
KIF2C,11004,ENSG00000142945
KIF4A,24137,ENSG00000090889
KPNA2,3838,ENSG00000182481
LBR,3930,ENSG00000143815
LIG1,3978,ENSG00000105486
LMNB1,4001,ENSG00000113368
LUC7L3,51747,ENSG00000108848
LYAR,55646,ENSG00000145220
MAD2L1,4085,ENSG00000164109
MCM2,4171,ENSG00000073111
MCM3,4172,ENSG00000112118
MCM4,4173,ENSG00000104738
MCM5,4174,ENSG00000100297
MCM6,4175,ENSG00000076003
MCM7,4176,ENSG00000166508
MELK,9833,ENSG00000165304
MKI67,4288,ENSG00000148773
MLH1,4292,ENSG00000076242
MMS22L,253714,ENSG00000146263
MRE11,4361,ENSG00000020922
MSH2,4436,ENSG00000095002
MTHFD2,10797,ENSG00000065911
MXD3,83463,ENSG00000213347
MYBL2,4605,ENSG00000101057
MYC,4609,ENSG00000136997
NAA38,84316,ENSG00000183011
NAP1L1,4673,ENSG00000187109
NASP,4678,ENSG00000132780
NBN,4683,ENSG00000104320
NCAPD2,9918,ENSG00000010292
NME1,4830,ENSG00000239672
NOLC1,9221,ENSG00000166197
NOP56,10528,ENSG00000101361
NUDT21,11051,ENSG00000167005
NUP107,57122,ENSG00000111581
NUP153,9972,ENSG00000124789
NUP205,23165,ENSG00000155561
ORC2,4999,ENSG00000115942
ORC6,23594,ENSG00000091651
PA2G4,5036,ENSG00000170515
PAICS,10606,ENSG00000128050
PAN2,9924,ENSG00000135473
PCNA,5111,ENSG00000132646
PDS5B,23047,ENSG00000083642
PHF5A,84844,ENSG00000100410
PLK1,5347,ENSG00000166851
PLK4,10733,ENSG00000142731
PMS2,5395,ENSG00000122512
PNN,5411,ENSG00000100941
POLA2,23649,ENSG00000014138
POLD1,5424,ENSG00000062822
POLD2,5425,ENSG00000106628
POLD3,10714,ENSG00000077514
POLE,5426,ENSG00000177084
POLE4,56655,ENSG00000115350
POP7,10248,ENSG00000172336
PPM1D,8493,ENSG00000170836
PPP1R8,5511,ENSG00000117751
PRDX4,10549,ENSG00000123131
PRIM2,5558,ENSG00000146143
PRKDC,5591,ENSG00000253729
PRPS1,5631,ENSG00000147224
PSIP1,11168,ENSG00000164985
PSMC3IP,29893,ENSG00000131470
PTTG1,9232,ENSG00000164611
RACGAP1,29127,ENSG00000161800
RAD1,5810,ENSG00000113456
RAD21,5885,ENSG00000164754
RAD50,10111,ENSG00000113522
RAD51AP1,10635,ENSG00000111247
RAD51C,5889,ENSG00000108384
RAN,5901,ENSG00000132341
RANBP1,5902,ENSG00000099901
RBBP7,5931,ENSG00000102054
RFC1,5981,ENSG00000035928
RFC2,5982,ENSG00000049541
RFC3,5983,ENSG00000133119
RNASEH2A,10535,ENSG00000104889
RPA1,6117,ENSG00000132383
RPA2,6118,ENSG00000117748
RPA3,6119,ENSG00000106399
RRM2,6241,ENSG00000171848
SHMT1,6470,ENSG00000176974
SHMT1,6470,ENSG00000284320
SLBP,7884,ENSG00000163950
SMC1A,8243,ENSG00000072501
SMC3,9126,ENSG00000108055
SMC4,10051,ENSG00000113810
SMC6,79677,ENSG00000163029
SNRPB,6628,ENSG00000125835
SPAG5,10615,ENSG00000076382
SPC24,147841,ENSG00000161888
SPC25,57405,ENSG00000152253
SPC25,57405,ENSG00000277909
SRSF1,6426,ENSG00000136450
SRSF2,6427,ENSG00000161547
SSRP1,6749,ENSG00000149136
STAG1,10274,ENSG00000118007
STMN1,3925,ENSG00000117632
SUV39H1,6839,ENSG00000101945
SYNCRIP,10492,ENSG00000135316
TACC3,10460,ENSG00000013810
TBRG4,9238,ENSG00000136270
TCF19,6941,ENSG00000137310
TCF19,6941,ENSG00000206455
TCF19,6941,ENSG00000224379
TCF19,6941,ENSG00000224472
TCF19,6941,ENSG00000224941
TCF19,6941,ENSG00000233890
TCF19,6941,ENSG00000234674
TFRC,7037,ENSG00000072274
TIMELESS,8914,ENSG00000111602
TIPIN,54962,ENSG00000075131
TK1,7083,ENSG00000167900
TMPO,7112,ENSG00000120802
TOP2A,7153,ENSG00000131747
TP53,7157,ENSG00000141510
TRA2B,6434,ENSG00000136527
TRIP13,9319,ENSG00000071539
TUBB,203068,ENSG00000183311
TUBB,203068,ENSG00000196230
TUBB,203068,ENSG00000224156
TUBB,203068,ENSG00000227739
TUBB,203068,ENSG00000229684
TUBB,203068,ENSG00000232421
TUBB,203068,ENSG00000232575
TUBB,203068,ENSG00000235067
TUBG1,7283,ENSG00000131462
UBE2S,27338,ENSG00000108106
UBE2T,29089,ENSG00000077152
UBR7,55148,ENSG00000012963
UBR7,55148,ENSG00000278787
UNG,7374,ENSG00000076248
USP1,7398,ENSG00000162607
WDR90,197335,ENSG00000161996
WEE1,7465,ENSG00000166483
XPO1,7514,ENSG00000082898
XRCC6,2547,ENSG00000196419
ZW10,9183,ENSG00000086827
