SYMBOL,ENTREZ,ENSEMBL
ECH1,1891,
CIDEA,1149,ENSG00000176194
PEX14,5195,ENSG00000142655
LEP,3952,ENSG00000174697
UQCRC1,7384,ENSG00000010256
SPARCL1,8404,ENSG00000152583
PREB,10113,ENSG00000138073
SUCLG1,8802,ENSG00000163541
ITIH5,80760,ENSG00000123243
RETSAT,54884,
UQCR10,29796,ENSG00000184076
GHITM,27069,ENSG00000165678
RETN,56729,ENSG00000104918
ARAF,369,ENSG00000078061
UQCR11,10975,ENSG00000127540
TOB1,10140,ENSG00000141232
ADCY6,112,ENSG00000174233
SLC5A6,8884,ENSG00000138074
SNCG,6623,ENSG00000173267
STOM,2040,ENSG00000148175
COX8A,1351,ENSG00000176340
FZD4,8322,ENSG00000174804
ABCA1,19,ENSG00000165029
OMD,4958,
GADD45A,1647,ENSG00000116717
TALDO1,6888,ENSG00000177156
RMDN3,55177,ENSG00000137824
CMBL,134147,ENSG00000164237
POR,5447,ENSG00000127948
UCK1,83549,ENSG00000130717
SSPN,8082,ENSG00000123096
CD302,9936,ENSG00000241399
PEMT,10400,ENSG00000133027
NMT1,4836,ENSG00000136448
ITSN1,6453,ENSG00000205726
BAZ2A,11176,ENSG00000076108
MGST3,4259,ENSG00000143198
MRPL15,29088,ENSG00000137547
MYLK,4638,ENSG00000065534
C3,718,ENSG00000125730
PRDX3,10935,ENSG00000165672
SULT1A1,6817,
LIPE,3991,ENSG00000079435
GRPEL1,80273,ENSG00000109519
SCP2,6342,ENSG00000116171
APOE,348,ENSG00000130203
SLC19A1,6573,ENSG00000173638
DECR1,1666,ENSG00000104325
STAT5A,6776,ENSG00000126561
CS,1431,ENSG00000062485
VEGFB,7423,ENSG00000173511
CCNG2,901,ENSG00000138764
MRAP,56246,ENSG00000170262
ALDOA,226,ENSG00000149925
MGLL,11343,ENSG00000074416
COX7B,1349,ENSG00000131174
MTARC2,54996,ENSG00000117791
ADIPOR2,79602,
ECHS1,1892,ENSG00000127884
NKIRAS1,28512,ENSG00000197885
CD36,948,ENSG00000135218
ADIG,149685,ENSG00000182035
ADIPOQ,9370,ENSG00000181092
MAP4K3,8491,ENSG00000011566
CDKN2C,1031,ENSG00000123080
IFNGR1,3459,ENSG00000027697
MDH2,4191,ENSG00000146701
DGAT1,8694,
ELOVL6,79071,ENSG00000170522
ELMOD3,84173,ENSG00000115459
MCCC1,56922,ENSG00000078070
SQOR,58472,ENSG00000137767
SORBS1,10580,ENSG00000095637
DHRS7,51635,ENSG00000100612
COL4A1,1282,ENSG00000187498
FABP4,2167,ENSG00000170323
ESYT1,23344,ENSG00000139641
GPAM,57678,ENSG00000119927
NDUFAB1,4706,ENSG00000004779
LPCAT3,10162,ENSG00000111684
ANGPTL4,51129,ENSG00000167772
ATP5PO,539,ENSG00000241837
PPARG,5468,ENSG00000132170
DLD,1738,ENSG00000091140
PLIN2,123,ENSG00000147872
TKT,7086,ENSG00000163931
CMPK1,51727,ENSG00000162368
ORM1,5004,ENSG00000229314
SLC66A3,130814,ENSG00000162976
ATL2,64225,ENSG00000119787
PTGER3,5733,ENSG00000050628
GBE1,2632,ENSG00000114480
SAMM50,25813,ENSG00000100347
ACADM,34,ENSG00000117054
ACADL,33,ENSG00000115361
AIFM1,9131,ENSG00000156709
ENPP2,5168,ENSG00000136960
DLAT,1737,ENSG00000150768
GPAT4,137964,ENSG00000158669
RIOK3,8780,ENSG00000101782
ACADS,35,ENSG00000122971
CAVIN1,284119,ENSG00000177469
PHYH,5264,ENSG00000107537
PTCD3,55037,ENSG00000132300
CAVIN2,8436,ENSG00000168497
APLP2,334,ENSG00000084234
ATP1B3,483,ENSG00000069849
LIFR,3977,ENSG00000113594
SDHB,6390,ENSG00000117118
FAH,2184,ENSG00000103876
SDHC,6391,ENSG00000143252
RAB34,83871,ENSG00000109113
UQCRQ,27089,ENSG00000164405
GPD2,2820,ENSG00000115159
PDCD4,27250,ENSG00000150593
DHCR7,1717,ENSG00000172893
CRAT,1384,ENSG00000095321
PPP1R15B,84919,ENSG00000158615
PHLDB1,23187,ENSG00000019144
SLC27A1,376497,ENSG00000130304
UCP2,7351,ENSG00000175567
SLC1A5,6510,ENSG00000105281
TANK,10010,ENSG00000136560
COX6A1,1337,ENSG00000111775
BCL2L13,23786,ENSG00000099968
ESRRA,2101,ENSG00000173153
IDH1,3417,ENSG00000138413
NABP1,64859,ENSG00000173559
EPHX2,2053,ENSG00000120915
CHCHD10,400916,
DNAJC15,29103,ENSG00000120675
ACLY,47,ENSG00000131473
QDPR,5860,ENSG00000151552
REEP6,92840,ENSG00000115255
REEP5,7905,ENSG00000129625
PFKFB3,5209,ENSG00000170525
CD151,977,ENSG00000177697
LPL,4023,ENSG00000175445
AK2,204,ENSG00000004455
UBC,7316,ENSG00000150991
G3BP2,9908,ENSG00000138757
PIM3,415116,ENSG00000198355
ACAA2,10449,ENSG00000167315
CYC1,1537,ENSG00000179091
HADH,3033,ENSG00000138796
BCKDHA,593,ENSG00000248098
GPX3,2878,ENSG00000211445
JAGN1,84522,ENSG00000171135
ANGPT1,284,ENSG00000154188
GPX4,2879,ENSG00000167468
COQ9,57017,ENSG00000088682
COQ5,84274,ENSG00000110871
COQ3,51805,ENSG00000132423
BCL6,604,ENSG00000113916
ACOX1,51,ENSG00000161533
NDUFS3,4722,ENSG00000213619
ACO2,50,ENSG00000100412
ITGA7,3679,ENSG00000135424
ARL4A,10124,ENSG00000122644
RTN3,10313,ENSG00000133318
