SYMBOL,ENTREZ,ENSEMBL
KRT1,3848,ENSG00000167768
EREG,2069,ENSG00000124882
CD2,914,ENSG00000116824
CD4,920,ENSG00000010610
CD7,924,ENSG00000173762
IL2RG,3561,ENSG00000147168
IL27RA,9466,
PSMB10,5699,ENSG00000205220
AKT1,207,ENSG00000142208
APBB1,322,ENSG00000166313
B2M,567,
GBP2,2634,ENSG00000162645
ELANE,1991,
FYB1,2533,ENSG00000082074
PRKCG,5582,ENSG00000126583
ST8SIA4,7903,ENSG00000113532
HLA-A,3105,
PRKCB,5579,ENSG00000166501
HLA-G,3135,
HLA-E,3133,
RPL3L,6123,
SPI1,6688,ENSG00000066336
BCL10,8915,ENSG00000142867
PRF1,5551,ENSG00000180644
CD1D,912,ENSG00000158473
HIF1A,3091,ENSG00000100644
RPL9,6133,ENSG00000163682
CFP,5199,ENSG00000126759
C2,717,
ICAM1,3383,ENSG00000090339
CD79A,973,ENSG00000105369
MRPL3,11222,ENSG00000114686
RPS19,6223,ENSG00000105372
IL12B,3593,ENSG00000113302
RPL39,6170,ENSG00000198918
IL12A,3592,ENSG00000168811
CCR2,729230,ENSG00000121807
IL11,3589,ENSG00000095752
CCR1,1230,ENSG00000163823
LYN,4067,ENSG00000254087
IL10,3586,ENSG00000136634
CCL22,6367,ENSG00000102962
IL15,3600,ENSG00000164136
IL16,3603,ENSG00000172349
IL13,3596,ENSG00000169194
LIF,3976,ENSG00000128342
IL18,3606,ENSG00000150782
NME1,4830,ENSG00000239672
TLR2,7097,ENSG00000137462
IL1B,3553,ENSG00000125538
TLR1,7096,ENSG00000174125
PTPRC,5788,
NCR1,9437,
CD28,940,ENSG00000178562
TLR6,10333,ENSG00000174130
ITK,3702,ENSG00000113263
TLR3,7098,ENSG00000164342
ACHE,43,ENSG00000087085
IGSF6,10261,
CD40,958,ENSG00000101017
BRCA1,672,ENSG00000012048
CD3G,917,ENSG00000160654
THY1,7070,ENSG00000154096
CD3E,916,ENSG00000198851
CD3D,915,ENSG00000167286
CTSS,1520,ENSG00000163131
SOCS1,8651,ENSG00000185338
RIPK2,8767,ENSG00000104312
TIMP1,7076,ENSG00000102265
CCR5,1234,ENSG00000160791
SOCS5,9655,ENSG00000171150
HLA-DQA1,3117,
NPM1,4869,ENSG00000181163
TPD52,7163,ENSG00000076554
MAP4K1,11184,ENSG00000104814
CDKN2A,1029,ENSG00000147889
IFNGR1,3459,ENSG00000027697
STAT1,6772,ENSG00000115415
IFNGR2,3460,
STAT4,6775,ENSG00000138378
F2,2147,ENSG00000180210
HCLS1,3059,ENSG00000180353
CD40LG,959,ENSG00000102245
CD47,961,ENSG00000196776
CCL13,6357,ENSG00000181374
CCL11,6356,ENSG00000172156
GCNT1,2650,ENSG00000187210
WAS,7454,ENSG00000015285
CAPG,822,ENSG00000042493
IKBKB,3551,ENSG00000104365
HLA-DMB,3109,
STAB1,23166,ENSG00000010327
CXCR3,2833,ENSG00000186810
CCL19,6363,ENSG00000172724
HLA-DMA,3108,
ICOSLG,23308,ENSG00000160223
JAK2,3717,ENSG00000096968
TGFB1,7040,ENSG00000105329
CD74,972,ENSG00000019582
IL4R,3566,ENSG00000077238
RARS1,5917,ENSG00000113643
TGFB2,7042,ENSG00000092969
RPS9,6203,
CRTAM,56253,ENSG00000109943
TAP2,6891,
TAP1,6890,
CXCL13,10563,ENSG00000156234
ABI1,10006,ENSG00000136754
FAS,355,ENSG00000026103
KLRD1,3824,ENSG00000134539
PF4,5196,ENSG00000163737
DEGS1,8560,ENSG00000143753
PTPN6,5777,ENSG00000111679
UBE2N,7334,ENSG00000177889
CD86,942,ENSG00000114013
CSF1,1435,ENSG00000184371
CD80,941,ENSG00000121594
UBE2D1,7321,ENSG00000072401
GPR65,8477,ENSG00000140030
TNF,7124,
EGFR,1956,ENSG00000146648
CCND3,896,ENSG00000112576
CCND2,894,ENSG00000118971
FLNA,2316,ENSG00000196924
NLRP3,114548,ENSG00000162711
HLA-DOB,3112,
MAP3K7,6885,ENSG00000135341
IL12RB1,3594,ENSG00000096996
HLA-DOA,3111,
CD96,10225,ENSG00000153283
F2R,2149,ENSG00000181104
GLMN,11146,ENSG00000174842
INHBA,3624,ENSG00000122641
LY86,9450,ENSG00000112799
INHBB,3625,ENSG00000163083
TRAF2,7186,ENSG00000127191
CARTPT,9607,ENSG00000164326
DARS1,1615,ENSG00000115866
CD8B,926,ENSG00000172116
CD8A,925,ENSG00000153563
BCAT1,586,ENSG00000060982
EIF4G3,8672,ENSG00000075151
IFNAR2,3455,ENSG00000159110
DYRK3,8444,ENSG00000143479
NCF4,4689,
LY75,4065,ENSG00000054219
FASLG,356,ENSG00000117560
ETS1,2113,ENSG00000134954
IL18RAP,8807,ENSG00000115607
SIT1,27240,ENSG00000137078
EIF5A,1984,
SRGN,5552,ENSG00000122862
GALNT1,2589,ENSG00000141429
RPS3A,6189,
MMP9,4318,ENSG00000100985
TAPBP,6892,
ACVR2A,92,ENSG00000121989
IL2,3558,ENSG00000109471
IL4,3565,ENSG00000113520
IL7,3574,ENSG00000104432
FCGR2B,2213,ENSG00000072694
IL6,3569,ENSG00000136244
ELF4,2000,ENSG00000102034
IL9,3578,ENSG00000145839
IRF4,3662,ENSG00000137265
IFNG,3458,ENSG00000111537
BCL3,602,ENSG00000069399
HLA-DRA,3122,
IRF8,3394,ENSG00000140968
IRF7,3665,
LCP2,3937,ENSG00000043462
CD247,919,ENSG00000198821
CXCL9,4283,ENSG00000138755
MTIF2,4528,ENSG00000085760
AARS1,16,ENSG00000090861
EIF3A,8661,ENSG00000107581
GZMB,3002,ENSG00000100453
GZMA,3001,ENSG00000145649
WARS1,7453,ENSG00000140105
FGR,2268,ENSG00000000938
LCK,3932,ENSG00000182866
ZAP70,7535,
IL2RA,3559,ENSG00000134460
EIF3J,8669,ENSG00000104131
IL2RB,3560,ENSG00000100385
LTB,4050,
EIF3D,8664,ENSG00000100353
ABCE1,6059,ENSG00000164163
ITGB2,3689,ENSG00000160255
HDAC9,9734,ENSG00000048052
ITGAL,3683,ENSG00000005844
CCL7,6354,ENSG00000108688
CCL5,6352,
CCL4,6351,
CCL2,6347,ENSG00000108691
TRAT1,50852,ENSG00000163519
CSK,1445,ENSG00000103653
NOS2,4843,ENSG00000007171
MBL2,4153,ENSG00000165471
NCK1,4690,ENSG00000158092
