SYMBOL,ENTREZ,ENSEMBL
UBE2I,7329,ENSG00000103275
GUCY1A1,2982,ENSG00000164116
ACSL3,2181,ENSG00000123983
GSR,2936,ENSG00000104687
HOMER2,9455,ENSG00000103942
ACTN1,87,ENSG00000072110
KRT8,3856,ENSG00000170421
ZBTB10,65986,ENSG00000205189
LIFR,3977,ENSG00000113594
SELENOP,6414,ENSG00000250722
SCD,6319,ENSG00000099194
AZGP1,563,ENSG00000160862
GPD1L,23171,ENSG00000152642
FKBP5,2289,ENSG00000096060
SEC24D,9871,ENSG00000150961
HPGD,3248,ENSG00000164120
NDRG1,10397,ENSG00000104419
SPDEF,25803,ENSG00000124664
CCND3,896,ENSG00000112576
HERC3,8916,
ZMIZ1,57178,ENSG00000108175
CCND1,595,ENSG00000110092
AKT1,207,ENSG00000142208
B2M,567,
SLC38A2,54407,ENSG00000134294
TMEM50A,23585,ENSG00000183726
XRCC5,7520,ENSG00000079246
XRCC6,2547,ENSG00000196419
ARID5B,84159,ENSG00000150347
H1-0,3005,ENSG00000189060
ELL2,22936,ENSG00000118985
PIAS1,8554,ENSG00000033800
INPP4B,8821,ENSG00000109452
MAF,4094,ENSG00000178573
MYL12A,10627,ENSG00000101608
APPBP2,10513,ENSG00000062725
MAK,4117,ENSG00000111837
SMS,6611,ENSG00000102172
PLPP1,8611,ENSG00000067113
SRP19,6728,ENSG00000153037
SLC26A2,1836,ENSG00000155850
NGLY1,55768,ENSG00000151092
INSIG1,3638,ENSG00000186480
SAT1,6303,ENSG00000130066
CDC14B,8555,ENSG00000081377
UBE2J1,51465,ENSG00000198833
ELK4,2005,ENSG00000158711
PMEPA1,56937,ENSG00000124225
ANKH,56172,ENSG00000154122
NKX3-1,4824,ENSG00000167034
RAB4A,5867,ENSG00000168118
ABCC4,10257,ENSG00000125257
HMGCS1,3157,ENSG00000112972
TSC22D1,8848,ENSG00000102804
NCOA4,8031,ENSG00000266412
PA2G4,5036,ENSG00000170515
DHCR24,1718,ENSG00000116133
SORD,6652,ENSG00000140263
MERTK,10461,ENSG00000153208
KRT19,3880,ENSG00000171345
CDK6,1021,ENSG00000105810
CENPN,55839,
BMPR1B,658,ENSG00000138696
SGK1,6446,ENSG00000118515
IDI1,3422,ENSG00000067064
B4GALT1,2683,ENSG00000086062
KLK2,3817,ENSG00000167751
TNFAIP8,25816,ENSG00000145779
ABHD2,11057,ENSG00000140526
PTPN21,11099,ENSG00000070778
TMPRSS2,7113,ENSG00000184012
DBI,1622,ENSG00000155368
IQGAP2,10788,ENSG00000145703
KLK3,354,ENSG00000142515
UAP1,6675,ENSG00000117143
STK39,27347,ENSG00000198648
MAP7,9053,ENSG00000135525
DNAJB9,4189,ENSG00000128590
PDLIM5,10611,ENSG00000163110
TPD52,7163,ENSG00000076554
ELOVL5,60481,ENSG00000012660
ADRM1,11047,ENSG00000130706
SPCS3,60559,ENSG00000129128
VAPA,9218,ENSG00000101558
ALDH1A3,220,ENSG00000184254
STEAP4,79689,ENSG00000127954
SRF,6722,ENSG00000112658
HMGCR,3156,ENSG00000113161
HSD17B14,51171,ENSG00000087076
CAMKK2,10645,ENSG00000110931
GNAI3,2773,ENSG00000065135
LMAN1,3998,ENSG00000074695
AKAP12,9590,ENSG00000131016
ADAMTS1,9510,ENSG00000154734
RPS6KA3,6197,ENSG00000177189
PTK2B,2185,ENSG00000120899
PGM3,5238,ENSG00000013375
RRP12,23223,ENSG00000052749
ITGAV,3685,ENSG00000138448
FADS1,3992,ENSG00000149485
