SYMBOL,ENTREZ,ENSEMBL
POSTN,10631,ENSG00000133110
JAG1,182,ENSG00000101384
LUM,4060,ENSG00000139329
JAG2,3714,ENSG00000184916
KCNJ8,3764,ENSG00000121361
PRG2,5553,ENSG00000186652
VAV2,7410,ENSG00000160293
VEGFA,7422,ENSG00000112715
PTK2,5747,ENSG00000169398
TNFRSF21,27242,ENSG00000146072
VCAN,1462,ENSG00000038427
COL3A1,1281,
COL5A2,1290,ENSG00000204262
SLCO2A1,6578,ENSG00000174640
FGFR1,2260,ENSG00000077782
S100A4,6275,ENSG00000196154
PF4,5196,ENSG00000163737
APP,351,ENSG00000142192
NRP1,8829,ENSG00000099250
LPL,4023,ENSG00000175445
STC1,6781,ENSG00000159167
FSTL1,11167,ENSG00000163430
PDGFA,5154,ENSG00000197461
CXCL6,6372,ENSG00000124875
LRPAP1,4043,ENSG00000163956
SERPINA5,5104,ENSG00000188488
VTN,7448,ENSG00000109072
THBD,7056,ENSG00000178726
CCND2,894,ENSG00000118971
APOH,350,ENSG00000091583
MSX1,4487,ENSG00000163132
TIMP1,7076,ENSG00000102265
ITGAV,3685,ENSG00000138448
SPP1,6696,ENSG00000118785
PGLYRP1,8993,ENSG00000008438
OLR1,4973,ENSG00000173391
