SYMBOL,ENTREZ,ENSEMBL
GAMT,2593,ENSG00000130005
ACTN4,81,
CADM2,253559,ENSG00000175161
ACTN3,89,ENSG00000248746
CADM3,57863,ENSG00000162706
ACTN2,88,ENSG00000077522
ACTN1,87,ENSG00000072110
MAPK13,5603,ENSG00000156711
MAPK14,1432,ENSG00000112062
MAPK11,5600,ENSG00000185386
CD209,30835,ENSG00000090659
COL9A1,1297,ENSG00000112280
MYL9,10398,ENSG00000101335
PFN1,5216,ENSG00000108518
SKAP2,8935,ENSG00000005020
MYL12B,103910,ENSG00000118680
PARD6G,84552,ENSG00000178184
ACTB,60,ENSG00000075624
TIAL1,7073,ENSG00000151923
AKT3,10000,
AKT2,208,ENSG00000105221
FYB1,2533,ENSG00000082074
TUBG1,7283,ENSG00000131462
ALOX15B,247,ENSG00000179593
PBX2,5089,
PTK2,5747,ENSG00000169398
VASP,7408,ENSG00000125753
WNK4,65266,ENSG00000126562
GRB7,2886,ENSG00000141738
DMP1,1758,ENSG00000152592
ICAM4,3386,ENSG00000105371
ICAM5,7087,ENSG00000105376
ICAM1,3383,ENSG00000090339
ICAM2,3384,ENSG00000108622
EPB41L2,2037,ENSG00000079819
DHX16,8449,
PLCG1,5335,ENSG00000124181
TSPAN4,7106,ENSG00000214063
TMEM8B,51754,ENSG00000137103
CDSN,1041,
JUP,3728,ENSG00000173801
RHOF,54509,ENSG00000139725
VAV2,7410,ENSG00000160293
CLDN11,5010,ENSG00000013297
PTPRC,5788,
CLDN15,24146,ENSG00000106404
CLDN14,23562,ENSG00000159261
CLDN19,149461,ENSG00000164007
EXOC4,60412,ENSG00000131558
CLDN18,51208,ENSG00000066405
ARHGEF6,9459,ENSG00000129675
SDC3,9672,ENSG00000162512
TNFRSF11B,4982,ENSG00000164761
THY1,7070,ENSG00000154096
CX3CL1,6376,ENSG00000006210
RRAS,6237,ENSG00000126458
MPZL1,9019,ENSG00000197965
RSU1,6251,ENSG00000148484
MAP3K20,51776,ENSG00000091436
CD34,947,ENSG00000174059
MPZL2,10205,ENSG00000149573
MAP4K2,5871,ENSG00000168067
CAP1,10487,ENSG00000131236
MPP5,,
SYK,6850,ENSG00000165025
SORBS3,10174,ENSG00000120896
LIMA1,51474,ENSG00000050405
TJP1,7082,
ADAM15,8751,ENSG00000143537
TAOK2,9344,ENSG00000149930
CRB3,92359,ENSG00000130545
AMIGO1,57463,ENSG00000181754
AMIGO2,347902,ENSG00000139211
ADAM23,8745,ENSG00000114948
WASL,8976,ENSG00000106299
GNAI1,2770,ENSG00000127955
GNAI2,2771,ENSG00000114353
CTNNA1,1495,ENSG00000044115
HRAS,3265,
LDLRAP1,26119,ENSG00000157978
RAC2,5880,ENSG00000128340
IKBKG,8517,ENSG00000269335
GTF2F1,2962,ENSG00000125651
TSC1,7248,ENSG00000165699
VCAM1,7412,ENSG00000162692
ITGA10,8515,ENSG00000143127
TGFBI,7045,ENSG00000120708
ZYX,7791,
ADAM9,8754,
DSC1,1823,ENSG00000134765
CRAT,1384,ENSG00000095321
DSC3,1825,ENSG00000134762
CNTN1,1272,ENSG00000018236
CD86,942,ENSG00000114013
COL16A1,1307,ENSG00000084636
CTNND1,1500,ENSG00000198561
NEXN,91624,ENSG00000162614
ATP1A3,478,ENSG00000105409
INPPL1,3636,ENSG00000165458
EGFR,1956,ENSG00000146648
CDH8,1006,ENSG00000150394
CDH6,1004,ENSG00000113361
CDH4,1002,
CDH3,1001,ENSG00000062038
CDH1,999,ENSG00000039068
NRAP,4892,ENSG00000197893
SLIT2,9353,ENSG00000145147
FLNC,2318,ENSG00000128591
STX4,6810,ENSG00000103496
MYH10,4628,ENSG00000133026
JAM3,83700,ENSG00000166086
KCNH2,3757,ENSG00000055118
SLC30A3,7781,ENSG00000115194
TRAF1,7185,ENSG00000056558
LAYN,143903,ENSG00000204381
KRT31,3881,
DLG1,1739,ENSG00000075711
CDH11,1009,ENSG00000140937
ARPC2,10109,ENSG00000163466
FSCN1,6624,ENSG00000075618
CDH15,1013,ENSG00000129910
FBN1,2200,ENSG00000166147
VCL,7414,ENSG00000035403
CD276,80381,ENSG00000103855
CD274,29126,ENSG00000120217
COL17A1,1308,ENSG00000065618
IRS1,3667,ENSG00000169047
INSIG1,3638,ENSG00000186480
ACTG1,71,
ACTG2,72,ENSG00000163017
CNN2,1265,ENSG00000064666
PDZD3,,
SIRPA,140885,ENSG00000198053
NRTN,4902,ENSG00000171119
HADH,3033,ENSG00000138796
CD99,4267,
LAMB3,3914,ENSG00000196878
MMP2,4313,ENSG00000087245
ITGA3,3675,ENSG00000005884
MSN,4478,ENSG00000147065
ITGA2,3673,ENSG00000164171
SHROOM2,357,ENSG00000146950
MMP9,4318,ENSG00000100985
BAIAP2,10458,ENSG00000175866
PARVA,55742,ENSG00000197702
RASA1,5921,ENSG00000145715
VCAN,1462,ENSG00000038427
ACTA1,58,ENSG00000143632
CDK8,1024,ENSG00000132964
