SYMBOL,ENTREZ,ENSEMBL
LYN,4067,ENSG00000254087
SLC34A3,142680,ENSG00000198569
GSTM3,2947,ENSG00000134202
AFAP1L2,84632,ENSG00000169129
NTNG1,22854,ENSG00000162631
NCOA6,23054,ENSG00000198646
ATP8B1,5205,ENSG00000081923
CD160,11126,ENSG00000117281
ADAM10,102,ENSG00000137845
PLAUR,5329,ENSG00000011422
SHROOM2,357,ENSG00000146950
SULF2,55959,ENSG00000196562
DCBLD2,131566,ENSG00000057019
RTN4RL1,146760,ENSG00000185924
GAS1,2619,ENSG00000180447
IL2RB,3560,ENSG00000100385
MAL,4118,ENSG00000172005
GHRL,51738,ENSG00000157017
RHCG,51458,ENSG00000140519
APP,351,ENSG00000142192
CRYBG1,202,ENSG00000112297
SRPX,8406,ENSG00000101955
B4GALT1,2683,ENSG00000086062
MDGA1,266727,ENSG00000112139
CROCC,9696,ENSG00000058453
LYPD3,27076,ENSG00000124466
AKAP7,9465,ENSG00000118507
BRCA1,672,ENSG00000012048
PCSK9,255738,ENSG00000169174
SLC2A4,6517,
IL2RG,3561,ENSG00000147168
ADIPOR2,79602,
GATA3,2625,ENSG00000107485
THY1,7070,ENSG00000154096
CX3CL1,6376,ENSG00000006210
EFNA5,1946,ENSG00000184349
HSPB1,3315,ENSG00000106211
SCUBE1,80274,ENSG00000159307
PKHD1,5314,ENSG00000170927
FLOT2,2319,ENSG00000132589
ATP6V0A4,50617,ENSG00000105929
TMEM8B,51754,ENSG00000137103
EPHB4,2050,ENSG00000196411
SLC22A12,116085,ENSG00000197891
