SYMBOL,ENTREZ,ENSEMBL
GSN,2934,ENSG00000148180
PDGFRB,5159,ENSG00000113721
BIK,638,ENSG00000100290
LUM,4060,ENSG00000139329
TGFB2,7042,ENSG00000092969
GSR,2936,ENSG00000104687
TAP1,6890,
CDC25B,994,ENSG00000101224
EREG,2069,ENSG00000124882
MADD,8567,ENSG00000110514
CD2,914,ENSG00000116824
FEZ1,9638,ENSG00000149557
FAS,355,ENSG00000026103
CTH,1491,ENSG00000116761
BAX,581,ENSG00000087088
PDCD4,27250,ENSG00000150593
CD69,969,ENSG00000110848
SQSTM1,8878,
APP,351,ENSG00000142192
DAP3,7818,ENSG00000132676
LEF1,51176,ENSG00000138795
ATF3,467,ENSG00000162772
RELA,5970,ENSG00000173039
IFITM3,10410,ENSG00000142089
ROCK1,6093,ENSG00000067900
SATB1,6304,ENSG00000182568
RETSAT,54884,
CLU,1191,ENSG00000120885
TNF,7124,
LMNA,4000,ENSG00000160789
BCL2L11,10018,ENSG00000153094
PAK1,5058,ENSG00000149269
CCND2,894,ENSG00000118971
BCL2L10,10017,ENSG00000137875
CCND1,595,ENSG00000110092
SC5D,6309,ENSG00000109929
CREBBP,1387,ENSG00000005339
IGF2R,3482,ENSG00000197081
EGR3,1960,ENSG00000179388
F2R,2149,ENSG00000181104
IGFBP6,3489,ENSG00000167779
GADD45B,4616,ENSG00000099860
BNIP3L,665,ENSG00000104765
GADD45A,1647,ENSG00000116717
HGF,3082,ENSG00000019991
AVPR1A,552,ENSG00000166148
H1-0,3005,ENSG00000189060
SMAD7,4092,ENSG00000101665
PTK2,5747,ENSG00000169398
ISG20,3669,ENSG00000172183
CCNA1,8900,ENSG00000133101
BCL2L1,598,ENSG00000171552
PPT1,5538,ENSG00000131238
BIRC3,330,ENSG00000023445
BCL2L2,599,ENSG00000129473
BCL10,8915,ENSG00000142867
PRF1,5551,ENSG00000180644
PSEN1,5663,ENSG00000080815
ENO2,2026,ENSG00000111674
FASLG,356,ENSG00000117560
PLAT,5327,ENSG00000104368
PSEN2,5664,
SAT1,6303,ENSG00000130066
PPP3R1,5534,ENSG00000221823
LGALS3,3958,ENSG00000131981
EBP,10682,ENSG00000147155
ANKH,56172,ENSG00000154122
FDXR,2232,ENSG00000161513
HMOX1,3162,ENSG00000100292
PMAIP1,5366,ENSG00000141682
BMF,90427,ENSG00000104081
TNFSF10,8743,ENSG00000121858
CD14,929,ENSG00000170458
IER3,8870,
DNM1L,10059,ENSG00000087470
GPX1,2876,ENSG00000233276
ANXA1,301,ENSG00000135046
GPX3,2878,ENSG00000211445
JUN,3725,ENSG00000177606
GSTM1,2944,ENSG00000134184
GPX4,2879,ENSG00000167468
MMP2,4313,ENSG00000087245
TNFRSF12A,51330,ENSG00000006327
CAV1,857,ENSG00000105974
CFLAR,8837,ENSG00000003402
EMP1,2012,ENSG00000134531
PPP2R5B,5526,ENSG00000068971
IL18,3606,ENSG00000150782
RHOB,388,ENSG00000143878
TGFBR3,7049,ENSG00000069702
IL1A,3552,ENSG00000115008
DNAJC3,5611,ENSG00000102580
IL1B,3553,ENSG00000125538
IRF1,3659,ENSG00000125347
CYLD,1540,ENSG00000083799
BMP2,650,ENSG00000125845
DAP,1611,ENSG00000112977
IL6,3569,ENSG00000136244
KRT18,3875,ENSG00000111057
DPYD,1806,ENSG00000188641
CDK2,1017,ENSG00000123374
ETF1,2107,ENSG00000120705
RARA,5914,ENSG00000131759
GUCY2D,3000,ENSG00000132518
BTG3,10950,
BTG2,7832,ENSG00000159388
DIABLO,56616,ENSG00000184047
TOP2A,7153,ENSG00000131747
PEA15,8682,ENSG00000162734
BRCA1,672,ENSG00000012048
NEDD9,4739,ENSG00000111859
HMGB2,3148,ENSG00000164104
HSPB1,3315,ENSG00000106211
CASP8,841,ENSG00000064012
CASP9,842,ENSG00000132906
RHOT2,89941,ENSG00000140983
CASP6,839,ENSG00000138794
CASP7,840,ENSG00000165806
CASP4,837,ENSG00000196954
ERBB2,2064,ENSG00000141736
ERBB3,2065,ENSG00000065361
CASP2,835,ENSG00000106144
TIMP3,7078,ENSG00000100234
CASP3,836,ENSG00000164305
CD38,952,ENSG00000004468
TIMP1,7076,ENSG00000102265
CASP1,834,ENSG00000137752
TIMP2,7077,ENSG00000035862
MCL1,4170,ENSG00000143384
BCAP31,10134,ENSG00000185825
DFFA,1676,ENSG00000160049
IFNGR1,3459,ENSG00000027697
MGMT,4255,ENSG00000170430
GCH1,2643,ENSG00000131979
BGN,633,ENSG00000182492
F2,2147,ENSG00000180210
SOD1,6647,ENSG00000142168
DCN,1634,ENSG00000011465
SOD2,6648,ENSG00000291237
DNAJA1,3301,ENSG00000086061
WEE1,7465,ENSG00000166483
XIAP,331,ENSG00000101966
TXNIP,10628,ENSG00000265972
DDIT3,1649,ENSG00000175197
VDAC2,7417,ENSG00000165637
PLCB2,5330,ENSG00000137841
CD44,960,ENSG00000026508
CDKN1B,1027,ENSG00000111276
RNASEL,6041,ENSG00000135828
CDKN1A,1026,ENSG00000124762
PLPPR4,9890,ENSG00000117600
CTNNB1,1499,ENSG00000168036
SLC20A1,6574,ENSG00000144136
ADD1,118,ENSG00000087274
GNA15,2769,ENSG00000060558
AIFM3,150209,ENSG00000183773
IFNB1,3456,ENSG00000171855
TSPO,706,ENSG00000100300
NEFH,4744,ENSG00000100285
SPTAN1,6709,ENSG00000197694
BID,637,ENSG00000015475
