SYMBOL,ENTREZ,ENSEMBL
ABCG8,64241,ENSG00000143921
HSD3B7,80270,ENSG00000099377
PEX19,5824,ENSG00000162735
PHYH,5264,ENSG00000107537
ACSL1,2180,ENSG00000151726
DIO1,1733,ENSG00000211452
HSD3B1,3283,ENSG00000203857
DIO2,1734,ENSG00000211448
ACSL5,51703,ENSG00000197142
PEX12,5193,ENSG00000108733
PEX13,5194,ENSG00000162928
CYP39A1,51302,ENSG00000146233
PEX16,9409,ENSG00000121680
SOAT2,8435,ENSG00000167780
RBP1,5947,ENSG00000114115
PEX11G,92960,ENSG00000104883
ABCG4,64137,ENSG00000172350
ALDH8A1,64577,ENSG00000118514
OPTN,10133,ENSG00000123240
SLC27A2,11001,ENSG00000140284
AKR1D1,6718,ENSG00000122787
PEX11A,8800,ENSG00000166821
RETSAT,54884,
AQP9,366,ENSG00000103569
SLC23A2,9962,ENSG00000089057
SLC35B2,347734,ENSG00000157593
SLC23A1,9963,ENSG00000170482
HSD17B4,3295,ENSG00000133835
HSD17B6,8630,ENSG00000025423
CH25H,9023,ENSG00000138135
PEX26,55670,ENSG00000215193
RXRA,6256,ENSG00000186350
PIPOX,51268,ENSG00000179761
LONP2,83752,ENSG00000102910
RXRG,6258,ENSG00000143171
ABCA2,20,ENSG00000107331
ABCA3,21,ENSG00000167972
IDH1,3417,ENSG00000138413
GSTK1,373156,ENSG00000197448
ABCA1,19,ENSG00000165029
ABCA6,23460,ENSG00000154262
ABCA4,24,ENSG00000198691
IDH2,3418,ENSG00000182054
ABCA5,23461,ENSG00000154265
EPHX2,2053,ENSG00000120915
ABCA8,10351,ENSG00000141338
NR0B2,8431,ENSG00000131910
ABCA9,10350,ENSG00000154258
AR,367,ENSG00000169083
CYP27A1,1593,ENSG00000135929
SULT2B1,6820,ENSG00000088002
AMACR,23600,ENSG00000242110
GNPAT,8443,ENSG00000116906
SLCO1A2,6579,ENSG00000084453
GCLM,2730,ENSG00000023909
SLC27A5,10998,ENSG00000083807
PECR,55825,ENSG00000115425
CYP46A1,10858,ENSG00000036530
LIPE,3991,ENSG00000079435
PRDX5,25824,ENSG00000126432
FDXR,2232,ENSG00000161513
SCP2,6342,ENSG00000116171
HACL1,26061,ENSG00000131373
BBOX1,8424,ENSG00000129151
PEX1,5189,ENSG00000127980
CYP7B1,9420,ENSG00000172817
DHCR24,1718,ENSG00000116133
NPC1,4864,ENSG00000141458
BMP6,654,ENSG00000153162
SULT1B1,27284,ENSG00000173597
APOA1,335,ENSG00000118137
PEX7,5191,ENSG00000112357
PXMP2,5827,ENSG00000176894
PEX6,5190,ENSG00000124587
EFHC1,114327,ENSG00000096093
PAOX,196743,ENSG00000148832
IDI1,3422,ENSG00000067064
BCAR3,8412,ENSG00000137936
NR1I2,8856,ENSG00000144852
TFCP2L1,29842,ENSG00000115112
CROT,54677,ENSG00000005469
CYP7A1,1581,ENSG00000167910
SERPINA6,866,
SLC22A18,5002,
ISOC1,51015,ENSG00000066583
HAO1,54363,ENSG00000101323
ATXN1,6310,ENSG00000124788
PNPLA8,50640,ENSG00000135241
KLF1,10661,ENSG00000105610
NR1H4,9971,ENSG00000012504
CYP8B1,1582,ENSG00000180432
GNMT,27232,ENSG00000124713
SOD1,6647,ENSG00000142168
LCK,3932,ENSG00000182866
PFKM,5213,ENSG00000152556
ALDH1A1,216,ENSG00000165092
CAT,847,ENSG00000121691
NEDD4,4734,ENSG00000069869
ALDH9A1,223,ENSG00000143149
SLC29A1,2030,ENSG00000112759
AGXT,189,ENSG00000172482
ABCD3,5825,ENSG00000117528
NR3C2,4306,ENSG00000151623
HSD17B11,51170,ENSG00000198189
NUDT12,83594,ENSG00000112874
TTR,7276,ENSG00000118271
MLYCD,23417,ENSG00000103150
GC,2638,ENSG00000145321
ABCD1,215,ENSG00000101986
ABCD2,225,ENSG00000173208
FADS2,9415,ENSG00000134824
FADS1,3992,ENSG00000149485
