SYMBOL,ENTREZ,ENSEMBL
STARD4,134429,ENSG00000164211
GSTM2,2946,ENSG00000213366
CHKA,1119,ENSG00000110721
HMGCS1,3157,ENSG00000112972
TNFRSF12A,51330,ENSG00000006327
ANXA5,308,ENSG00000164111
ECH1,1891,
GPX8,493869,ENSG00000164294
PNRC1,10957,ENSG00000146278
CPEB2,132864,ENSG00000137449
SCD,6319,ENSG00000099194
CD9,928,ENSG00000010278
ETHE1,23474,ENSG00000105755
ALDOC,230,ENSG00000109107
DHCR7,1717,ENSG00000172893
IDI1,3422,ENSG00000067064
ATF3,467,ENSG00000162772
CLU,1191,ENSG00000120885
HSD17B7,51478,ENSG00000132196
ANTXR2,118429,ENSG00000163297
CXCL16,58191,ENSG00000161921
ACAT2,39,ENSG00000120437
ATXN2,6311,ENSG00000204842
PMVK,10654,ENSG00000163344
SC5D,6309,ENSG00000109929
MAL2,114569,ENSG00000147676
STX5,6811,ENSG00000162236
NFIL3,4783,ENSG00000165030
ACSS2,55902,ENSG00000131069
FDFT1,2222,
LDLR,3949,ENSG00000130164
S100A11,6282,ENSG00000163191
ABCA2,20,ENSG00000107331
FDPS,2224,ENSG00000160752
NIBAN1,116496,ENSG00000135842
SREBF2,6721,ENSG00000198911
JAG1,182,ENSG00000101384
CYP51A1,1595,ENSG00000001630
PCYT2,5833,ENSG00000185813
ANXA13,312,ENSG00000104537
TP53INP1,94241,ENSG00000164938
AVPR1A,552,ENSG00000166148
LSS,4047,
PLAUR,5329,ENSG00000011422
SQLE,6713,ENSG00000104549
FABP5,2171,ENSG00000164687
PLSCR1,5359,ENSG00000188313
FASN,2194,ENSG00000169710
LGMN,5641,ENSG00000100600
PPARG,5468,ENSG00000132170
MVD,4597,ENSG00000167508
TRIB3,57761,ENSG00000101255
ATF5,22809,ENSG00000169136
ERRFI1,54206,ENSG00000116285
MVK,4598,ENSG00000110921
GLDC,2731,ENSG00000178445
CTNNB1,1499,ENSG00000168036
LPL,4023,ENSG00000175445
SEMA3B,7869,ENSG00000012171
ACTG1,71,
HMGCR,3156,ENSG00000113161
TMEM97,27346,ENSG00000109084
GNAI1,2770,ENSG00000127955
TM7SF2,7108,ENSG00000149809
ADH4,127,ENSG00000198099
CBS,875,ENSG00000160200
LGALS3,3958,ENSG00000131981
EBP,10682,ENSG00000147155
NSDHL,50814,
ALCAM,214,ENSG00000170017
FBXO6,26270,ENSG00000116663
GUSB,2990,ENSG00000169919
FADS2,9415,ENSG00000134824
PDK3,5165,ENSG00000067992
