SYMBOL,ENTREZ,ENSEMBL
GSN,2934,ENSG00000148180
F11,2160,ENSG00000088926
F10,2159,ENSG00000126218
S100A1,6271,ENSG00000160678
TFPI2,7980,ENSG00000105825
F12,2161,ENSG00000131187
CD9,928,ENSG00000010278
ISCU,23479,ENSG00000136003
ADAM9,8754,
PF4,5196,ENSG00000163737
GDA,9615,ENSG00000119125
LRP1,4035,ENSG00000123384
SERPINE1,5054,ENSG00000106366
PROS1,5627,ENSG00000184500
CLU,1191,ENSG00000120885
ITIH1,3697,ENSG00000055957
COMP,1311,ENSG00000105664
LAMP2,3920,ENSG00000005893
CAPN5,726,ENSG00000149260
S100A13,6284,
CAPN2,824,ENSG00000162909
SH2B2,10603,ENSG00000160999
MAFF,23764,ENSG00000185022
PROC,5624,ENSG00000115718
GNB2,2783,ENSG00000172354
LGMN,5641,ENSG00000100600
SERPING1,710,ENSG00000149131
F13B,2165,
MEP1A,4224,ENSG00000112818
PEF1,553115,ENSG00000162517
FBN1,2200,ENSG00000166147
CFB,629,
CFD,1675,
SPARC,6678,ENSG00000113140
CPB2,1361,ENSG00000080618
CFI,3426,ENSG00000205403
HPN,3249,ENSG00000105707
CFH,3075,ENSG00000000971
PDGFB,5155,ENSG00000100311
PREP,5550,ENSG00000085377
PLAU,5328,ENSG00000122861
HTRA1,5654,ENSG00000166033
PLAT,5327,ENSG00000104368
C2,717,
C3,718,ENSG00000125730
C9,735,ENSG00000113600
LTA4H,4048,ENSG00000111144
A2M,2,ENSG00000175899
CTSB,1508,
DUSP6,1848,ENSG00000139318
ANXA1,301,ENSG00000135046
MMP7,4316,ENSG00000137673
MMP8,4317,ENSG00000118113
HMGCS2,3158,ENSG00000134240
MMP1,4312,ENSG00000196611
MMP2,4313,ENSG00000087245
MMP3,4314,ENSG00000149968
MST1,4485,ENSG00000173531
ITGA2,3673,ENSG00000164171
FN1,2335,ENSG00000115414
MMP9,4318,ENSG00000100985
GNG12,55970,ENSG00000172380
SIRT2,22933,
GP9,2815,ENSG00000169704
MMP11,4320,
MMP10,4319,ENSG00000166670
TF,7018,ENSG00000091513
MMP15,4324,ENSG00000102996
MMP14,4323,ENSG00000157227
BMP1,649,ENSG00000168487
ACOX2,8309,ENSG00000168306
APOA1,335,ENSG00000118137
PECAM1,5175,ENSG00000261371
RAPGEF3,10411,ENSG00000079337
KLKB1,3818,ENSG00000164344
HRG,3273,ENSG00000113905
ARF4,378,ENSG00000168374
CPQ,10404,ENSG00000104324
SERPINA1,5265,
TMPRSS6,164656,ENSG00000187045
PROZ,8858,ENSG00000126231
C8A,731,ENSG00000157131
CTSV,1515,ENSG00000136943
C8B,732,ENSG00000021852
DUSP14,11072,
KLK8,11202,ENSG00000129455
DPP4,1803,ENSG00000197635
C8G,733,ENSG00000176919
CASP9,842,ENSG00000132906
CTSO,1519,
CSRP1,1465,ENSG00000159176
CTSK,1513,ENSG00000143387
HNF4A,3172,ENSG00000101076
P2RY1,5028,ENSG00000169860
TIMP3,7078,ENSG00000100234
CTSH,1512,ENSG00000103811
TIMP1,7076,ENSG00000102265
CTSE,1510,ENSG00000196188
FGA,2243,ENSG00000171560
LEFTY2,7044,ENSG00000143768
SERPINB2,5055,ENSG00000197632
FGG,2266,ENSG00000171557
VWF,7450,ENSG00000110799
F2,2147,ENSG00000180210
GP1BA,2811,ENSG00000185245
F3,2152,ENSG00000117525
RABIF,5877,ENSG00000183155
F8,2157,ENSG00000185010
F9,2158,ENSG00000101981
KLF7,8609,ENSG00000118263
APOC1,341,ENSG00000130208
DCT,1638,ENSG00000080166
APOC3,345,ENSG00000110245
APOC2,344,ENSG00000234906
ANG,283,ENSG00000214274
F2RL2,2151,ENSG00000164220
RGN,9104,ENSG00000130988
MASP2,10747,ENSG00000009724
MSRB2,22921,ENSG00000148450
C1QA,712,ENSG00000173372
C1R,715,
WDR1,9948,ENSG00000071127
PLEK,5341,ENSG00000115956
SERPINC1,462,ENSG00000117601
C1S,716,ENSG00000182326
FURIN,5045,ENSG00000140564
USP11,8237,ENSG00000102226
ITGB3,3690,ENSG00000259207
THBS1,7057,ENSG00000137801
PLG,5340,ENSG00000122194
PRSS23,11098,ENSG00000150687
CRIP2,1397,ENSG00000182809
CPN1,1369,ENSG00000120054
THBD,7056,ENSG00000178726
RAC1,5879,ENSG00000136238
FYN,2534,ENSG00000010810
MBL2,4153,ENSG00000165471
OLR1,4973,ENSG00000173391
