SYMBOL,ENTREZ,ENSEMBL
ACTN2,88,ENSG00000077522
HPCAL4,51440,ENSG00000116983
PSMB9,5698,
XPNPEP1,7511,ENSG00000108039
LAP3,51056,ENSG00000002549
FDX1,2230,ENSG00000137714
HSPA1A,3303,
CALM3,808,ENSG00000160014
PFN1,5216,ENSG00000108518
CDA,978,ENSG00000158825
CALM1,801,ENSG00000198668
LRP1,4035,ENSG00000123384
SERPINE1,5054,ENSG00000106366
C4BPB,725,ENSG00000123843
CBLB,868,ENSG00000114423
PRCP,5547,ENSG00000137509
ITIH1,3697,ENSG00000055957
RNF4,6047,ENSG00000063978
GNG2,54331,ENSG00000186469
S100A13,6284,
SPOCK2,9806,ENSG00000107742
PRSS3,5646,ENSG00000010438
S100A12,6283,ENSG00000163221
APOBEC3F,200316,ENSG00000128394
APOBEC3G,60489,ENSG00000239713
PRKCD,5580,ENSG00000163932
PLA2G4A,5321,ENSG00000116711
EHD1,10938,ENSG00000110047
PLSCR1,5359,ENSG00000188313
LGMN,5641,ENSG00000100600
SERPING1,710,ENSG00000149131
GRB2,2885,ENSG00000177885
ZFPM2,23414,ENSG00000169946
CFB,629,
GMFB,2764,ENSG00000197045
CFH,3075,ENSG00000000971
PDGFB,5155,ENSG00000100311
PREP,5550,ENSG00000085377
GATA3,2625,ENSG00000107485
PLA2G7,7941,ENSG00000146070
C2,717,
LIPA,3988,ENSG00000107798
C3,718,ENSG00000125730
LGALS3,3958,ENSG00000131981
PPP4C,5531,ENSG00000149923
C9,735,ENSG00000113600
LTA4H,4048,ENSG00000111144
CTSB,1508,
DUSP5,1847,ENSG00000138166
DUSP6,1848,ENSG00000139318
LYN,4067,ENSG00000254087
ANXA5,308,ENSG00000164111
FN1,2335,ENSG00000115414
SIRT6,51548,ENSG00000077463
RHOG,391,ENSG00000177105
CP,1356,ENSG00000047457
RBSN,64145,
GP9,2815,ENSG00000169704
MMP13,4322,ENSG00000137745
ZEB1,6935,ENSG00000148516
MMP12,4321,ENSG00000262406
MMP15,4324,ENSG00000102996
MMP14,4323,ENSG00000157227
KLKB1,3818,ENSG00000164344
SERPINA1,5265,
TMPRSS6,164656,ENSG00000187045
KLK1,3816,ENSG00000167748
PCSK9,255738,ENSG00000169174
CTSV,1515,ENSG00000136943
CTSS,1520,ENSG00000163131
GNGT2,2793,ENSG00000167083
CTSO,1519,
CSRP1,1465,ENSG00000159176
CASP10,843,ENSG00000003400
CTSL,1514,ENSG00000135047
HNF4A,3172,ENSG00000101076
CTSH,1512,ENSG00000103811
RCE1,9986,ENSG00000173653
TIMP1,7076,ENSG00000102265
TIMP2,7077,ENSG00000035862
CD36,948,ENSG00000135218
FCER1G,2207,ENSG00000158869
CTSD,1509,ENSG00000117984
CTSC,1075,ENSG00000109861
SERPINB2,5055,ENSG00000197632
PRSS36,146547,ENSG00000178226
F2,2147,ENSG00000180210
GP1BA,2811,ENSG00000185245
F3,2152,ENSG00000117525
RABIF,5877,ENSG00000183155
F5,2153,ENSG00000198734
F7,2155,ENSG00000057593
F8,2157,ENSG00000185010
PDP1,54704,ENSG00000164951
COL4A2,1284,ENSG00000134871
CD40LG,959,ENSG00000102245
CDK5R1,8851,ENSG00000176749
CD46,4179,ENSG00000117335
MSRB1,51734,
C1QC,714,ENSG00000159189
C1QA,712,ENSG00000173372
SERPINC1,462,ENSG00000117601
WAS,7454,ENSG00000015285
GNAI2,2771,ENSG00000114353
GNAI3,2773,ENSG00000065135
PHEX,5251,ENSG00000102174
PCLO,27445,ENSG00000186472
PPP2CB,5516,ENSG00000104695
CD59,966,ENSG00000085063
AKAP10,11216,ENSG00000108599
OLR1,4973,ENSG00000173391
CD55,1604,ENSG00000196352
JAK2,3717,ENSG00000096968
USP8,9101,ENSG00000138592
BRPF3,27154,ENSG00000096070
F10,2159,ENSG00000126218
GCA,25801,ENSG00000115271
TFPI2,7980,ENSG00000105825
GPD2,2820,ENSG00000115159
ADAM9,8754,
SCG3,29106,ENSG00000104112
S100A9,6280,ENSG00000163220
FCN1,2219,ENSG00000085265
RAF1,5894,ENSG00000132155
DGKH,160851,ENSG00000102780
DGKG,1608,ENSG00000058866
PRDM4,11108,ENSG00000110851
CLU,1191,ENSG00000120885
DOCK10,55619,ENSG00000135905
LAMP2,3920,ENSG00000005893
STX4,6810,ENSG00000103496
SH2B3,10019,ENSG00000111252
ADRA2B,151,ENSG00000274286
MAFF,23764,ENSG00000185022
KIF2A,3796,ENSG00000068796
GNB2,2783,ENSG00000172354
CDH13,1012,ENSG00000140945
GNB4,59345,ENSG00000114450
NOTCH4,4855,
DOCK4,9732,ENSG00000128512
DYRK2,8445,ENSG00000127334
DOCK9,23348,ENSG00000088387
PSEN1,5663,ENSG00000080815
PLAT,5327,ENSG00000104368
VCPIP1,80124,ENSG00000175073
RASGRP1,10125,ENSG00000172575
PIM1,5292,ENSG00000137193
MMP8,4317,ENSG00000118113
KCNIP2,30819,ENSG00000120049
HSPA5,3309,ENSG00000044574
KCNIP3,30818,ENSG00000115041
MT3,4504,ENSG00000087250
APOA4,337,ENSG00000110244
IRF1,3659,ENSG00000125347
IL6,3569,ENSG00000136244
PIK3CA,5290,ENSG00000121879
IRF2,3660,ENSG00000168310
IRF7,3665,
LCP2,3937,ENSG00000043462
CPM,1368,ENSG00000135678
CPQ,10404,ENSG00000104324
L3MBTL4,91133,ENSG00000154655
PIK3R5,23533,ENSG00000141506
TNFAIP3,7128,ENSG00000118503
CXCL1,2919,ENSG00000163739
DPP4,1803,ENSG00000197635
CA2,760,ENSG00000104267
CASP9,842,ENSG00000132906
CASP7,840,ENSG00000165806
CASP4,837,ENSG00000196954
CASP5,838,ENSG00000137757
CASP3,836,ENSG00000164305
ME1,4199,ENSG00000065833
CASP1,834,ENSG00000137752
CR1,1378,ENSG00000203710
CR2,1380,ENSG00000117322
GZMB,3002,ENSG00000100453
ERAP2,64167,ENSG00000164308
GZMA,3001,ENSG00000145649
PLAUR,5329,ENSG00000011422
ATOX1,475,ENSG00000177556
GZMK,3003,ENSG00000113088
LCK,3932,ENSG00000182866
APOC1,341,ENSG00000130208
ANG,283,ENSG00000214274
LTF,4057,ENSG00000012223
USP14,9097,ENSG00000101557
CEBPB,1051,ENSG00000172216
USP15,9958,ENSG00000135655
C1R,715,
SRC,6714,
USP16,10600,
PLEK,5341,ENSG00000115956
C1S,716,ENSG00000182326
PLG,5340,ENSG00000122194
ITGAM,3684,ENSG00000169896
PIK3CG,5294,ENSG00000105851
CCL5,6352,
KYNU,8942,ENSG00000115919
FYN,2534,ENSG00000010810
