SYMBOL,ENTREZ,ENSEMBL
DUT,1854,ENSG00000128951
BRF2,55290,ENSG00000104221
LIG1,3978,ENSG00000105486
PDE6G,5148,ENSG00000185527
ALYREF,10189,ENSG00000183684
UPF3B,65109,ENSG00000125351
GTF2F1,2962,ENSG00000125651
RBX1,9978,ENSG00000100387
TARBP2,6895,ENSG00000139546
POLR3C,10623,ENSG00000186141
POLE4,56655,ENSG00000115350
SRSF6,6431,ENSG00000124193
EIF1B,10289,ENSG00000114784
CDA,978,ENSG00000158825
TP53,7157,ENSG00000141510
VPS28,51160,
PCNA,5111,ENSG00000132646
MPG,4350,ENSG00000103152
RNMT,8731,ENSG00000101654
RALA,5898,ENSG00000006451
GTF2B,2959,ENSG00000137947
TYMS,7298,ENSG00000176890
ADCY6,112,ENSG00000174233
PNP,4860,
TAF1C,9013,ENSG00000103168
ZNF707,286075,
CLP1,10978,ENSG00000172409
NT5C,30833,ENSG00000125458
RAE1,8480,ENSG00000101146
STX3,6809,ENSG00000166900
SMAD5,4090,ENSG00000113658
SURF1,6834,
VPS37D,155382,ENSG00000176428
VPS37B,79720,ENSG00000139722
SUPT5H,6829,ENSG00000196235
SDCBP,6386,ENSG00000137575
BCAM,4059,ENSG00000187244
NT5C3A,51251,ENSG00000122643
ITPA,3704,ENSG00000125877
HPRT1,3251,ENSG00000165704
CCNO,10309,ENSG00000152669
TSG101,7251,ENSG00000074319
POM121,9883,ENSG00000196313
COX17,10063,ENSG00000138495
ARL6IP1,23204,ENSG00000170540
AK1,203,ENSG00000106992
CSTF3,1479,ENSG00000176102
AK3,50808,ENSG00000147853
XPC,7508,ENSG00000154767
AAAS,8086,
DGUOK,1716,ENSG00000114956
MPC2,25874,ENSG00000143158
NELFE,7936,
NELFB,25920,ENSG00000188986
SAC3D1,29901,ENSG00000168061
GSDME,1687,ENSG00000105928
RFC4,5984,ENSG00000163918
RFC5,5985,ENSG00000111445
NCBP2,22916,ENSG00000114503
POLR3GL,84265,ENSG00000121851
RFC2,5982,ENSG00000049541
GPX4,2879,ENSG00000167468
RFC3,5983,ENSG00000133119
NME3,4832,ENSG00000103024
EDF1,8721,ENSG00000107223
NME4,4833,ENSG00000103202
ZWINT,11130,ENSG00000122952
NME1,4830,ENSG00000239672
POLA1,5422,ENSG00000101868
POLA2,23649,ENSG00000014138
AGO4,192670,ENSG00000134698
NFX1,4799,ENSG00000086102
RRM2B,50484,ENSG00000048392
ADA,100,ENSG00000196839
UMPS,7372,ENSG00000114491
GTF2A2,2958,ENSG00000140307
GTF3C5,9328,ENSG00000148308
CETN2,1069,
ELL,8178,ENSG00000105656
NPR2,4882,ENSG00000159899
SUPT4H1,6827,ENSG00000213246
MRPL40,64976,ENSG00000185608
ZNRD1,,
SNAPC4,6621,ENSG00000165684
SNAPC5,10302,ENSG00000174446
NELFCD,51497,ENSG00000101158
PDE4B,5142,ENSG00000184588
DGCR8,54487,ENSG00000128191
TMED2,10959,ENSG00000086598
TK2,7084,ENSG00000166548
BCAP31,10134,ENSG00000185825
SF3A3,10946,ENSG00000183431
TAF13,6884,ENSG00000197780
ADRM1,11047,ENSG00000130706
TAF12,6883,ENSG00000120656
BOLA2,552900,ENSG00000183336
RPA2,6118,ENSG00000117748
GTF2H1,2965,
RPA3,6119,ENSG00000106399
TAF10,6881,ENSG00000166337
SSRP1,6749,ENSG00000149136
GTF2H3,2967,ENSG00000111358
GTF2H5,404672,ENSG00000272047
APRT,353,ENSG00000198931
DDB2,1643,ENSG00000134574
DDB1,1642,ENSG00000167986
ERCC1,2067,ENSG00000012061
NUDT21,11051,ENSG00000167005
RAD51,5888,ENSG00000051180
NUDT9,53343,ENSG00000170502
RAD52,5893,ENSG00000002016
ERCC4,2072,ENSG00000175595
ERCC5,2073,ENSG00000134899
IMPDH2,3615,ENSG00000178035
DAD1,1603,ENSG00000129562
ERCC2,2068,ENSG00000104884
POLR1C,9533,ENSG00000171453
ERCC3,2071,ENSG00000163161
POLR1D,51082,ENSG00000186184
CMPK2,129607,ENSG00000134326
ERCC8,1161,ENSG00000049167
HCLS1,3059,ENSG00000180353
TAF9,6880,
TAF6,6878,ENSG00000106290
FEN1,2237,ENSG00000168496
CANT1,124583,ENSG00000171302
GMPR2,51292,
USP11,8237,ENSG00000102226
DCTN4,51164,ENSG00000132912
PRIM1,5557,ENSG00000198056
POLD4,57804,ENSG00000175482
POLB,5423,ENSG00000070501
GUK1,2987,ENSG00000143774
POLR2A,5430,
POLD1,5424,ENSG00000062822
POLR2C,5432,ENSG00000102978
POLR2D,5433,ENSG00000144231
SEC61A1,29927,ENSG00000058262
POLD3,10714,ENSG00000077514
POLR2E,5434,ENSG00000099817
ELOA,6924,ENSG00000011007
POLR2F,5435,ENSG00000100142
POLR2G,5436,ENSG00000168002
POLR2H,5437,ENSG00000163882
POLL,27343,ENSG00000166169
POLR2I,5438,ENSG00000105258
POLR2J,5439,ENSG00000005075
POLR2K,5440,ENSG00000147669
POLH,5429,ENSG00000170734
REV3L,5980,ENSG00000009413
