SYMBOL,ENTREZ,ENSEMBL
DUT,1854,ENSG00000128951
H2AZ1,3015,ENSG00000164032
DEK,7913,ENSG00000124795
HUS1,3364,ENSG00000136273
CDC20,991,ENSG00000117399
PHF5A,84844,ENSG00000100410
ZW10,9183,ENSG00000086827
DDX39A,10212,ENSG00000123136
MTHFD2,10797,ENSG00000065911
CCP110,9738,ENSG00000103540
ANP32E,81611,ENSG00000143401
ASF1A,25842,ENSG00000111875
HNRNPD,3184,ENSG00000138668
ASF1B,55723,
TP53,7157,ENSG00000141510
RAN,5901,ENSG00000132341
NUP205,23165,ENSG00000155561
NOLC1,9221,ENSG00000166197
PNN,5411,ENSG00000100941
EXOSC8,11340,ENSG00000120699
CHEK1,1111,ENSG00000149554
RACGAP1,29127,ENSG00000161800
CHEK2,11200,ENSG00000183765
MYC,4609,ENSG00000136997
TIPIN,54962,ENSG00000075131
E2F8,79733,ENSG00000129173
PLK4,10733,ENSG00000142731
PLK1,5347,ENSG00000166851
XRCC6,2547,ENSG00000196419
TUBG1,7283,ENSG00000131462
STAG1,10274,ENSG00000118007
EZH2,2146,ENSG00000106462
JPT1,51155,ENSG00000189159
POP7,10248,ENSG00000172336
CDCA3,83461,ENSG00000111665
TFRC,7037,ENSG00000072274
CDCA8,55143,ENSG00000134690
PRKDC,5591,ENSG00000253729
SMC6,79677,ENSG00000163029
SMC4,10051,ENSG00000113810
GSPT1,2935,ENSG00000103342
SMC3,9126,ENSG00000108055
PRDX4,10549,ENSG00000123131
TMPO,7112,ENSG00000120802
SYNCRIP,10492,
STMN1,3925,ENSG00000117632
MYBL2,4605,ENSG00000101057
BARD1,580,ENSG00000138376
TCF19,6941,
TUBB,203068,
NME1,4830,ENSG00000239672
CENPE,1062,ENSG00000138778
RAD51C,5889,ENSG00000108384
CENPM,79019,ENSG00000100162
DEPDC1,55635,ENSG00000024526
CDKN3,1033,ENSG00000100526
SLBP,7884,ENSG00000163950
SUV39H1,6839,ENSG00000101945
TOP2A,7153,ENSG00000131747
BRCA1,672,ENSG00000012048
BRCA2,675,ENSG00000139618
CTCF,10664,ENSG00000102974
PSMC3IP,29893,ENSG00000131470
RAD51AP1,10635,ENSG00000111247
TK1,7083,ENSG00000167900
LYAR,55646,ENSG00000145220
DLGAP5,9787,ENSG00000126787
