SYMBOL,ENTREZ,ENSEMBL
LUM,4060,ENSG00000139329
CADM1,23705,ENSG00000182985
DKK1,22943,ENSG00000107984
P3H1,64175,ENSG00000117385
COL1A2,1278,ENSG00000164692
SFRP4,6424,ENSG00000106483
COL1A1,1277,ENSG00000108821
MGP,4256,ENSG00000111341
VIM,7431,ENSG00000026025
MXRA5,25878,ENSG00000101825
MYL9,10398,ENSG00000101335
PFN2,5217,ENSG00000070087
PRSS2,5645,
LRP1,4035,ENSG00000123384
TAGLN,6876,ENSG00000149591
COL12A1,1303,ENSG00000111799
SERPINE1,5054,ENSG00000106366
SERPINE2,5270,ENSG00000135919
SFRP1,6422,ENSG00000104332
DPYSL3,1809,ENSG00000113657
ABI3BP,25890,ENSG00000154175
SPOCK1,6695,ENSG00000152377
CCN2,1490,ENSG00000118523
MEST,4232,ENSG00000106484
CCN1,3491,ENSG00000142871
GADD45B,4616,ENSG00000099860
FZD8,8325,ENSG00000177283
GADD45A,1647,ENSG00000116717
FERMT2,10979,ENSG00000073712
SLC6A8,6535,ENSG00000130821
SDC1,6382,ENSG00000115884
SNAI2,6591,ENSG00000019549
SPARC,6678,ENSG00000113140
OXTR,5021,ENSG00000180914
ENO2,2026,ENSG00000111674
MYLK,4638,ENSG00000065534
GJA1,2697,ENSG00000152661
LGALS1,3956,ENSG00000100097
ANPEP,290,ENSG00000166825
SERPINH1,871,ENSG00000149257
FUCA1,2517,ENSG00000179163
JUN,3725,ENSG00000177606
IL15,3600,ENSG00000164136
TNFRSF12A,51330,ENSG00000006327
MAGEE1,57692,ENSG00000198934
VEGFC,7424,ENSG00000150630
FN1,2335,ENSG00000115414
EMP3,2014,ENSG00000142227
RHOB,388,ENSG00000143878
VEGFA,7422,ENSG00000112715
CRLF1,9244,ENSG00000006016
COL3A1,1281,
MMP14,4323,ENSG00000157227
GAS1,2619,ENSG00000180447
ID2,3398,ENSG00000115738
CALU,813,ENSG00000128595
FOXC2,2303,ENSG00000176692
ELN,2006,ENSG00000049540
SDC4,6385,ENSG00000124145
