SYMBOL,ENTREZ,ENSEMBL
TTC39A,22996,ENSG00000085831
AMFR,267,ENSG00000159461
KRT8,3856,ENSG00000170421
MED13L,23389,ENSG00000123066
GLA,2717,ENSG00000102393
NBL1,4681,ENSG00000158747
RETREG1,54463,ENSG00000154153
AKAP1,8165,ENSG00000121057
ADCY1,107,ENSG00000164742
PEX11A,8800,ENSG00000166821
ADCY9,115,ENSG00000162104
AQP3,360,ENSG00000165272
ABAT,18,ENSG00000183044
TOB1,10140,ENSG00000141232
MUC1,4582,ENSG00000185499
MYB,4602,ENSG00000118513
MYC,4609,ENSG00000136997
CCN5,8839,ENSG00000064205
HES1,3280,ENSG00000114315
FDFT1,2222,
ABCA3,21,ENSG00000167972
EGR3,1960,ENSG00000179388
XBP1,7494,ENSG00000100219
BCL11B,64919,ENSG00000127152
KLF10,7071,ENSG00000155090
SIAH2,6478,ENSG00000181788
PLAAT3,11145,ENSG00000176485
CBFA2T3,863,ENSG00000129993
OVOL2,58495,ENSG00000125850
PDZK1,5174,ENSG00000174827
IL17RB,55540,ENSG00000056736
AR,367,ENSG00000169083
SULT2B1,6820,ENSG00000088002
FASN,2194,ENSG00000169710
UNC119,9094,ENSG00000109103
PTGES,9536,ENSG00000148344
SLC22A5,6584,ENSG00000197375
RAPGEFL1,51195,ENSG00000108352
TSKU,25987,ENSG00000182704
SOX3,6658,ENSG00000134595
GJA1,2697,ENSG00000152661
INPP5F,22876,ENSG00000198825
SFN,2810,ENSG00000175793
MYBL1,4603,ENSG00000185697
SLC19A2,10560,ENSG00000117479
GREB1,9687,ENSG00000196208
ITPK1,3705,
MYOF,26509,ENSG00000138119
GAB2,9846,ENSG00000033327
KRT13,3860,ENSG00000171401
FAM102A,,
KLK10,5655,ENSG00000129451
RHOD,29984,ENSG00000173156
SLC7A5,8140,ENSG00000103257
KRT19,3880,ENSG00000171345
NCOR2,9612,ENSG00000196498
TUBB2B,347733,ENSG00000137285
KRT18,3875,ENSG00000111057
MAPT,4137,
MPPED2,744,ENSG00000066382
BHLHE40,8553,ENSG00000134107
KRT15,3866,ENSG00000171346
TFF3,7033,ENSG00000160180
RARA,5914,ENSG00000131759
TFF1,7031,ENSG00000160182
RET,5979,ENSG00000165731
FOXC1,2296,ENSG00000054598
ABHD2,11057,ENSG00000140526
ENDOD1,23052,ENSG00000149218
STC2,8614,ENSG00000113739
TMPRSS3,64699,ENSG00000160183
AREG,374,ENSG00000109321
SLC7A2,6542,ENSG00000003989
TMEM164,84187,ENSG00000157600
UGCG,7357,ENSG00000148154
SEC14L2,23541,ENSG00000100003
CLIC3,9022,ENSG00000169583
ELOVL2,54898,ENSG00000197977
SVIL,6840,ENSG00000197321
ELOVL5,60481,ENSG00000012660
FOS,2353,ENSG00000170345
SNX24,28966,ENSG00000064652
GFRA1,2674,ENSG00000151892
DHRS2,10202,ENSG00000100867
DHRS3,9249,ENSG00000162496
FARP1,10160,ENSG00000152767
MYBBP1A,10514,ENSG00000132382
DLC1,10395,
CD44,960,ENSG00000026508
TJP3,27134,ENSG00000105289
LAD1,3898,ENSG00000159166
PRSS23,11098,ENSG00000150687
OLFML3,56944,ENSG00000116774
TBC1D30,23329,ENSG00000111490
ANXA9,8416,ENSG00000143412
RRP12,23223,ENSG00000052749
DEPTOR,64798,ENSG00000155792
JAK2,3717,ENSG00000096968
CA12,771,ENSG00000074410
TFAP2C,7022,ENSG00000087510
MREG,55686,ENSG00000118242
SLC16A1,6566,
NPY1R,4886,ENSG00000164128
KAZN,23254,ENSG00000189337
OLFM1,10439,ENSG00000130558
CXCL12,6387,ENSG00000107562
RAB31,11031,ENSG00000168461
PPIF,10105,ENSG00000108179
IL6ST,3572,ENSG00000134352
DHCR7,1717,ENSG00000172893
FKBP5,2289,ENSG00000096060
FKBP4,2288,ENSG00000004478
FRK,2444,ENSG00000111816
SLC27A2,11001,ENSG00000140284
CELSR1,9620,ENSG00000075275
SLC1A1,6505,ENSG00000106688
SCNN1A,6337,ENSG00000111319
HR,55806,ENSG00000168453
SLC1A4,6509,ENSG00000115902
ASB13,79754,ENSG00000196372
CELSR2,1952,ENSG00000143126
PAPSS2,9060,ENSG00000198682
ABLIM1,3983,ENSG00000099204
CCND1,595,ENSG00000110092
FLNB,2317,ENSG00000136068
SH3BP5,9467,ENSG00000131370
SLC39A6,25800,ENSG00000141424
RBBP8,5932,ENSG00000101773
MICB,4277,
OPN3,23596,ENSG00000054277
TGIF2,60436,ENSG00000118707
WFS1,7466,ENSG00000109501
CISH,1154,ENSG00000114737
IGFBP4,3487,ENSG00000141753
INHBB,3625,ENSG00000163083
SLC9A3R1,,
MED24,9862,ENSG00000008838
REEP1,65055,ENSG00000068615
PGR,5241,ENSG00000082175
BLVRB,645,ENSG00000090013
FCMR,9214,ENSG00000162894
SLC26A2,1836,ENSG00000155850
WWC1,23286,ENSG00000113645
MINDY1,55793,ENSG00000143409
SLC2A1,6513,ENSG00000117394
ARL3,403,ENSG00000138175
ISG20L2,81875,ENSG00000143319
IGF1R,3480,ENSG00000140443
RHOBTB3,22836,ENSG00000164292
TGM2,7052,ENSG00000198959
CALCR,799,ENSG00000004948
RASGRP1,10125,ENSG00000172575
PODXL,5420,ENSG00000128567
BAG1,573,ENSG00000107262
ALDH3B1,221,ENSG00000006534
PMAIP1,5366,ENSG00000141682
SYBU,55638,ENSG00000147642
SLC37A1,54020,ENSG00000160190
KDM4B,23030,ENSG00000127663
TIPARP,25976,ENSG00000163659
NAV2,89797,ENSG00000166833
ELF1,1997,ENSG00000120690
ELF3,1999,ENSG00000163435
CHPT1,56994,ENSG00000111666
ESRP2,80004,ENSG00000103067
BCL2,596,ENSG00000171791
KCNK5,8645,ENSG00000164626
B4GALT1,2683,ENSG00000086062
MAST4,375449,ENSG00000069020
HSPB8,26353,ENSG00000152137
AFF1,4299,ENSG00000172493
SYNGR1,9145,ENSG00000100321
CALB2,794,
CYP26B1,56603,ENSG00000003137
PDLIM3,27295,ENSG00000154553
NRIP1,8204,ENSG00000180530
P2RY2,5029,ENSG00000175591
ZNF185,7739,
DYNLT3,6990,ENSG00000165169
TPBG,7162,
KCNK15,60598,ENSG00000124249
KLF4,9314,ENSG00000136826
TIAM1,7074,ENSG00000156299
TPD52L1,7164,ENSG00000111907
CLDN7,1366,
MLPH,79083,ENSG00000115648
SYT12,91683,ENSG00000173227
RAB17,64284,ENSG00000124839
SLC24A3,57419,ENSG00000185052
CANT1,124583,ENSG00000171302
NXT1,29107,ENSG00000132661
SEMA3B,7869,ENSG00000012171
FHL2,2274,ENSG00000115641
ADD3,120,ENSG00000148700
NADSYN1,55191,ENSG00000172890
THSD4,79875,ENSG00000187720
RPS6KA2,6196,ENSG00000071242
LRIG1,26018,ENSG00000144749
MSMB,4477,ENSG00000263639
SCARB1,949,ENSG00000073060
