SYMBOL,ENTREZ,ENSEMBL
UNC13B,10497,ENSG00000198722
HOMER2,9455,ENSG00000103942
CACNA2D2,9254,ENSG00000007402
AMFR,267,ENSG00000159461
MAPK13,5603,ENSG00000156711
CDC20,991,ENSG00000117399
ASS1,445,ENSG00000130707
CD9,928,ENSG00000010278
GLA,2717,ENSG00000102393
KIF20A,10112,ENSG00000112984
NBL1,4681,ENSG00000158747
TOB1,10140,ENSG00000141232
ASCL1,429,ENSG00000139352
MYB,4602,ENSG00000118513
CCN5,8839,ENSG00000064205
MEST,4232,ENSG00000106484
FDFT1,2222,
ABCA3,21,ENSG00000167972
PLK4,10733,ENSG00000142731
EGR3,1960,ENSG00000179388
CHST8,64377,ENSG00000124302
XBP1,7494,ENSG00000100219
ST14,6768,ENSG00000149418
TNNC1,7134,ENSG00000114854
XRCC3,7517,ENSG00000126215
SIAH2,6478,ENSG00000181788
PLAAT3,11145,ENSG00000176485
OVOL2,58495,ENSG00000125850
PDZK1,5174,ENSG00000174827
IL17RB,55540,ENSG00000056736
SULT2B1,6820,ENSG00000088002
GJB3,2707,ENSG00000188910
IGSF1,3547,ENSG00000147255
HPRT1,3251,ENSG00000165704
PTGES,9536,ENSG00000148344
HSPA4L,22824,ENSG00000164070
SLC22A5,6584,ENSG00000197375
TSTA3,,
RAPGEFL1,51195,ENSG00000108352
SOX3,6658,ENSG00000134595
PRKAR2B,5577,ENSG00000005249
PLAC1,10761,ENSG00000170965
SFN,2810,ENSG00000175793
TPSAB1,7177,ENSG00000172236
DUSP2,1844,ENSG00000158050
ITPK1,3705,
MYOF,26509,ENSG00000138119
EMP2,2013,ENSG00000213853
KRT13,3860,ENSG00000171401
CDC6,990,ENSG00000094804
FAM102A,,
KLK10,5655,ENSG00000129451
COX6C,1345,ENSG00000164919
KLK11,11012,ENSG00000167757
SLC7A5,8140,ENSG00000103257
UGDH,7358,ENSG00000109814
KRT19,3880,ENSG00000171345
NCOR2,9612,ENSG00000196498
TH,7054,ENSG00000180176
MAPT,4137,
NMU,10874,ENSG00000109255
ID2,3398,ENSG00000115738
TFF3,7033,ENSG00000160180
TFF1,7031,ENSG00000160182
MOCS2,4338,ENSG00000164172
SGK1,6446,ENSG00000118515
SERPINA3,12,ENSG00000196136
RET,5979,ENSG00000165731
BTG3,10950,
SERPINA1,5265,
FOXC1,2296,ENSG00000054598
ABHD2,11057,ENSG00000140526
TOP2A,7153,ENSG00000131747
TMPRSS3,64699,ENSG00000160183
AREG,374,ENSG00000109321
SERPINA5,5104,ENSG00000188488
CLIC3,9022,ENSG00000169583
ELOVL5,60481,ENSG00000012660
METTL3,56339,ENSG00000165819
FOS,2353,ENSG00000170345
DHRS2,10202,ENSG00000100867
FARP1,10160,ENSG00000152767
GAL,51083,ENSG00000069482
FABP5,2171,ENSG00000164687
SLC29A1,2030,ENSG00000112759
LLGL2,3993,ENSG00000073350
CD44,960,ENSG00000026508
TJP3,27134,ENSG00000105289
PTGER3,5733,ENSG00000050628
PRSS23,11098,ENSG00000150687
SNX10,29887,ENSG00000086300
IMPA2,3613,ENSG00000141401
CKB,1152,ENSG00000166165
ANXA9,8416,ENSG00000143412
AGR2,10551,ENSG00000106541
JAK1,3716,ENSG00000162434
JAK2,3717,ENSG00000096968
GINS2,51659,ENSG00000131153
CA12,771,ENSG00000074410
TFAP2C,7022,ENSG00000087510
PRLR,5618,ENSG00000113494
SLC16A1,6566,
TFPI2,7980,ENSG00000105825
NPY1R,4886,ENSG00000164128
BATF,10538,ENSG00000156127
OLFM1,10439,ENSG00000130558
CXCL12,6387,ENSG00000107562
RAB31,11031,ENSG00000168461
PCP4,5121,
PKP3,11187,ENSG00000184363
PDCD4,27250,ENSG00000150593
PPIF,10105,ENSG00000108179
IL6ST,3572,ENSG00000134352
PLXNB1,5364,ENSG00000164050
DHCR7,1717,ENSG00000172893
FKBP5,2289,ENSG00000096060
FKBP4,2288,ENSG00000004478
PTPN6,5777,ENSG00000111679
S100A9,6280,ENSG00000163220
FRK,2444,ENSG00000111816
SLC27A2,11001,ENSG00000140284
SCNN1A,6337,ENSG00000111319
HR,55806,ENSG00000168453
SLC1A4,6509,ENSG00000115902
CELSR2,1952,ENSG00000143126
CXCL14,9547,ENSG00000145824
PAPSS2,9060,ENSG00000198682
SCUBE2,57758,ENSG00000175356
ZFP36,7538,ENSG00000128016
CCND1,595,ENSG00000110092
CDH1,999,ENSG00000039068
PERP,64065,ENSG00000112378
FLNB,2317,ENSG00000136068
RBBP8,5932,ENSG00000101773
MICB,4277,
OPN3,23596,ENSG00000054277
WFS1,7466,ENSG00000109501
CISH,1154,ENSG00000114737
STIL,6491,ENSG00000123473
IDH2,3418,ENSG00000182054
IGFBP4,3487,ENSG00000141753
DNAJC12,56521,ENSG00000108176
CYP4F11,57834,ENSG00000171903
SLC9A3R1,,
ALDH3A2,224,ENSG00000072210
ISG20,3669,ENSG00000172183
