SYMBOL,ENTREZ,ENSEMBL
H2AZ2,94239,ENSG00000105968
CASP8AP2,9994,
EGF,1950,ENSG00000138798
H2AZ1,3015,ENSG00000164032
KNL1,57082,ENSG00000137812
SLC12A2,6558,ENSG00000064651
HUS1,3364,ENSG00000136273
CDC20,991,ENSG00000117399
MAPK14,1432,ENSG00000112062
PML,5371,ENSG00000140464
DDX39A,10212,ENSG00000123136
MARCKS,4082,ENSG00000277443
NUP98,4928,ENSG00000110713
HNRNPD,3184,ENSG00000138668
KIF20B,9585,ENSG00000138182
CCNF,899,ENSG00000162063
HNRNPU,3192,ENSG00000153187
NOLC1,9221,ENSG00000166197
EWSR1,2130,ENSG00000182944
CHEK1,1111,ENSG00000149554
RACGAP1,29127,ENSG00000161800
CDC27,996,ENSG00000004897
RAD54L,8438,ENSG00000085999
SNRPD1,6632,ENSG00000167088
E2F1,1869,ENSG00000101412
MYC,4609,ENSG00000136997
E2F2,1870,
E2F3,1871,ENSG00000112242
E2F4,1874,ENSG00000205250
PLK4,10733,ENSG00000142731
PLK1,5347,ENSG00000166851
SQLE,6713,ENSG00000104549
STAG1,10274,ENSG00000118007
TPX2,22974,ENSG00000088325
UCK2,7371,ENSG00000143179
EZH2,2146,ENSG00000106462
ATF5,22809,ENSG00000169136
JPT1,51155,ENSG00000189159
NUMA1,4926,ENSG00000137497
HIF1A,3091,ENSG00000100644
SMC4,10051,ENSG00000113810
SMC2,10592,ENSG00000136824
GSPT1,2935,ENSG00000103342
TMPO,7112,ENSG00000120802
MT2A,4502,ENSG00000125148
SYNCRIP,10492,
STMN1,3925,ENSG00000117632
MYBL2,4605,ENSG00000101057
BARD1,580,ENSG00000138376
SS18,6760,ENSG00000141380
UPF1,5976,ENSG00000005007
CDC7,8317,ENSG00000097046
CDC6,990,ENSG00000094804
CENPE,1062,ENSG00000138778
SLC7A5,8140,ENSG00000103257
CENPF,1063,ENSG00000117724
INCENP,3619,ENSG00000149503
MTF2,22823,ENSG00000143033
PAFAH1B1,5048,ENSG00000007168
CDKN3,1033,ENSG00000100526
DTYMK,1841,ENSG00000168393
KIF11,3832,ENSG00000138160
YTHDC1,91746,
SUV39H1,6839,ENSG00000101945
TOP2A,7153,ENSG00000131747
KIF15,56992,
RASAL2,9462,ENSG00000075391
BRCA2,675,ENSG00000139618
CTCF,10664,ENSG00000102974
SLC7A1,6541,ENSG00000139514
HOXC10,3226,ENSG00000180818
PBK,55872,55872
MAP3K20,51776,ENSG00000091436
CDKN2C,1031,ENSG00000123080
PRMT5,10419,ENSG00000100462
RPA2,6118,ENSG00000117748
TRAIP,10293,ENSG00000183763
CKS2,1164,ENSG00000123975
TACC3,10460,ENSG00000013810
H2AX,3014,ENSG00000188486
CDKN1B,1027,ENSG00000111276
PRIM2,5558,ENSG00000146143
MKI67,4288,ENSG00000148773
CENPA,1058,ENSG00000115163
XPO1,7514,ENSG00000082898
WRN,7486,ENSG00000165392
DMD,1756,ENSG00000198947
NUSAP1,51203,ENSG00000137804
SRSF10,10772,ENSG00000188529
GINS2,51659,ENSG00000131153
TGFB1,7040,ENSG00000105329
TLE3,7090,ENSG00000140332
UBE2C,11065,ENSG00000175063
CDC25A,993,ENSG00000164045
PRPF4B,,
LIG3,3980,ENSG00000005156
ILF3,3609,ENSG00000129351
CDC25B,994,ENSG00000101224
SAP30,8819,ENSG00000164105
DKC1,1736,ENSG00000130826
UBE2S,27338,ENSG00000108106
KIF4A,24137,ENSG00000090889
PTTG3P,26255,ENSG00000213005
MAD2L1,4085,ENSG00000164109
CCNT1,904,ENSG00000129315
ODC1,4953,ENSG00000115758
SRSF1,6426,ENSG00000136450
SRSF2,6427,ENSG00000161547
ARID4A,5926,ENSG00000032219
AURKA,6790,ENSG00000087586
EFNA5,1946,ENSG00000184349
HIRA,7290,ENSG00000100084
AURKB,9212,ENSG00000178999
CCND1,595,ENSG00000110092
NSD2,7468,ENSG00000109685
PURA,5813,ENSG00000185129
KIF5B,3799,ENSG00000170759
PTTG1,9232,ENSG00000164611
KMT5A,387893,ENSG00000183955
HMGN2,3151,ENSG00000198830
KPNA2,3838,ENSG00000182481
SMAD3,4088,ENSG00000166949
SLC38A1,81539,ENSG00000111371
KIF22,3835,ENSG00000079616
ODF2,4957,ENSG00000136811
STIL,6491,ENSG00000123473
FANCC,2176,ENSG00000158169
KIF23,9493,ENSG00000137807
NASP,4678,ENSG00000132780
FOXN3,1112,ENSG00000053254
NDC80,10403,ENSG00000080986
CCNA2,890,ENSG00000145386
TFDP1,7027,ENSG00000198176
NCL,4691,ENSG00000115053
BIRC5,332,ENSG00000089685
TROAP,10024,ENSG00000135451
KIF2C,11004,ENSG00000142945
MNAT1,4331,ENSG00000020426
NOTCH2,4853,ENSG00000134250
CUL5,8065,ENSG00000166266
CUL3,8452,ENSG00000036257
CUL1,8454,ENSG00000055130
PDS5B,23047,ENSG00000083642
CHAF1A,10036,ENSG00000167670
CCNB2,9133,ENSG00000157456
G3BP1,10146,ENSG00000145907
CHMP1A,5119,ENSG00000131165
NEK2,4751,ENSG00000117650
ABL1,25,ENSG00000097007
DR1,1810,ENSG00000117505
HSPA8,3312,ENSG00000109971
CBX1,10951,ENSG00000108468
RAD23B,5887,ENSG00000119318
HMGA1,3159,ENSG00000137309
SMC1A,8243,ENSG00000072501
CUL4A,8451,ENSG00000139842
NUP50,10762,ENSG00000093000
POLA2,23649,ENSG00000014138
MEIS2,4212,ENSG00000134138
RBL1,5933,ENSG00000080839
MEIS1,4211,ENSG00000143995
ESPL1,9700,ENSG00000135476
SFPQ,6421,ENSG00000116560
CDK4,1019,ENSG00000135446
H2BC12,85236,ENSG00000197903
BCL3,602,ENSG00000069399
CDK1,983,ENSG00000170312
MCM5,4174,ENSG00000100297
MCM6,4175,ENSG00000076003
TOP1,7150,ENSG00000198900
MCM2,4171,ENSG00000073111
MCM3,4172,ENSG00000112118
