SYMBOL,ENTREZ,ENSEMBL
SLC35A3,23443,ENSG00000117620
GLCE,26035,ENSG00000138604
HOMER1,9456,ENSG00000152413
PC,5091,ENSG00000173599
PSMC4,5704,
RRAGD,58528,ENSG00000025039
CTH,1491,ENSG00000116761
KIF20A,10112,ENSG00000112984
RBCK1,10616,ENSG00000125826
POLR3K,51728,ENSG00000161980
XYLT2,64132,ENSG00000015532
GLRX,2745,ENSG00000173221
CLDN3,1365,ENSG00000165215
HS6ST2,90161,ENSG00000171004
CHST12,55501,ENSG00000136213
UGP2,7360,ENSG00000169764
MXI1,4601,ENSG00000119950
DPYSL4,10570,ENSG00000151640
PMM2,5373,ENSG00000140650
MIF,4282,
TALDO1,6888,ENSG00000177156
COG2,22796,ENSG00000135775
ALG1,56052,ENSG00000033011
PHKA2,5256,ENSG00000044446
EXT1,2131,ENSG00000182197
EXT2,2132,ENSG00000151348
ALDH7A1,501,ENSG00000164904
CHST1,8534,ENSG00000175264
SDC1,6382,ENSG00000115884
CHST2,9435,ENSG00000175040
SDC2,6383,ENSG00000169439
GNE,10020,ENSG00000159921
CHST6,4166,ENSG00000183196
CHST4,10164,ENSG00000140835
TSTA3,,
PAXIP1,22976,ENSG00000157212
TXN,7295,ENSG00000136810
ENO1,2023,ENSG00000074800
ENO2,2026,ENSG00000111674
ARPP19,10776,ENSG00000128989
STMN1,3925,ENSG00000117632
SOX9,6662,ENSG00000125398
IER3,8870,
PDK3,5165,ENSG00000067992
MIOX,55586,ENSG00000100253
TPI1,7167,ENSG00000111669
AKR1A1,10327,ENSG00000117448
VEGFA,7422,ENSG00000112715
P4HA1,5033,ENSG00000122884
ARTN,9048,ENSG00000117407
P4HA2,8974,ENSG00000072682
DEPDC1,55635,ENSG00000024526
TFF3,7033,ENSG00000160180
PAM,5066,ENSG00000145730
ALDOB,229,ENSG00000136872
ALDOA,226,ENSG00000149925
CITED2,10370,ENSG00000164442
SDC3,9672,ENSG00000162512
STC1,6781,ENSG00000159167
STC2,8614,ENSG00000113739
TGFA,7039,ENSG00000163235
VLDLR,7436,ENSG00000147852
LDHC,3948,ENSG00000166796
LDHA,3939,
LHPP,64077,ENSG00000107902
QSOX1,5768,ENSG00000116260
EGLN3,112399,ENSG00000129521
MDH2,4191,ENSG00000146701
PGAM1,5223,ENSG00000171314
PGAM2,5224,ENSG00000164708
TPST1,8460,ENSG00000169902
ANGPTL4,51129,ENSG00000167772
B3GNT3,10331,ENSG00000179913
DLD,1738,ENSG00000091140
CD44,960,ENSG00000026508
ERO1A,30001,ENSG00000197930
PYGB,5834,ENSG00000100994
PYGL,5836,ENSG00000100504
CENPA,1058,ENSG00000115163
GYS1,2997,ENSG00000104812
NANP,140838,ENSG00000170191
NDST3,9348,ENSG00000164100
PPP2CB,5516,ENSG00000104695
GYS2,2998,ENSG00000111713
NSDHL,50814,
CXCR4,7852,ENSG00000121966
MDH1,4190,ENSG00000014641
BIK,638,ENSG00000100290
RARS1,5917,ENSG00000113643
G6PD,2539,ENSG00000160211
SRD5A3,79644,ENSG00000128039
AGL,178,ENSG00000162688
B3GAT3,26229,ENSG00000149541
B3GAT1,27087,ENSG00000109956
SDHC,6391,ENSG00000143252
SAP30,8819,ENSG00000164105
GNPDA1,10007,ENSG00000113552
PPIA,5478,ENSG00000196262
PLOD1,5351,ENSG00000083444
COL5A1,1289,ENSG00000130635
TGFBI,7045,ENSG00000120708
GAPDHS,26330,ENSG00000105679
PKP2,5318,ENSG00000057294
DSC2,1824,ENSG00000134755
FKBP4,2288,ENSG00000004478
AGRN,375790,ENSG00000188157
NOL3,8996,ENSG00000140939
IDUA,3425,ENSG00000127415
MPI,4351,ENSG00000178802
CHPF,79586,ENSG00000123989
AURKA,6790,ENSG00000087586
HDLBP,3069,ENSG00000115677
PLOD2,5352,ENSG00000152952
EGFR,1956,ENSG00000146648
NT5E,4907,ENSG00000135318
CAPN5,726,ENSG00000149260
GPC1,2817,ENSG00000063660
GPC4,2239,ENSG00000076716
GPC3,2719,ENSG00000147257
NDUFV3,4731,ENSG00000160194
SLC16A3,9123,ENSG00000141526
PPFIA4,8497,ENSG00000143847
IDH1,3417,ENSG00000138413
CHPF2,54480,ENSG00000033100
GOT2,2806,ENSG00000125166
GOT1,2805,ENSG00000120053
IGFBP3,3486,ENSG00000146674
B3GALT6,126792,ENSG00000176022
NASP,4678,ENSG00000132780
MED24,9862,ENSG00000008838
ISG20,3669,ENSG00000172183
EFNA3,1944,ENSG00000143590
GCLC,2729,ENSG00000001084
KIF2A,3796,ENSG00000068796
PFKFB1,5207,ENSG00000158571
LHX9,56956,ENSG00000143355
IRS2,8660,ENSG00000185950
COPB2,9276,ENSG00000184432
AK3,50808,ENSG00000147853
AK4,205,ENSG00000162433
GPR87,53836,ENSG00000138271
CACNA1H,8912,ENSG00000196557
FAM162A,26355,ENSG00000114023
IL13RA1,3597,ENSG00000131724
ANKZF1,55139,ENSG00000163516
ECD,11319,ENSG00000122882
GFPT1,2673,ENSG00000198380
HSPA5,3309,ENSG00000044574
MERTK,10461,ENSG00000153208
CYB5A,1528,ENSG00000166347
GALK1,2584,ENSG00000108479
HAX1,10456,ENSG00000143575
VCAN,1462,ENSG00000038427
ELF3,1999,ENSG00000163435
ADORA2B,136,ENSG00000170425
CDK1,983,ENSG00000170312
FBP2,8789,ENSG00000130957
GALK2,2585,ENSG00000156958
B4GALT4,8702,ENSG00000121578
B4GALT1,2683,ENSG00000086062
GAL3ST1,9514,ENSG00000128242
B4GALT2,8704,ENSG00000117411
ABCB6,10058,ENSG00000115657
HMMR,3161,ENSG00000072571
HS2ST1,9653,ENSG00000153936
HK2,3099,ENSG00000159399
FUT8,2530,ENSG00000033170
CASP6,839,ENSG00000138794
GMPPA,29926,ENSG00000144591
GMPPB,29925,ENSG00000173540
ME2,4200,ENSG00000082212
ME1,4199,ENSG00000065833
PGK1,5230,ENSG00000102144
SLC37A4,2542,
TKTL1,8277,ENSG00000007350
SPAG4,6676,ENSG00000061656
TPBG,7162,
SOD1,6647,ENSG00000142168
DCN,1634,ENSG00000011465
PKM,5315,ENSG00000067225
GALE,2582,ENSG00000117308
CLDN9,9080,ENSG00000213937
DDIT4,54541,ENSG00000168209
ANG,283,ENSG00000214274
KDELR3,11015,ENSG00000100196
MET,4233,ENSG00000105976
SLC25A10,1468,ENSG00000183048
ALDH9A1,223,ENSG00000143149
B4GALT7,11285,ENSG00000027847
SLC25A13,10165,ENSG00000004864
LCT,3938,ENSG00000115850
PFKP,5214,ENSG00000067057
PRPS1,5631,ENSG00000147224
RPE,6120,ENSG00000197713
ZNF292,23036,ENSG00000188994
CLN6,54982,ENSG00000128973
PGLS,25796,ENSG00000130313
BPNT1,10380,ENSG00000162813
GUSB,2990,ENSG00000169919
PGM2,55276,ENSG00000169299
