SYMBOL,ENTREZ,ENSEMBL
TLE3,7090,ENSG00000140332
TLE1,7088,ENSG00000196781
UNC5C,8633,ENSG00000182168
PTCH1,5727,ENSG00000185920
VEGFA,7422,ENSG00000112715
L1CAM,3897,ENSG00000198910
PML,5371,ENSG00000140464
RASA1,5921,ENSG00000145715
CDK6,1021,ENSG00000105810
MYH9,4627,ENSG00000100345
NF1,4763,ENSG00000196712
CDK5R1,8851,ENSG00000176749
SCG2,7857,ENSG00000171951
ACHE,43,ENSG00000087085
CNTFR,1271,ENSG00000122756
NRP1,8829,ENSG00000099250
NRP2,8828,ENSG00000118257
RTN1,6252,ENSG00000139970
CELSR1,9620,ENSG00000075275
LDB1,8861,ENSG00000198728
CRMP1,1400,ENSG00000072832
PLG,5340,ENSG00000122194
THY1,7070,ENSG00000154096
VLDLR,7436,ENSG00000147852
ETS2,2114,ENSG00000157557
GLI1,2735,ENSG00000111087
AMOT,154796,ENSG00000126016
DPYSL2,1808,ENSG00000092964
SHH,6469,ENSG00000164690
HEY2,23493,ENSG00000135547
HEY1,23462,ENSG00000164683
OPHN1,4983,ENSG00000079482
SLIT1,6585,ENSG00000187122
NRCAM,4897,ENSG00000091129
ADGRG1,9289,ENSG00000205336
NKX6-1,4825,ENSG00000163623
