SYMBOL,ENTREZ,ENSEMBL
ACSL6,23305,ENSG00000164398
CTNS,1497,ENSG00000040531
GAPVD1,26130,ENSG00000165219
UBAC1,10422,ENSG00000130560
PC,5091,ENSG00000173599
HMBS,3145,ENSG00000256269
MYL4,4635,ENSG00000198336
TMCC2,9911,ENSG00000133069
TRIM10,10107,
OPTN,10133,ENSG00000123240
EPB41,2035,ENSG00000159023
EPB42,2038,ENSG00000166947
AQP3,360,ENSG00000165272
BACH1,571,ENSG00000156273
PPOX,5498,ENSG00000143224
PSMD9,5715,ENSG00000110801
BSG,682,ENSG00000172270
CDC27,996,ENSG00000004897
MXI1,4601,ENSG00000119950
E2F2,1870,
BTRC,8945,ENSG00000166167
SNCA,6622,ENSG00000145335
NFE2,4778,ENSG00000123405
SLC11A2,4891,ENSG00000110911
H1-0,3005,ENSG00000189060
ANK1,286,ENSG00000029534
ELL2,22936,ENSG00000118985
TENT5C,54855,ENSG00000183508
KEL,3792,
SLC6A8,6535,ENSG00000130821
BCAM,4059,ENSG00000187244
SLC6A9,6536,ENSG00000196517
EZH1,2145,ENSG00000108799
KDM7A,80853,ENSG00000006459
TMEM9B,56674,ENSG00000175348
SLC22A4,6583,ENSG00000197208
ISCA1,81689,ENSG00000135070
TFRC,7037,ENSG00000072274
GDE1,51573,ENSG00000006007
ICAM4,3386,ENSG00000105371
MGST3,4259,ENSG00000143198
DCUN1D1,54165,ENSG00000043093
SLC30A10,55532,ENSG00000196660
GATA1,2623,ENSG00000102145
C3,718,ENSG00000125730
TNS1,7145,ENSG00000079308
PRDX2,7001,ENSG00000167815
TSPAN5,10098,ENSG00000168785
H4C3,8364,ENSG00000197061
ERMAP,114625,ENSG00000164010
ATP6V0A1,535,ENSG00000033627
CDR2,1039,ENSG00000140743
CTSB,1508,
CROCCP2,84809,ENSG00000291072
CROCCP2,,ENSG00000215908
NCOA4,8031,ENSG00000266412
SLC10A3,8273,ENSG00000126903
TYR,7299,ENSG00000077498
PDZK1IP1,10158,ENSG00000162366
KAT2B,8850,ENSG00000114166
ALDH6A1,4329,ENSG00000119711
P4HA2,8974,ENSG00000072682
TAL1,6886,ENSG00000162367
HBBP1,,ENSG00000229988
HBBP1,3044,
RANBP10,57610,ENSG00000141084
GYPB,2994,ENSG00000250361
BTG2,7832,ENSG00000159388
GYPA,2993,ENSG00000170180
GYPC,2995,ENSG00000136732
HBB,3043,ENSG00000244734
GYPE,2996,ENSG00000197465
IGSF3,3321,ENSG00000143061
HBD,3045,ENSG00000223609
HBD,100187828,
ENDOD1,23052,ENSG00000149218
ADIPOR1,51094,ENSG00000159346
SLC7A11,23657,ENSG00000151012
SPTA1,6708,ENSG00000163554
NNT,23530,ENSG00000112992
SEC14L1,6397,ENSG00000129657
HBQ1,3049,ENSG00000086506
HTATIP2,10553,ENSG00000109854
CLIC2,1193,ENSG00000155962
CTSE,1510,ENSG00000196188
HBZ,3050,ENSG00000130656
DMTN,2039,ENSG00000158856
MOCOS,55034,ENSG00000075643
MPP1,4354,ENSG00000130830
TCEA1,6917,ENSG00000187735
HDGF,3068,ENSG00000143321
RHAG,6005,ENSG00000112077
RNF123,63891,ENSG00000164068
MARCHF2,51257,ENSG00000099785
SLC66A2,80148,ENSG00000122490
PIGQ,9091,ENSG00000007541
RHD,6007,ENSG00000187010
TRAK2,66008,ENSG00000115993
NUDT4,11163,ENSG00000173598
XPO7,23039,ENSG00000130227
MARCHF8,220972,
RIOK3,8780,ENSG00000101782
AHSP,51327,ENSG00000169877
LMO2,4005,ENSG00000135363
RHCE,6006,ENSG00000188672
SLC25A38,54977,ENSG00000144659
XK,7504,ENSG00000047597
SIDT2,51092,ENSG00000149577
LRP10,26020,ENSG00000197324
YPEL5,51646,ENSG00000119801
ABCG2,9429,ENSG00000118777
SLC25A37,51312,ENSG00000147454
OSBP2,23762,ENSG00000184792
ALDH1L1,10840,ENSG00000144908
UCP2,7351,ENSG00000175567
CPOX,1371,ENSG00000080819
FOXO3,2309,ENSG00000118689
CCND3,896,ENSG00000112576
LAMP2,3920,ENSG00000005893
RNF19A,25897,ENSG00000034677
CIR1,9541,ENSG00000138433
ARHGEF12,23365,ENSG00000196914
CAST,831,ENSG00000153113
MAP2K3,5606,ENSG00000034152
BNIP3L,665,ENSG00000104765
NEK7,140609,ENSG00000151414
UROS,7390,ENSG00000188690
VEZF1,7716,ENSG00000136451
SLC30A1,7779,ENSG00000170385
FBXO34,55030,ENSG00000178974
MFHAS1,9258,
SDCBP,6386,ENSG00000137575
MINPP1,9562,ENSG00000107789
PICALM,8301,ENSG00000073921
GCLC,2729,ENSG00000001084
RCL1,10171,ENSG00000120158
TFDP2,7029,ENSG00000114126
