SYMBOL,ENTREZ,ENSEMBL
WSB1,26118,ENSG00000109046
JMJD6,23210,ENSG00000070495
XPNPEP1,7511,ENSG00000108039
RRAGD,58528,ENSG00000025039
PPP1R3C,5507,ENSG00000119938
MT1E,4493,ENSG00000169715
TES,26136,ENSG00000135269
ATF3,467,ENSG00000162772
SERPINE1,5054,ENSG00000106366
GLRX,2745,ENSG00000173221
UGP2,7360,ENSG00000169764
NOCT,25819,ENSG00000151014
MXI1,4601,ENSG00000119950
DPYSL4,10570,ENSG00000151640
CCN5,8839,ENSG00000064205
CCN2,1490,ENSG00000118523
PPARGC1A,10891,ENSG00000109819
CCN1,3491,ENSG00000142871
DTNA,1837,ENSG00000134769
SIAH2,6478,ENSG00000181788
MIF,4282,
PRKCA,5578,ENSG00000154229
EXT1,2131,ENSG00000182197
FOSL2,2355,ENSG00000075426
SLC6A6,6533,ENSG00000131389
SULT2B1,6820,ENSG00000088002
BCAN,63827,ENSG00000132692
LALBA,3906,ENSG00000167531
CHST2,9435,ENSG00000175040
SDC2,6383,ENSG00000169439
HOXB9,3219,ENSG00000170689
CHST3,9469,ENSG00000122863
LXN,56925,ENSG00000079257
NEDD4L,23327,ENSG00000049759
PDGFB,5155,ENSG00000100311
ENO1,2023,ENSG00000074800
ENO2,2026,ENSG00000111674
ENO3,2027,ENSG00000108515
RBPJ,3516,ENSG00000168214
MT2A,4502,ENSG00000125148
PLAC8,51316,ENSG00000145287
PRDX5,25824,ENSG00000126432
HMOX1,3162,ENSG00000100292
PDK1,5163,ENSG00000152256
IER3,8870,
PDK3,5165,ENSG00000067992
EDN2,1907,ENSG00000127129
ANXA2,302,ENSG00000182718
JUN,3725,ENSG00000177606
DUSP1,1843,ENSG00000120129
TPI1,7167,ENSG00000111669
AMPD3,272,ENSG00000133805
CP,1356,ENSG00000047457
VEGFA,7422,ENSG00000112715
P4HA1,5033,ENSG00000122884
P4HA2,8974,ENSG00000072682
BHLHE40,8553,ENSG00000134107
CCNG2,901,ENSG00000138764
PAM,5066,ENSG00000145730
ALDOC,230,ENSG00000109107
ALDOB,229,ENSG00000136872
ALDOA,226,ENSG00000149925
GPI,2821,
BTG1,694,ENSG00000133639
CITED2,10370,ENSG00000164442
SDC3,9672,ENSG00000162512
SDC4,6385,ENSG00000124145
STC1,6781,ENSG00000159167
ADM,133,ENSG00000148926
STC2,8614,ENSG00000113739
VLDLR,7436,ENSG00000147852
BRS3,680,ENSG00000102239
LDHC,3948,ENSG00000166796
LDHA,3939,
CSRP2,1466,ENSG00000175183
IDS,3423,ENSG00000010404
NFIL3,4783,ENSG00000165030
PCK1,5105,ENSG00000124253
TPD52,7163,ENSG00000076554
PKLR,5313,
PGAM2,5224,ENSG00000164708
GAA,2548,
FOS,2353,ENSG00000170345
BGN,633,ENSG00000182492
F3,2152,ENSG00000117525
TPST2,8459,ENSG00000128294
ANGPTL4,51129,ENSG00000167772
PLIN2,123,ENSG00000147872
INHA,3623,ENSG00000123999
ERRFI1,54206,ENSG00000116285
SRPX,8406,ENSG00000101955
CDKN1B,1027,ENSG00000111276
CDKN1C,1028,
ERO1A,30001,ENSG00000197930
HEXA,3073,ENSG00000213614
CDKN1A,1026,ENSG00000124762
NCAN,1463,ENSG00000130287
GBE1,2632,ENSG00000114480
GCNT2,2651,
PYGM,5837,ENSG00000068976
GYS1,2997,ENSG00000104812
NDST2,8509,ENSG00000166507
NDST1,3340,ENSG00000070614
AKAP12,9590,ENSG00000131016
STBD1,8987,ENSG00000118804
CXCR4,7852,ENSG00000121966
CA12,771,ENSG00000074410
HS3ST1,9957,ENSG00000002587
MAP3K1,4214,ENSG00000095015
TGFB3,7043,ENSG00000119699
CAVIN1,284119,ENSG00000177469
CAVIN3,112464,ENSG00000170955
KLHL24,54800,ENSG00000114796
PNRC1,10957,ENSG00000146278
SAP30,8819,ENSG00000164105
GCK,2645,ENSG00000106633
ILVBL,10994,ENSG00000105135
COL5A1,1289,ENSG00000130635
TGFBI,7045,ENSG00000120708
GAPDHS,26330,ENSG00000105679
S100A4,6275,ENSG00000196154
PKP1,5317,ENSG00000081277
PPP1R15A,23645,ENSG00000087074
HDLBP,3069,ENSG00000115677
EGFR,1956,ENSG00000146648
FOXO3,2309,ENSG00000118689
NDRG1,10397,ENSG00000104419
KIF5A,3798,ENSG00000155980
ZFP36,7538,ENSG00000128016
GPC1,2817,ENSG00000063660
HAS1,3036,ENSG00000105509
GPC4,2239,ENSG00000076716
GPC3,2719,ENSG00000147257
PPFIA4,8497,ENSG00000143847
IGFBP1,3484,ENSG00000146678
BNIP3L,665,ENSG00000104765
IGFBP3,3486,ENSG00000146674
B3GALT6,126792,ENSG00000176022
PGF,5228,ENSG00000119630
MAFF,23764,ENSG00000185022
EFNA1,1942,ENSG00000169242
ISG20,3669,ENSG00000172183
EFNA3,1944,ENSG00000143590
LOX,4015,ENSG00000113083
PFKFB3,5209,ENSG00000170525
IRS2,8660,ENSG00000185950
SLC2A1,6513,ENSG00000117394
AK4,205,ENSG00000162433
SLC2A3,6515,ENSG00000059804
SLC2A5,6518,ENSG00000142583
ETS1,2113,ENSG00000134954
RORA,6095,ENSG00000069667
TGM2,7052,ENSG00000198959
FAM162A,26355,ENSG00000114023
PIM1,5292,ENSG00000137193
ANKZF1,55139,ENSG00000163516
TIPARP,25976,ENSG00000163659
HSPA5,3309,ENSG00000044574
CAV1,857,ENSG00000105974
GALK1,2584,ENSG00000108479
GRHPR,9380,ENSG00000137106
IL6,3569,ENSG00000136244
ADORA2B,136,ENSG00000170425
MYH9,4627,ENSG00000100345
BCL2,596,ENSG00000171791
FBP1,2203,ENSG00000165140
TMEM45A,55076,ENSG00000181458
SLC25A1,6576,ENSG00000100075
TNFAIP3,7128,ENSG00000118503
HK1,3098,ENSG00000156515
HK2,3099,ENSG00000159399
CASP6,839,ENSG00000138794
PGK1,5230,ENSG00000102144
B4GALNT2,124872,ENSG00000167080
SLC37A4,2542,
TKTL1,8277,ENSG00000007350
TPBG,7162,
PLAUR,5329,ENSG00000011422
DCN,1634,ENSG00000011465
SELENBP1,8991,ENSG00000143416
KLF7,8609,ENSG00000118263
NAGK,55577,ENSG00000124357
KLF6,1316,ENSG00000067082
PFKL,5211,ENSG00000141959
DDIT4,54541,ENSG00000168209
DDIT3,1649,ENSG00000175197
ACKR3,57007,ENSG00000144476
KDELR3,11015,ENSG00000100196
GAPDH,2597,ENSG00000111640
PFKP,5214,ENSG00000067057
KDM3A,55818,ENSG00000115548
ZNF292,23036,ENSG00000188994
NR3C1,2908,ENSG00000113580
PHKG1,5260,ENSG00000164776
VHL,7428,ENSG00000134086
ATP7A,538,ENSG00000165240
PGM2,55276,ENSG00000169299
SCARB1,949,ENSG00000073060
LARGE1,9215,ENSG00000133424
PGM1,5236,ENSG00000079739
