SYMBOL,ENTREZ,ENSEMBL
IL1R2,7850,ENSG00000115590
TTC39B,158219,ENSG00000155158
RRAGD,58528,ENSG00000025039
ITIH5,80760,ENSG00000123243
CYFIP1,23191,
IFITM3,10410,ENSG00000142089
AHNAK,79026,ENSG00000124942
FGL2,10875,ENSG00000127951
PNP,4860,
MUC1,4582,ENSG00000185499
FLT3LG,2323,ENSG00000090554
MYC,4609,ENSG00000136997
WLS,79971,ENSG00000116729
GBP4,115361,ENSG00000162654
ST3GAL4,6484,ENSG00000110080
PRKCH,5583,ENSG00000027075
BATF3,55509,ENSG00000123685
RABGAP1L,9910,ENSG00000152061
GABARAPL1,23710,ENSG00000139112
XBP1,7494,ENSG00000100219
GADD45B,4616,ENSG00000099860
CDCP1,64866,ENSG00000163814
PLSCR1,5359,ENSG00000188313
UCK2,7371,ENSG00000143179
PLPP1,8611,ENSG00000067113
CDC42SE2,56990,ENSG00000158985
RNH1,6050,
IKZF2,22807,ENSG00000030419
ENO3,2027,ENSG00000108515
IKZF4,64375,ENSG00000123411
GATA1,2623,ENSG00000102145
CD79B,974,ENSG00000007312
ALCAM,214,ENSG00000170017
TNFSF11,8600,ENSG00000120659
TNFSF10,8743,ENSG00000121858
NCOA3,8202,ENSG00000124151
IL10,3586,ENSG00000136634
ANXA4,307,ENSG00000196975
IL13,3596,ENSG00000169194
IL10RA,3587,ENSG00000110324
EMP1,2012,ENSG00000134531
RHOH,399,ENSG00000168421
LIF,3976,ENSG00000128342
PTCH1,5727,ENSG00000185920
CDC6,990,ENSG00000094804
FAM126B,,
RHOB,388,ENSG00000143878
P4HA1,5033,ENSG00000122884
BHLHE40,8553,ENSG00000134107
ETFBKMT,254013,ENSG00000139160
TLR7,51284,ENSG00000196664
UMPS,7372,ENSG00000114491
IL18R1,8809,ENSG00000115604
CTSZ,1522,ENSG00000101160
PTH1R,5745,ENSG00000160801
SHE,126669,ENSG00000169291
SOCS1,8651,ENSG00000185338
SOCS2,8835,ENSG00000120833
PENK,5179,ENSG00000181195
SH3BGRL2,83699,ENSG00000198478
CTLA4,1493,ENSG00000163599
MAP6,4135,ENSG00000171533
NFIL3,4783,ENSG00000165030
SNX9,51429,ENSG00000130340
CCR4,1233,ENSG00000183813
ICOS,29851,ENSG00000163600
IFNGR1,3459,ENSG00000027697
GSTO1,9446,ENSG00000148834
DHRS3,9249,ENSG00000162496
SERPINB6,5269,ENSG00000124570
ADAM19,8728,ENSG00000135074
CCNE1,898,ENSG00000105173
F2RL2,2151,ENSG00000164220
PTRH2,51651,ENSG00000141378
CD48,962,ENSG00000117091
PLIN2,123,ENSG00000147872
SLC29A2,3177,ENSG00000174669
CD44,960,ENSG00000026508
EEF1AKMT1,221143,ENSG00000150456
NRP1,8829,ENSG00000099250
ECM1,1893,ENSG00000143369
AHCY,191,ENSG00000101444
CDKN1C,1028,
