SYMBOL,ENTREZ,ENSEMBL
PTPN1,5770,ENSG00000196396
TGFB1,7040,ENSG00000105329
CCR1,1230,ENSG00000163823
PTPN2,5771,ENSG00000175354
IL4R,3566,ENSG00000077238
JUN,3725,ENSG00000177606
IL1R1,3554,ENSG00000115594
IL1R2,7850,ENSG00000115590
ITGA4,3676,ENSG00000115232
TNFRSF12A,51330,ENSG00000006327
IL10RB,3588,ENSG00000243646
PLA2G2A,5320,ENSG00000188257
DNTT,1791,ENSG00000107447
PTPN11,5781,ENSG00000179295
TYK2,7297,ENSG00000105397
OSMR,9180,ENSG00000145623
TNFRSF1A,7132,ENSG00000067182
TNFRSF1B,7133,ENSG00000028137
CXCL10,3627,ENSG00000169245
HAX1,10456,ENSG00000143575
TLR2,7097,ENSG00000137462
CXCL11,6373,ENSG00000169248
IL1B,3553,ENSG00000125538
IRF1,3659,ENSG00000125347
TNFRSF21,27242,ENSG00000146072
IL7,3574,ENSG00000104432
CXCL13,10563,ENSG00000156234
IL6,3569,ENSG00000136244
CD9,928,ENSG00000010278
FAS,355,ENSG00000026103
IL3RA,3563,
IL9R,3581,
IRF9,10379,
IL6ST,3572,ENSG00000134352
PF4,5196,ENSG00000163737
STAM2,10254,ENSG00000115145
CRLF2,64109,
IL18R1,8809,ENSG00000115604
CNTFR,1271,ENSG00000122756
ACVRL1,94,ENSG00000139567
CSF3R,1441,ENSG00000119535
CXCL9,4283,ENSG00000138755
CSF2,1437,ENSG00000164400
CSF1,1435,ENSG00000184371
EBI3,10148,ENSG00000105246
PIK3R5,23533,ENSG00000141506
TNF,7124,
CXCL1,2919,ENSG00000163739
IL2RG,3561,ENSG00000147168
CXCL3,2921,ENSG00000163734
SOCS3,9021,ENSG00000184557
SOCS1,8651,ENSG00000185338
CD38,952,ENSG00000004468
CD36,948,ENSG00000135218
IL12RB1,3594,ENSG00000096996
MAP3K8,1326,ENSG00000107968
IL17RA,23765,ENSG00000177663
IL15RA,3601,ENSG00000134470
IFNGR1,3459,ENSG00000027697
STAT1,6772,ENSG00000115415
IFNGR2,3460,
STAT2,6773,ENSG00000170581
STAT3,6774,ENSG00000168610
INHBE,83729,ENSG00000139269
IL17RB,55540,ENSG00000056736
MYD88,4615,ENSG00000172936
LTBR,4055,ENSG00000111321
IL2RA,3559,ENSG00000134460
LTB,4050,
GRB2,2885,ENSG00000177885
IFNAR1,3454,ENSG00000142166
CD44,960,ENSG00000026508
REG1A,5967,ENSG00000115386
ITGB3,3690,ENSG00000259207
PDGFC,56034,ENSG00000145431
CSF2RA,1438,
ACVR1B,91,ENSG00000135503
CBL,867,ENSG00000110395
CSF2RB,1439,ENSG00000100368
CCL7,6354,ENSG00000108688
HMOX1,3162,ENSG00000100292
LEPR,3953,ENSG00000116678
PIM1,5292,ENSG00000137193
BAK1,578,ENSG00000030110
A2M,2,ENSG00000175899
CD14,929,ENSG00000170458
IL13RA1,3597,ENSG00000131724
