SYMBOL,ENTREZ,ENSEMBL
IL1R1,3554,ENSG00000115594
EREG,2069,ENSG00000124882
MARCO,8685,ENSG00000019169
TNFSF9,8744,ENSG00000125657
VIP,7432,ENSG00000146469
SLAMF1,6504,ENSG00000117090
SGMS2,166929,ENSG00000164023
IFITM1,8519,ENSG00000185885
AQP9,366,ENSG00000103569
SERPINE1,5054,ENSG00000106366
C3AR1,719,ENSG00000171860
NOD2,64127,ENSG00000167207
MYC,4609,ENSG00000136997
PROK2,60675,ENSG00000163421
MSR1,4481,ENSG00000038945
ABCA1,19,ENSG00000165029
TNFSF15,9966,ENSG00000181634
FZD5,7855,ENSG00000163251
SLC11A2,4891,ENSG00000110911
RNF144B,255488,ENSG00000137393
GPR183,1880,ENSG00000169508
CHST2,9435,ENSG00000175040
MEP1A,4224,ENSG00000112818
NPFFR2,10886,ENSG00000056291
HPN,3249,ENSG00000105707
ICAM4,3386,ENSG00000105371
HIF1A,3091,ENSG00000100644
ICAM1,3383,ENSG00000090339
LPAR1,1902,ENSG00000198121
KCNMB2,10242,
IL12B,3593,ENSG00000113302
SCARF1,8578,
FFAR2,2867,ENSG00000126262
TNFSF10,8743,ENSG00000121858
CD14,929,ENSG00000170458
CMKLR1,1240,ENSG00000174600
SCN1B,6324,ENSG00000105711
EDN1,1906,ENSG00000078401
LYN,4067,ENSG00000254087
CCL24,6369,ENSG00000106178
GABBR1,2550,
IL10,3586,ENSG00000136634
CCL22,6367,ENSG00000102962
IL15,3600,ENSG00000164136
CCL20,6364,ENSG00000115009
IL10RA,3587,ENSG00000110324
SPHK1,8877,ENSG00000176170
NMI,9111,ENSG00000123609
TACR3,6870,ENSG00000169836
LIF,3976,ENSG00000128342
EMP3,2014,ENSG00000142227
TACR1,6869,ENSG00000115353
IL18,3606,ENSG00000150782
RHOG,391,ENSG00000177105
OSMR,9180,ENSG00000145623
DCBLD2,131566,ENSG00000057019
IL1A,3552,ENSG00000115008
PTPRE,5791,ENSG00000132334
TLR2,7097,ENSG00000137462
BST2,684,ENSG00000130303
IL1B,3553,ENSG00000125538
TLR1,7096,ENSG00000174125
MMP14,4323,ENSG00000157227
IL18R1,8809,ENSG00000115604
TLR3,7098,ENSG00000164342
BTG2,7832,ENSG00000159388
CD40,958,ENSG00000101017
MEFV,4210,ENSG00000103313
EBI3,10148,ENSG00000105246
ADM,133,ENSG00000148926
FPR1,2357,ENSG00000171051
SLC7A1,6541,ENSG00000139514
CX3CL1,6376,ENSG00000006210
SLC7A2,6542,ENSG00000003989
RIPK2,8767,ENSG00000104312
TIMP1,7076,ENSG00000102265
CCR7,1236,ENSG00000126353
KIF1B,23095,ENSG00000054523
GCH1,2643,ENSG00000131979
IFNGR2,3460,
GP1BA,2811,ENSG00000185245
F3,2152,ENSG00000117525
CD48,962,ENSG00000117091
HBEGF,1839,ENSG00000113070
CDKN1A,1026,ENSG00000124762
PTGER2,5732,ENSG00000125384
PTAFR,5724,ENSG00000169403
KCNA3,3738,ENSG00000177272
PTGER4,5734,ENSG00000171522
CXCR6,10663,ENSG00000172215
GNAI3,2773,ENSG00000065135
GPR132,29933,ENSG00000183484
NAMPT,10135,ENSG00000105835
STAB1,23166,ENSG00000010327
CCL17,6361,ENSG00000102970
OLR1,4973,ENSG00000173391
CD55,1604,ENSG00000196352
ICOSLG,23308,ENSG00000160223
IL4R,3566,ENSG00000077238
SLC31A2,1318,ENSG00000136867
CD70,970,ENSG00000125726
SEMA4D,10507,ENSG00000187764
OSM,5008,ENSG00000099985
SLC31A1,1317,ENSG00000136868
CXCL10,3627,ENSG00000169245
CXCL11,6373,ENSG00000169248
AXL,558,ENSG00000167601
SELENOS,55829,ENSG00000131871
ABI1,10006,ENSG00000136754
LY6E,4061,
APLNR,187,ENSG00000134817
CD69,969,ENSG00000110848
SLC28A2,9153,ENSG00000137860
RAF1,5894,ENSG00000132155
RELA,5970,ENSG00000173039
CSF3R,1441,ENSG00000119535
CSF3,1440,ENSG00000108342
CD82,3732,ENSG00000085117
CSF1,1435,ENSG00000184371
RGS16,6004,ENSG00000143333
SLC1A2,6506,ENSG00000110436
AHR,196,ENSG00000106546
PVR,5817,ENSG00000073008
ATP2C1,27032,ENSG00000017260
BEST1,7439,ENSG00000167995
PDPN,10630,ENSG00000162493
HAS2,3037,ENSG00000170961
LAMP3,27074,ENSG00000078081
CCRL2,9034,ENSG00000121797
NLRP3,114548,ENSG00000162711
GPC3,2719,ENSG00000147257
LDLR,3949,ENSG00000130164
INHBA,3624,ENSG00000122641
CYBB,1536,ENSG00000165168
SELE,6401,ENSG00000007908
NFKB1,4790,ENSG00000109320
MXD1,4084,ENSG00000059728
SELL,6402,ENSG00000188404
NMUR1,10316,ENSG00000171596
IFNAR1,3454,ENSG00000142166
IL7R,3575,ENSG00000168685
CALCRL,10203,ENSG00000064989
C5AR1,728,ENSG00000197405
PSEN1,5663,ENSG00000080815
IL18RAP,8807,ENSG00000115607
RASGRP1,10125,ENSG00000172575
RGS1,5996,ENSG00000090104
CLEC5A,23601,ENSG00000258227
NDP,4693,ENSG00000124479
TNFRSF9,3604,ENSG00000049249
ROS1,6098,ENSG00000047936
ITGA5,3678,ENSG00000161638
EIF2AK2,5610,ENSG00000055332
TAPBP,6892,
ACVR2A,92,ENSG00000121989
TNFRSF1B,7133,ENSG00000028137
IRF1,3659,ENSG00000125347
NFKBIA,4792,ENSG00000100906
IL6,3569,ENSG00000136244
ADORA2B,136,ENSG00000170425
IRF7,3665,
LCP2,3937,ENSG00000043462
CXCL8,3576,ENSG00000169429
CXCL9,4283,ENSG00000138755
TNFAIP6,7130,ENSG00000123610
PIK3R5,23533,ENSG00000141506
CXCL6,6372,ENSG00000124875
ADGRE1,2015,ENSG00000174837
HRH1,3269,ENSG00000196639
IRAK2,3656,ENSG00000134070
BDKRB1,623,ENSG00000100739
P2RY2,5029,ENSG00000175591
PDE4B,5142,ENSG00000184588
IL15RA,3601,ENSG00000134470
PTGIR,5739,ENSG00000160013
ADRM1,11047,ENSG00000130706
TPBG,7162,
OPRK1,4986,ENSG00000082556
PLAUR,5329,ENSG00000011422
ATP2B1,490,ENSG00000070961
P2RX7,5027,ENSG00000089041
LCK,3932,ENSG00000182866
KLF6,1316,ENSG00000067082
P2RX4,5025,ENSG00000135124
IL2RB,3560,ENSG00000100385
LTA,4049,
MET,4233,ENSG00000105976
RTP4,64108,
ITGB3,3690,ENSG00000259207
SRI,6717,ENSG00000075142
ATP2A2,488,ENSG00000174437
SLC4A4,8671,ENSG00000080493
ACVR1B,91,ENSG00000135503
GNA15,2769,ENSG00000060558
CCL7,6354,ENSG00000108688
CCL5,6352,
PCDH7,5099,ENSG00000169851
CCL2,6347,ENSG00000108691
ITGB8,3696,ENSG00000105855
KCNJ2,3759,ENSG00000123700
