SYMBOL,ENTREZ,ENSEMBL
CD74,972,ENSG00000019582
IL4R,3566,ENSG00000077238
MX1,4599,ENSG00000157601
SP110,3431,ENSG00000135899
RSAD2,91543,ENSG00000134321
TAP1,6890,
PSMB9,5698,
CXCL10,3627,ENSG00000169245
CXCL11,6373,ENSG00000169248
IFI44L,10964,ENSG00000137959
LAP3,51056,ENSG00000002549
LPAR6,10161,ENSG00000139679
IFI27,3429,
TRAFD1,10906,ENSG00000135148
LY6E,4061,
TRIM14,9830,ENSG00000106785
IFITM2,10581,ENSG00000185201
IFITM3,10410,ENSG00000142089
SAMD9,54809,ENSG00000205413
CSF1,1435,ENSG00000184371
IFITM1,8519,ENSG00000185885
SAMD9L,219285,ENSG00000177409
UBE2L6,9246,ENSG00000156587
RNF31,55072,
HERC6,55008,ENSG00000138642
LAMP3,27074,ENSG00000078081
CCRL2,9034,ENSG00000121797
MVB12A,93343,ENSG00000141971
B2M,567,
CMTR1,23070,ENSG00000137200
GBP2,2634,ENSG00000162645
EPSTI1,94240,ENSG00000133106
GBP4,115361,ENSG00000162654
BATF2,116071,ENSG00000168062
HLA-C,3107,
TENT5A,55603,ENSG00000112773
ISG15,9636,ENSG00000187608
TDRD7,23424,ENSG00000196116
IFI44,10561,ENSG00000137965
PARP14,54625,ENSG00000173193
MOV10,4343,ENSG00000155363
ISG20,3669,ENSG00000172183
PARP12,64761,ENSG00000059378
PLSCR1,5359,ENSG00000188313
PROCR,10544,ENSG00000101000
SELL,6402,ENSG00000188404
PSME2,5721,
PSME1,5720,
CNP,1267,ENSG00000173786
LGALS3BP,3959,ENSG00000108679
IFI35,3430,ENSG00000068079
IFIT2,3433,ENSG00000119922
IFI30,10437,ENSG00000216490
DDX60,55601,ENSG00000137628
IFIT3,3437,ENSG00000119917
HELZ2,85441,ENSG00000130589
NUB1,51667,ENSG00000013374
PNPT1,87178,ENSG00000138035
IL15,3600,ENSG00000164136
NCOA7,135112,ENSG00000111912
EIF2AK2,5610,ENSG00000055332
NMI,9111,ENSG00000123609
OAS1,4938,ENSG00000089127
BST2,684,ENSG00000130303
ELF1,1997,ENSG00000120690
IRF1,3659,ENSG00000125347
IL7,3574,ENSG00000104432
IRF2,3660,ENSG00000168310
IRF9,10379,
IRF7,3665,
UBA7,7318,ENSG00000182179
GMPR,2766,ENSG00000137198
ADAR,103,ENSG00000160710
CASP8,841,ENSG00000064012
TRIM5,85363,ENSG00000132256
RIPK2,8767,ENSG00000104312
CASP1,834,ENSG00000137752
STAT2,6773,ENSG00000170581
WARS1,7453,ENSG00000140105
PARP9,83666,ENSG00000138496
PSMA3,5684,ENSG00000100567
CMPK2,129607,ENSG00000134326
TXNIP,10628,ENSG00000265972
CD47,961,ENSG00000196776
RTP4,64108,
C1S,716,ENSG00000182326
OGFR,11054,ENSG00000060491
TMEM140,55281,ENSG00000146859
USP18,11274,ENSG00000184979
OASL,8638,ENSG00000135114
SLC25A28,81894,ENSG00000155287
IFIH1,64135,ENSG00000115267
PSMB8,5696,
DHX58,79132,ENSG00000108771
TRIM25,7706,ENSG00000121060
TRIM26,7726,
TRIM21,6737,ENSG00000132109
