SYMBOL,ENTREZ,ENSEMBL
GBP6,163351,ENSG00000183347
MX1,4599,ENSG00000157601
SP110,3431,ENSG00000135899
MX2,4600,ENSG00000183486
RSAD2,91543,ENSG00000134321
PSMB9,5698,
PML,5371,ENSG00000140464
NUP93,9688,ENSG00000102900
LAP3,51056,ENSG00000002549
MTHFD2,10797,ENSG00000065911
IFI27,3429,
TRIM14,9830,ENSG00000106785
RBCK1,10616,ENSG00000125826
IDO1,3620,ENSG00000131203
IFITM2,10581,ENSG00000185201
IFITM3,10410,ENSG00000142089
FGL2,10875,ENSG00000127951
NOD1,10392,ENSG00000106100
UBE2L6,9246,ENSG00000156587
PSMB10,5699,ENSG00000205220
APOL6,80830,ENSG00000221963
HERC6,55008,ENSG00000138642
PNP,4860,
ST3GAL5,8869,ENSG00000115525
SLAMF7,57823,ENSG00000026751
B2M,567,
EPSTI1,94240,ENSG00000133106
GBP4,115361,ENSG00000162654
BATF2,116071,ENSG00000168062
ST8SIA4,7903,ENSG00000113532
PLA2G4A,5321,ENSG00000116711
HLA-A,3105,
HLA-B,3106,
HLA-G,3135,
IFI44,10561,ENSG00000137965
PARP14,54625,ENSG00000173193
LATS2,26524,ENSG00000150457
PARP12,64761,ENSG00000059378
PLSCR1,5359,ENSG00000188313
VAMP8,8673,ENSG00000118640
BANK1,55024,ENSG00000153064
PSME2,5721,
SERPING1,710,ENSG00000149131
PSME1,5720,
SSPN,8082,ENSG00000123096
VAMP5,10791,ENSG00000168899
CFB,629,
HLA-DRB1,3123,
CFH,3075,ENSG00000000971
IFI35,3430,ENSG00000068079
HIF1A,3091,ENSG00000100644
IFIT2,3433,ENSG00000119922
IFI30,10437,ENSG00000216490
IFIT1,3434,ENSG00000185745
ICAM1,3383,ENSG00000090339
IFIT3,3437,ENSG00000119917
RNF213,57674,ENSG00000173821
HELZ2,85441,ENSG00000130589
MT2A,4502,ENSG00000125148
KLRK1,22914,ENSG00000213809
TNFSF10,8743,ENSG00000121858
CMKLR1,1240,ENSG00000174600
GPR18,2841,ENSG00000125245
NCOA3,8202,ENSG00000124151
PNPT1,87178,ENSG00000138035
IL15,3600,ENSG00000164136
IL10RA,3587,ENSG00000110324
NMI,9111,ENSG00000123609
BST2,684,ENSG00000130303
RAPGEF6,51735,ENSG00000158987
IL18BP,10068,ENSG00000137496
CD40,958,ENSG00000101017
BTG1,694,ENSG00000133639
SECTM1,6398,ENSG00000141574
FPR1,2357,ENSG00000171051
SOCS3,9021,ENSG00000184557
SOCS1,8651,ENSG00000185338
CD38,952,ENSG00000004468
RIPK2,8767,ENSG00000104312
RIPK1,8737,ENSG00000137275
HLA-DQA1,3117,
P2RY14,9934,ENSG00000174944
STAT1,6772,ENSG00000115415
GCH1,2643,ENSG00000131979
STAT2,6773,ENSG00000170581
STAT3,6774,ENSG00000168610
STAT4,6775,ENSG00000138378
PSMA2,5683,ENSG00000106588
PSMA3,5684,ENSG00000100567
CMPK2,129607,ENSG00000134326
PELI1,57162,ENSG00000197329
MARCHF1,55016,ENSG00000145416
CDKN1A,1026,ENSG00000124762
OGFR,11054,ENSG00000060491
PTGS2,5743,ENSG00000073756
IFIH1,64135,ENSG00000115267
PSMB8,5696,
NAMPT,10135,ENSG00000105835
PSMB2,5690,ENSG00000126067
METTL7B,,
HLA-DMA,3108,
JAK2,3717,ENSG00000096968
PTPN1,5770,ENSG00000196396
PTPN2,5771,ENSG00000175354
ZBP1,81030,ENSG00000124256
CD74,972,ENSG00000019582
IL4R,3566,ENSG00000077238
TOR1B,27348,ENSG00000136816
TAP1,6890,
VCAM1,7412,ENSG00000162692
CXCL10,3627,ENSG00000169245
CXCL11,6373,ENSG00000169248
IFI44L,10964,ENSG00000137959
ZNFX1,57169,ENSG00000124201
FAS,355,ENSG00000026103
TRAFD1,10906,ENSG00000135148
LY6E,4061,
CD69,969,ENSG00000110848
PTPN6,5777,ENSG00000111679
CD86,942,ENSG00000114013
SAMD9L,219285,ENSG00000177409
RNF31,55072,
CMTR1,23070,ENSG00000137200
DDX58,,
AUTS2,26053,ENSG00000158321
ARID5B,84159,ENSG00000150347
ISG15,9636,ENSG00000187608
TDRD7,23424,ENSG00000196116
NFKB1,4790,ENSG00000109320
ISG20,3669,ENSG00000172183
MYD88,4615,ENSG00000172936
SELP,6403,ENSG00000174175
XAF1,54739,ENSG00000132530
IFNAR2,3455,ENSG00000159110
CD274,29126,ENSG00000120217
LGALS3BP,3959,ENSG00000108679
SPPL2A,84888,ENSG00000138600
CSF2RB,1439,ENSG00000100368
DDX60,55601,ENSG00000137628
PIM1,5292,ENSG00000137193
EIF2AK2,5610,ENSG00000055332
XCL1,6375,ENSG00000143184
TAPBP,6892,
IRF1,3659,ENSG00000125347
NFKBIA,4792,ENSG00000100906
IL7,3574,ENSG00000104432
IL6,3569,ENSG00000136244
IRF4,3662,ENSG00000137265
OAS2,4939,ENSG00000111335
IRF5,3663,ENSG00000128604
OAS3,4940,ENSG00000111331
IRF2,3660,ENSG00000168310
IRF8,3394,ENSG00000140968
IRF9,10379,
IRF7,3665,
LCP2,3937,ENSG00000043462
EIF4E3,317649,ENSG00000163412
ARL4A,10124,ENSG00000122644
CXCL9,4283,ENSG00000138755
TNFAIP6,7130,ENSG00000123610
TNFAIP3,7128,ENSG00000118503
NLRC5,84166,ENSG00000140853
TNFAIP2,7127,ENSG00000185215
ADAR,103,ENSG00000160710
CASP8,841,ENSG00000064012
CASP7,840,ENSG00000165806
CASP4,837,ENSG00000196954
CASP3,836,ENSG00000164305
ISOC1,51015,ENSG00000066583
PDE4B,5142,ENSG00000184588
CASP1,834,ENSG00000137752
CIITA,4261,ENSG00000179583
IL15RA,3601,ENSG00000134470
GZMA,3001,ENSG00000145649
LYSMD2,256586,ENSG00000140280
BPGM,669,ENSG00000172331
WARS1,7453,ENSG00000140105
SOD2,6648,ENSG00000291237
IL2RB,3560,ENSG00000100385
TXNIP,10628,ENSG00000265972
PFKP,5214,ENSG00000067057
C1R,715,
RTP4,64108,
C1S,716,ENSG00000182326
MVP,9961,ENSG00000013364
SRI,6717,ENSG00000075142
USP18,11274,ENSG00000184979
OASL,8638,ENSG00000135114
SAMHD1,25939,ENSG00000101347
SLC25A28,81894,ENSG00000155287
FCGR1A,2209,ENSG00000150337
CCL7,6354,ENSG00000108688
DHX58,79132,ENSG00000108771
CCL5,6352,
TRIM25,7706,ENSG00000121060
TRIM26,7726,
CCL2,6347,ENSG00000108691
ITGB7,3695,ENSG00000139626
TRIM21,6737,ENSG00000132109
UPP1,7378,ENSG00000183696
