SYMBOL,ENTREZ,ENSEMBL
KRT1,3848,ENSG00000167768
SLC12A3,6559,ENSG00000070915
EPHA5,2044,ENSG00000145242
GAMT,2593,ENSG00000130005
EGF,1950,ENSG00000138798
KRT5,3852,ENSG00000186081
MX1,4599,ENSG00000157601
KRT4,3851,ENSG00000170477
ENTPD7,57089,ENSG00000198018
RSAD2,91543,ENSG00000134321
SOX10,6663,ENSG00000100146
CYP39A1,51302,ENSG00000146233
ZC2HC1C,79696,ENSG00000119703
SCGB1A1,7356,ENSG00000149021
SCN10A,6336,ENSG00000185313
PCDHB1,29930,
ASB7,140460,ENSG00000183475
CD207,50489,ENSG00000116031
CPEB3,22849,ENSG00000107864
CNTFR,1271,ENSG00000122756
SPRR3,6707,ENSG00000163209
ITIH3,3699,ENSG00000162267
SMPX,23676,ENSG00000091482
ALOX12B,242,ENSG00000179477
CALML5,51806,ENSG00000178372
SLC5A5,6528,ENSG00000105641
VPREB1,7441,ENSG00000169575
RIBC2,26150,ENSG00000128408
SNCB,6620,ENSG00000074317
DTNB,1838,ENSG00000138101
MTHFR,4524,ENSG00000177000
SLC6A14,11254,ENSG00000268104
TEX15,56154,ENSG00000133863
TENT5C,54855,ENSG00000183508
COPZ2,51226,ENSG00000005243
COL2A1,1280,ENSG00000139219
ATP4A,495,ENSG00000105675
STAG3,10734,ENSG00000066923
CLPS,1208,ENSG00000137392
HNF1A,6927,ENSG00000135100
KLHDC8A,55220,ENSG00000162873
CHST2,9435,ENSG00000175040
ATP6V1B1,525,ENSG00000116039
PTGFR,5737,ENSG00000122420
PNMT,5409,ENSG00000141744
LYPD3,27076,ENSG00000124466
SLC6A3,6531,
C5,727,ENSG00000106804
TCL1A,8115,ENSG00000100721
KCNMB1,3779,ENSG00000145936
KCNN1,3780,ENSG00000105642
IL12B,3593,ENSG00000113302
SYNPO,11346,ENSG00000171992
LGALS7,3963,
BARD1,580,ENSG00000138376
PDK2,5164,ENSG00000005882
EDN1,1906,ENSG00000078401
EDN2,1907,ENSG00000127129
SPHK2,56848,ENSG00000063176
FSHB,2488,ENSG00000131808
GP2,2813,ENSG00000169347
KRT13,3860,ENSG00000171401
PAX4,5078,ENSG00000106331
PAX3,5077,ENSG00000135903
GPRC5C,55890,
TG,7038,ENSG00000042832
CLDN16,10686,ENSG00000113946
MYOT,9499,ENSG00000120729
CYP11B2,1585,ENSG00000179142
KRT15,3866,ENSG00000171346
COQ8A,56997,ENSG00000163050
TFF2,7032,ENSG00000160181
AKR1B10,57016,ENSG00000198074
GPR19,2842,ENSG00000183150
SGK1,6446,ENSG00000118515
ZNF112,7771,ENSG00000062370
TENM2,57451,ENSG00000145934
BTG2,7832,ENSG00000159388
MEFV,4210,ENSG00000103313
CCDC106,29903,ENSG00000173581
TFCP2L1,29842,ENSG00000115112
SERPINA10,51156,
PTPRJ,5795,ENSG00000149177
KLK8,11202,ENSG00000129455
KLK7,5650,ENSG00000169035
HSD11B2,3291,ENSG00000176387
CCR8,1237,ENSG00000179934
SPTBN2,6712,ENSG00000173898
SERPINB2,5055,ENSG00000197632
GPR3,2827,ENSG00000181773
GP1BA,2811,ENSG00000185245
NR6A1,2649,ENSG00000148200
ABCB11,8647,
KCNQ2,3785,
CD40LG,959,ENSG00000102245
SLC29A3,55315,ENSG00000198246
BRDT,676,ENSG00000137948
RYR2,6262,ENSG00000198626
RYR1,6261,ENSG00000196218
LFNG,3955,ENSG00000106003
NUDT11,55190,ENSG00000196368
CHRNG,1146,ENSG00000196811
TFAP2B,7021,ENSG00000008196
TGFB2,7042,ENSG00000092969
CKM,1158,ENSG00000104879
ZBTB16,7704,ENSG00000109906
THNSL2,55258,ENSG00000144115
CDKAL1,54901,ENSG00000145996
EDAR,10913,ENSG00000135960
SELENOP,6414,ENSG00000250722
IFI44L,10964,ENSG00000137959
MSH5,4439,
SIDT1,54847,ENSG00000072858
YPEL1,29799,ENSG00000100027
ABCG4,64137,ENSG00000172350
PDCD1,5133,
PKP1,5317,ENSG00000081277
PRKN,5071,ENSG00000185345
IDUA,3425,ENSG00000127415
CD80,941,ENSG00000121594
CELSR2,1952,ENSG00000143126
MACROH2A2,55506,ENSG00000099284
CAPN9,10753,ENSG00000135773
NTF3,4908,ENSG00000185652
SLC16A7,9194,ENSG00000118596
FGF22,27006,ENSG00000070388
IGFBP2,3485,ENSG00000115457
CPA2,1358,ENSG00000158516
KCND1,3750,
SLC30A3,7781,ENSG00000115194
ADRA2C,152,ENSG00000184160
UPK3B,105375355,
NR4A2,4929,ENSG00000153234
CCNA1,8900,ENSG00000133101
FGF16,8823,ENSG00000196468
GDNF,2668,ENSG00000168621
TLX1,3195,ENSG00000107807
CDH16,1014,ENSG00000166589
FGFR3,2261,ENSG00000068078
CALCB,797,ENSG00000175868
KCNE2,9992,ENSG00000159197
CLSTN3,9746,
CPB1,1360,ENSG00000153002
KMT2D,8085,ENSG00000167548
IRS4,8471,ENSG00000133124
CACNA1F,778,ENSG00000102001
TGM1,7051,
SNN,8303,ENSG00000184602
PRODH,5625,ENSG00000100033
SLC38A3,10991,ENSG00000188338
EFHD1,80303,ENSG00000115468
HTR1D,3352,ENSG00000179546
HTR1B,3351,ENSG00000135312
AMBN,258,ENSG00000178522
SSTR4,6754,ENSG00000132671
WNT16,51384,ENSG00000002745
IL5,3567,ENSG00000113525
IFNG,3458,ENSG00000111537
ITGB1BP2,26548,ENSG00000147166
MAGIX,79917,
ARPP21,10777,ENSG00000172995
MYH7,4625,ENSG00000092054
BMPR1B,658,ENSG00000138696
SHOX2,6474,ENSG00000168779
GTF3C5,9328,ENSG00000148308
NPY4R,5540,ENSG00000204174
MAST3,23031,ENSG00000099308
OXT,5020,ENSG00000101405
FGGY,55277,ENSG00000172456
VPS50,55610,ENSG00000004766
MFSD6,54842,ENSG00000151690
P2RY4,5030,ENSG00000186912
NRIP2,83714,ENSG00000053702
SKIL,6498,ENSG00000136603
TAS2R4,50832,ENSG00000127364
PROP1,5626,
CAMK1D,57118,ENSG00000183049
DCC,1630,ENSG00000187323
TCF7L1,83439,
GRID2,2895,ENSG00000152208
UGT2B17,7367,ENSG00000197888
NGB,58157,ENSG00000165553
DLK2,65989,ENSG00000171462
P2RX6,9127,ENSG00000099957
NPHS1,4868,ENSG00000161270
MYO15A,51168,ENSG00000091536
CLDN8,9073,ENSG00000156284
RGS11,8786,ENSG00000076344
PLAG1,5324,ENSG00000181690
THRB,7068,ENSG00000151090
ARHGDIG,398,ENSG00000242173
YBX2,51087,
ACTC1,70,ENSG00000159251
TNNI3,7137,ENSG00000129991
CACNG1,786,ENSG00000108878
NOS1,4842,ENSG00000089250
PDE6B,5158,ENSG00000133256
SLC25A23,79085,ENSG00000125648
INSL5,10022,ENSG00000172410
TSHB,7252,ENSG00000134200
