SYMBOL,ENTREZ,ENSEMBL
ATG10,83734,ENSG00000152348
CIDEA,1149,ENSG00000176194
EREG,2069,ENSG00000124882
MALL,7851,ENSG00000144063
NIN,51199,ENSG00000100503
RBP4,5950,ENSG00000138207
SLPI,6590,ENSG00000124107
ITGBL1,9358,ENSG00000198542
SPARCL1,8404,ENSG00000152583
ZNF277,11179,ENSG00000198839
ADAMDEC1,27299,ENSG00000134028
SATB1,6304,ENSG00000182568
C3AR1,719,ENSG00000171860
RETN,56729,ENSG00000104918
GLRX,2745,ENSG00000173221
IL2RG,3561,ENSG00000147168
TFPI,7035,ENSG00000003436
ADGRA2,25960,ENSG00000020181
AKT2,208,ENSG00000105221
RABGAP1L,9910,ENSG00000152061
ST6GAL1,6480,ENSG00000073849
GADD45G,10912,ENSG00000130222
PPBP,5473,ENSG00000163736
AMMECR1,9949,ENSG00000101935
NR0B2,8431,ENSG00000131910
IGF2,3481,ENSG00000167244
BTC,685,ENSG00000174808
TNNT2,7139,ENSG00000118194
CCSER2,54462,ENSG00000107771
STRN,6801,ENSG00000115808
CFB,629,
SPON1,10418,ENSG00000262655
CFH,3075,ENSG00000000971
PLEK2,26499,ENSG00000100558
IKZF1,10320,ENSG00000185811
GNG11,2791,ENSG00000127920
EPB41L3,23136,ENSG00000082397
TSPAN7,7102,ENSG00000156298
ANKH,56172,ENSG00000154122
SOX9,6662,ENSG00000125398
KCNN4,3783,ENSG00000104783
CMKLR1,1240,ENSG00000174600
TSPAN1,10103,ENSG00000117472
APOD,347,ENSG00000189058
SCN1B,6324,ENSG00000105711
GABRA3,2556,ENSG00000011677
DUSP6,1848,ENSG00000139318
FUCA1,2517,ENSG00000179163
ACE,1636,ENSG00000159640
JUP,3728,ENSG00000173801
CCL20,6364,ENSG00000115009
IL10RA,3587,ENSG00000110324
EMP1,2012,ENSG00000134531
LIF,3976,ENSG00000128342
PDCD1LG2,80380,ENSG00000197646
SNAP91,9892,ENSG00000065609
DCBLD2,131566,ENSG00000057019
MMP11,4320,
WDR33,55339,ENSG00000136709
MMP10,4319,ENSG00000166670
VWA5A,4013,ENSG00000110002
IL1B,3553,ENSG00000125538
LAT2,7462,ENSG00000086730
GPRC5B,51704,ENSG00000167191
CFHR2,3080,
ID2,3398,ENSG00000115738
TLR8,51311,ENSG00000101916
SDCCAG8,10806,
ADGRL4,64123,ENSG00000162618
AVL9,23080,ENSG00000105778
SERPINA3,12,ENSG00000196136
TPH1,7166,ENSG00000129167
GYPC,2995,ENSG00000136732
PTPRR,5801,ENSG00000153233
CAB39L,81617,ENSG00000102547
CROT,54677,ENSG00000005469
TOR1AIP2,163590,ENSG00000169905
CTSS,1520,ENSG00000163131
MAP7,9053,ENSG00000135525
CD37,951,ENSG00000104894
FCER1G,2207,ENSG00000158869
MPZL2,10205,ENSG00000149573
PRELID3B,51012,ENSG00000101166
HSD11B1,3290,ENSG00000117594
IL33,90865,ENSG00000137033
MMD,23531,ENSG00000108960
MAP4K1,11184,ENSG00000104814
ARG1,383,ENSG00000118520
TMEM176A,55365,ENSG00000002933
G0S2,50486,ENSG00000123689
TMEM176B,28959,ENSG00000106565
WNT7A,7476,ENSG00000154764
LAPTM5,7805,ENSG00000162511
NR1H4,9971,ENSG00000012504
ANO1,55107,ENSG00000131620
TMEM158,25907,ENSG00000249992
ADAM17,6868,ENSG00000151694
ANGPTL4,51129,ENSG00000167772
F2RL1,2150,ENSG00000164251
ENG,2022,ENSG00000106991
HBEGF,1839,ENSG00000113070
NRP1,8829,ENSG00000099250
ERO1A,30001,ENSG00000197930
MTMR10,54893,
F13A1,2162,ENSG00000124491
PIGR,5284,ENSG00000162896
HOXD11,3237,ENSG00000128713
PTGS2,5743,ENSG00000073756
PSMB8,5696,
AKAP12,9590,ENSG00000131016
CXCR4,7852,ENSG00000121966
GPNMB,10457,ENSG00000136235
CBR4,84869,ENSG00000145439
MAP3K1,4214,ENSG00000095015
PTCD2,79810,ENSG00000049883
GUCY1A1,2982,ENSG00000164116
PRRX1,5396,ENSG00000116132
H2BC3,3018,ENSG00000276410
CXCL10,3627,ENSG00000169245
MYCN,4613,ENSG00000134323
PCP4,5121,
CLEC4A,50856,ENSG00000111729
ADAM8,101,ENSG00000151651
SCG5,6447,
SCG3,29106,ENSG00000104112
PLVAP,83483,ENSG00000130300
CSF2,1437,ENSG00000164400
PPP1R15A,23645,ENSG00000087074
RGS16,6004,ENSG00000143333
PRDM1,639,ENSG00000057657
RELN,5649,ENSG00000189056
CCND2,894,ENSG00000118971
KIF5C,3800,
SPP1,6696,ENSG00000118785
IGFBP3,3486,ENSG00000146674
INHBA,3624,ENSG00000122641
TRAF1,7185,ENSG00000056558
MAFB,9935,ENSG00000204103
DNMBP,23268,ENSG00000107554
BIRC3,330,ENSG00000023445
YRDC,79693,ENSG00000196449
IL7R,3575,ENSG00000168685
PLAU,5328,ENSG00000122861
PLAT,5327,ENSG00000104368
CSF2RA,1438,
ETS1,2113,ENSG00000134954
TMEM100,55273,ENSG00000166292
FGF9,2254,ENSG00000102678
BTBD3,22903,ENSG00000132640
PCSK1N,27344,ENSG00000102109
CDADC1,81602,ENSG00000102543
CBX8,57332,ENSG00000141570
GALNT3,2591,ENSG00000115339
PEG3,5178,ENSG00000198300
GFPT2,9945,ENSG00000131459
ITGA2,3673,ENSG00000164171
ETV1,2115,ENSG00000006468
NAP1L2,4674,ENSG00000186462
ETV4,2118,ENSG00000175832
MMP9,4318,ENSG00000100985
ETV5,2119,ENSG00000244405
TNFRSF1B,7133,ENSG00000028137
BMP2,650,ENSG00000125845
LCP1,3936,ENSG00000136167
CPE,1363,ENSG00000109472
ZNF639,51193,ENSG00000121864
IRF8,3394,ENSG00000140968
PECAM1,5175,ENSG00000261371
DOCK2,1794,ENSG00000134516
SNAP25,6616,ENSG00000132639
ABCB1,5243,ENSG00000085563
TNFAIP3,7128,ENSG00000118503
LY96,23643,ENSG00000154589
PTBP2,58155,ENSG00000117569
CA2,760,ENSG00000104267
EVI5,7813,ENSG00000067208
PRKG2,5593,ENSG00000138669
ANXA10,11199,ENSG00000109511
PLAUR,5329,ENSG00000011422
BPGM,669,ENSG00000172331
KLF4,9314,ENSG00000136826
NGF,4803,ENSG00000134259
ALDH1A3,220,ENSG00000184254
ALDH1A2,8854,ENSG00000128918
HKDC1,80201,ENSG00000156510
SPRY2,10253,ENSG00000136158
TRIB2,28951,ENSG00000071575
TRIB1,10221,ENSG00000173334
ITGB2,3689,ENSG00000160255
FLT4,2324,ENSG00000037280
SEMA3B,7869,ENSG00000012171
USP12,219333,ENSG00000152484
HDAC9,9734,ENSG00000048052
TSPAN13,27075,ENSG00000106537
CBL,867,ENSG00000110395
USH1C,10083,ENSG00000006611
RBM4,5936,ENSG00000173933
IL1RL2,8808,ENSG00000115598
FBXO4,26272,ENSG00000151876
EPHB2,2048,ENSG00000133216
