SYMBOL,ENTREZ,ENSEMBL
ACTN4,81,
PCGF5,84333,ENSG00000180628
APC,324,ENSG00000134982
MARCKS,4082,ENSG00000277443
NIN,51199,ENSG00000100503
KIF20B,9585,ENSG00000138182
EPB41,2035,ENSG00000159023
STAU1,6780,ENSG00000124214
CD2AP,23607,ENSG00000198087
UXT,8409,ENSG00000126756
PPP4R2,151987,ENSG00000163605
CSNK1D,1453,ENSG00000141551
RACGAP1,29127,ENSG00000161800
CDC27,996,ENSG00000004897
PREX1,57580,ENSG00000124126
STK38L,23012,ENSG00000211455
ARFIP2,23647,ENSG00000132254
PLK1,5347,ENSG00000166851
BCR,613,ENSG00000186716
LATS1,9113,ENSG00000131023
CCDC88A,55704,ENSG00000115355
TPX2,22974,ENSG00000088325
BIN1,274,ENSG00000136717
NET1,10276,ENSG00000173848
SASS6,163786,ENSG00000156876
EZR,7430,ENSG00000092820
TRIO,7204,ENSG00000038382
ITSN1,6453,ENSG00000205726
NUMA1,4926,ENSG00000137497
SMC4,10051,ENSG00000113810
SMC3,9126,ENSG00000108055
ABR,29,
EPB41L2,2037,ENSG00000079819
CDK5RAP2,55755,ENSG00000136861
CEP72,55722,
KIFAP3,22920,ENSG00000075945
CEP192,55125,ENSG00000101639
SYNPO,11346,ENSG00000171992
RHOF,54509,ENSG00000139725
LRPPRC,10128,ENSG00000138095
ANLN,54443,ENSG00000011426
CENPE,1062,ENSG00000138778
CENPF,1063,ENSG00000117724
INCENP,3619,ENSG00000149503
CENPJ,55835,ENSG00000151849
PAFAH1B1,5048,ENSG00000007168
ARHGEF2,9181,ENSG00000116584
ARHGEF3,50650,ENSG00000163947
RAPGEF6,51735,ENSG00000158987
KPTN,11133,ENSG00000118162
ARHGEF7,8874,ENSG00000102606
RAPGEF5,9771,ENSG00000136237
RABGAP1,23637,ENSG00000011454
KIF11,3832,ENSG00000138160
PIF1,80119,ENSG00000140451
TOP2A,7153,ENSG00000131747
KIF15,56992,
NEDD9,4739,ENSG00000111859
RASAL2,9462,ENSG00000075391
BRCA2,675,ENSG00000139618
CNTRL,11064,ENSG00000119397
KIF1B,23095,ENSG00000054523
SPTBN1,6711,ENSG00000115306
CEP57,9702,ENSG00000166037
DLGAP5,9787,ENSG00000126787
MAP1S,55201,ENSG00000130479
SORBS2,8470,ENSG00000154556
DYNLL2,140735,ENSG00000264364
MYO9B,4650,ENSG00000099331
FARP1,10160,ENSG00000152767
RANBP9,10048,ENSG00000010017
SEPTIN9,10801,
CLIP2,7461,ENSG00000106665
CLIP1,6249,ENSG00000130779
CTTN,2017,
TAOK2,9344,ENSG00000149930
LLGL1,3996,ENSG00000131899
ARF6,382,ENSG00000165527
DYNC1H1,1778,ENSG00000197102
MAPRE1,22919,ENSG00000101367
RAB3GAP1,22930,ENSG00000115839
ALMS1,7840,ENSG00000116127
TUBD1,51174,ENSG00000108423
WASL,8976,ENSG00000106299
AKAP13,11214,ENSG00000170776
PCM1,5108,ENSG00000078674
OPHN1,4983,ENSG00000079482
NUSAP1,51203,ENSG00000137804
RICTOR,253260,ENSG00000164327
SPTAN1,6709,ENSG00000197694
GSN,2934,ENSG00000148180
RALBP1,10928,ENSG00000017797
ARHGAP29,9411,ENSG00000137962
TSC1,7248,ENSG00000165699
ARHGAP27,201176,
MID1,4281,ENSG00000101871
TUBA4A,7277,ENSG00000127824
ABI1,10006,ENSG00000136754
KIF4A,24137,ENSG00000090889
TUBGCP6,85378,ENSG00000128159
ARL8A,127829,ENSG00000143862
TUBGCP5,114791,
CNTROB,116840,ENSG00000170037
ROCK1,6093,ENSG00000067900
GEMIN4,50628,ENSG00000179409
AURKA,6790,ENSG00000087586
KATNB1,10300,ENSG00000140854
FGD4,121512,ENSG00000139132
BCL2L11,10018,ENSG00000153094
FGD6,55785,ENSG00000180263
KIF5B,3799,ENSG00000170759
CEP250,11190,ENSG00000126001
FLNA,2316,ENSG00000196924
CLASP1,23332,ENSG00000074054
FLNB,2317,ENSG00000136068
KNTC1,9735,ENSG00000184445
MYH10,4628,ENSG00000133026
PCNT,5116,ENSG00000160299
ARHGEF12,23365,ENSG00000196914
ARHGEF11,9826,ENSG00000132694
KIF22,3835,ENSG00000079616
TBCD,6904,
KIF23,9493,ENSG00000137807
CKAP5,9793,ENSG00000175216
NDC80,10403,ENSG00000080986
SSH2,85464,ENSG00000141298
DLG1,1739,ENSG00000075711
ARHGAP10,79658,ENSG00000071205
CDC42EP4,23580,ENSG00000179604
BIRC5,332,ENSG00000089685
CDC42EP2,10435,ENSG00000149798
FSCN1,6624,ENSG00000075618
MAP3K11,4296,ENSG00000173327
CDC42EP1,11135,ENSG00000128283
KIF2C,11004,ENSG00000142945
VCL,7414,ENSG00000035403
DOCK4,9732,ENSG00000128512
NOTCH2,4853,ENSG00000134250
PXN,5829,ENSG00000089159
TUBGCP2,10844,ENSG00000130640
TUBGCP3,10426,
ARHGAP4,393,ENSG00000089820
ARHGAP5,394,ENSG00000100852
CCNB2,9133,ENSG00000157456
KIF3C,3797,ENSG00000084731
KIF3B,9371,ENSG00000101350
NEK2,4751,ENSG00000117650
ABL1,25,ENSG00000097007
MARK4,57787,ENSG00000007047
SAC3D1,29901,ENSG00000168061
SUN2,25777,ENSG00000100242
ARFGEF1,10565,ENSG00000066777
RFC1,5981,ENSG00000035928
ARAP3,64411,ENSG00000120318
SHROOM1,134549,ENSG00000164403
SHROOM2,357,ENSG00000146950
CDC42BPA,8476,ENSG00000143776
SMC1A,8243,ENSG00000072501
RASA1,5921,ENSG00000145715
HOOK3,84376,ENSG00000168172
ESPL1,9700,ENSG00000135476
RASA2,5922,ENSG00000155903
MYH9,4627,ENSG00000100345
CDK1,983,ENSG00000170312
NF1,4763,ENSG00000196712
ATG4B,23192,ENSG00000168397
DOCK2,1794,ENSG00000134516
BCAR1,9564,ENSG00000050820
SOS1,6654,ENSG00000115904
YWHAE,7531,
LMNB1,4001,ENSG00000113368
KLC1,3831,ENSG00000126214
RHOT2,89941,ENSG00000140983
CAPZB,832,ENSG00000077549
ECT2,1894,ENSG00000114346
WASF1,8936,ENSG00000112290
WASF2,10163,ENSG00000158195
PDLIM5,10611,ENSG00000163110
PLEKHG2,64857,ENSG00000090924
DST,667,ENSG00000151914
CEP131,22994,ENSG00000141577
MID1IP1,58526,ENSG00000165175
KATNA1,11104,ENSG00000186625
PRC1,9055,ENSG00000198901
TIAM1,7074,ENSG00000156299
CDC42,998,ENSG00000070831
MYO1E,4643,ENSG00000157483
PALLD,23022,ENSG00000129116
ALS2,57679,ENSG00000003393
HDAC6,10013,ENSG00000094631
TTK,7272,ENSG00000112742
PKD2,5311,ENSG00000118762
ARHGDIA,396,ENSG00000141522
FBXO5,26271,ENSG00000112029
TLK1,9874,ENSG00000198586
BUB1,699,ENSG00000169679
CYTH2,9266,ENSG00000105443
NCK1,4690,ENSG00000158092
NCK2,8440,ENSG00000071051
