SYMBOL,ENTREZ,ENSEMBL
STARD4,134429,ENSG00000164211
ACSL3,2181,ENSG00000123983
IFRD1,3475,ENSG00000006652
SYTL2,54843,ENSG00000137501
PPA1,5464,ENSG00000180817
HSPE1,3336,ENSG00000115541
CCT6A,908,ENSG00000146731
DDX39A,10212,ENSG00000123136
PSMC6,5706,ENSG00000100519
SCD,6319,ENSG00000099194
HMBS,3145,ENSG00000256269
MTHFD2,10797,ENSG00000065911
PSMC4,5704,
CD9,928,ENSG00000010278
MTHFD2L,441024,ENSG00000163738
PSMC2,5701,ENSG00000161057
CTH,1491,ENSG00000116761
POLR3G,10622,ENSG00000113356
GLA,2717,ENSG00000102393
SKAP2,8935,ENSG00000005020
TES,26136,ENSG00000135269
NUP205,23165,ENSG00000155561
FGL2,10875,ENSG00000127951
CCNF,899,ENSG00000162063
ARPC5L,81873,ENSG00000136950
GLRX,2745,ENSG00000173221
PNP,4860,
XBP1,7494,ENSG00000100219
PLK1,5347,ENSG00000166851
EDEM1,9695,ENSG00000134109
TUBG1,7283,ENSG00000131462
DHFR,1719,ENSG00000228716
UCHL5,51377,ENSG00000116750
SLC6A6,6533,ENSG00000131389
SQLE,6713,ENSG00000104549
MLLT11,10962,ENSG00000213190
EPRS1,2058,ENSG00000136628
LGMN,5641,ENSG00000100600
PSME3,10197,ENSG00000131467
HPRT1,3251,ENSG00000165704
NMT1,4836,ENSG00000136448
TFRC,7037,ENSG00000072274
PITPNB,23760,ENSG00000180957
ENO1,2023,ENSG00000074800
TMEM97,27346,ENSG00000109084
CFP,5199,ENSG00000126759
IFI30,10437,ENSG00000216490
RRP9,9136,ENSG00000114767
TBK1,29110,ENSG00000183735
FDXR,2232,ENSG00000161513
PRDX1,5052,ENSG00000117450
LTA4H,4048,ENSG00000111144
PNO1,56902,ENSG00000115946
SERPINH1,871,ENSG00000149257
PDK1,5163,ENSG00000152256
SDF2L1,23753,ENSG00000128228
TPI1,7167,ENSG00000111669
SLC7A5,8140,ENSG00000103257
P4HA1,5033,ENSG00000122884
BHLHE40,8553,ENSG00000134107
CCNG1,900,ENSG00000113328
CALR,811,ENSG00000179218
ALDOA,226,ENSG00000149925
EEF1E1,9521,ENSG00000124802
GPI,2821,
BTG2,7832,ENSG00000159388
RPN1,6184,ENSG00000163902
STC1,6781,ENSG00000159167
ADIPOR2,79602,
SLC7A11,23657,ENSG00000151012
VLDLR,7436,ENSG00000147852
ACACA,31,
STIP1,10963,ENSG00000168439
LDHA,3939,
SSR1,6745,ENSG00000124783
NFIL3,4783,ENSG00000165030
PHGDH,26227,ENSG00000092621
CTSC,1075,ENSG00000109861
EGLN3,112399,ENSG00000129521
ELOVL5,60481,ENSG00000012660
ELOVL6,79071,ENSG00000170522
NFYC,4802,ENSG00000066136
CACYBP,27101,ENSG00000116161
GTF2H1,2965,
RPA1,6117,ENSG00000132383
PSMA4,5685,ENSG00000041357
PSMA3,5684,ENSG00000100567
RIT1,6016,ENSG00000143622
CANX,821,
USO1,8615,ENSG00000138768
TCEA1,6917,ENSG00000187735
TOMM40,10452,ENSG00000130204
ERO1A,30001,ENSG00000197930
CDKN1A,1026,ENSG00000124762
GBE1,2632,ENSG00000114480
UNG,7374,ENSG00000076248
PSMB5,5693,ENSG00000100804
SERP1,27230,ENSG00000120742
NAMPT,10135,ENSG00000105835
CXCR4,7852,ENSG00000121966
FADS2,9415,ENSG00000134824
FADS1,3992,ENSG00000149485
G6PD,2539,ENSG00000160211
GSR,2936,ENSG00000104687
CDC25A,993,ENSG00000164045
PDAP1,11333,ENSG00000106244
TUBA4A,7277,ENSG00000127824
COPS5,10987,ENSG00000121022
PPIA,5478,ENSG00000196262
NUPR1,26471,ENSG00000176046
PSAT1,29968,ENSG00000135069
DHCR7,1717,ENSG00000172893
SQSTM1,8878,
RAB1A,5861,ENSG00000138069
FKBP2,2286,ENSG00000173486
SLA,6503,ENSG00000155926
UBE2D3,7323,ENSG00000109332
PPP1R15A,23645,ENSG00000087074
AURKA,6790,ENSG00000087586
SLC1A4,6509,ENSG00000115902
SLC1A5,6510,ENSG00000105281
PLOD2,5352,ENSG00000152952
HSP90B1,7184,ENSG00000166598
GGA2,23062,ENSG00000103365
SC5D,6309,ENSG00000109929
YKT6,10652,ENSG00000106636
LDLR,3949,ENSG00000130164
ABCF2,10061,ENSG00000033050
IDH1,3417,ENSG00000138413
NIBAN1,116496,ENSG00000135842
MAP2K3,5606,ENSG00000034152
GOT1,2805,ENSG00000120053
IGFBP5,3488,ENSG00000115461
M6PR,4074,ENSG00000003056
EIF2S2,8894,ENSG00000125977
SLC9A3R1,,
ACLY,47,ENSG00000131473
QDPR,5860,ENSG00000151552
GCLC,2729,ENSG00000001084
BCAT1,586,ENSG00000060982
ATP6V1D,51382,ENSG00000100554
INSIG1,3638,ENSG00000186480
SLC2A1,6513,ENSG00000117394
AK4,205,ENSG00000162433
SLC2A3,6515,ENSG00000059804
CORO1A,11151,ENSG00000102879
ATP5MC1,516,ENSG00000159199
DAPP1,27071,ENSG00000070190
TM7SF2,7108,ENSG00000149809
EBP,10682,ENSG00000147155
SRD5A1,6715,ENSG00000145545
PSPH,5723,ENSG00000146733
ACTR3,10096,ENSG00000115091
CYB5B,80777,ENSG00000103018
HSPA9,3313,ENSG00000113013
ACTR2,10097,ENSG00000138071
HMGCS1,3157,ENSG00000112972
HSPA5,3309,ENSG00000044574
TXNRD1,7296,ENSG00000198431
ASNS,440,ENSG00000070669
HSPA4,3308,ENSG00000170606
DHCR24,1718,ENSG00000116133
SORD,6652,ENSG00000140263
NFKBIB,4793,
MCM4,4173,ENSG00000104738
ETF1,2107,ENSG00000120705
PSMG1,8624,ENSG00000183527
MCM2,4171,ENSG00000073111
IDI1,3422,ENSG00000067064
GSK3B,2932,ENSG00000082701
NUFIP1,26747,ENSG00000083635
PSMD13,5719,ENSG00000185627
PSMD12,5718,ENSG00000197170
PSMD14,10213,ENSG00000115233
SHMT2,6472,ENSG00000182199
GMPS,8833,ENSG00000163655
PIK3R3,8503,ENSG00000117461
HK2,3099,ENSG00000159399
RDH11,51109,ENSG00000072042
ME1,4199,ENSG00000065833
PGK1,5230,ENSG00000102144
SLC37A4,2542,
RRM2,6241,ENSG00000171848
CYP51A1,1595,ENSG00000001630
IMMT,10989,ENSG00000132305
WARS1,7453,ENSG00000140105
PFKL,5211,ENSG00000141959
UFM1,51569,ENSG00000120686
DDIT4,54541,ENSG00000168209
DDIT3,1649,ENSG00000175197
TRIB3,57761,ENSG00000101255
GAPDH,2597,ENSG00000111640
ITGB2,3689,ENSG00000160255
SEC11A,23478,ENSG00000140612
ATP2A2,488,ENSG00000174437
HMGCR,3156,ENSG00000113161
HSPD1,3329,ENSG00000144381
ADD3,120,ENSG00000148700
BUB1,699,ENSG00000169679
PGM1,5236,ENSG00000079739
