SYMBOL,ENTREZ,ENSEMBL
DUSP2,1844,ENSG00000158050
IMP4,92856,ENSG00000136718
CBX3,11335,ENSG00000122565
PUS1,80324,ENSG00000177192
PA2G4,5036,ENSG00000170515
SORD,6652,ENSG00000140263
WDR74,54663,ENSG00000133316
GNL3,26354,ENSG00000163938
HSPE1,3336,ENSG00000115541
BYSL,705,ENSG00000112578
MRTO4,51154,ENSG00000053372
LAS1L,81887,ENSG00000001497
CDK4,1019,ENSG00000135446
MCM4,4173,ENSG00000104738
MCM5,4174,ENSG00000100297
DCTPP1,79077,ENSG00000179958
NIP7,51388,ENSG00000132603
NOP2,4839,ENSG00000111641
NOLC1,9221,ENSG00000166197
NOC4L,79050,
TBRG4,9238,ENSG00000136270
HK2,3099,ENSG00000159399
EXOSC5,56915,ENSG00000077348
PPRC1,23082,ENSG00000148840
TCOF1,6949,ENSG00000070814
MYC,4609,ENSG00000136997
PES1,23481,ENSG00000100029
MAP3K6,9064,ENSG00000142733
DDX18,8886,ENSG00000088205
NPM1,4869,ENSG00000181163
PLK4,10733,ENSG00000142731
NOP16,51491,ENSG00000048162
PLK1,5347,ENSG00000166851
PRMT3,10196,ENSG00000185238
TFB2M,64216,ENSG00000162851
SUPV3L1,6832,ENSG00000156502
AIMP2,7965,ENSG00000106305
MYBBP1A,10514,ENSG00000132382
RCL1,10171,ENSG00000120158
GRWD1,83743,ENSG00000105447
NDUFAF4,29078,ENSG00000123545
SLC29A2,3177,ENSG00000174669
FARSA,2193,ENSG00000179115
NOP56,10528,ENSG00000101361
MPHOSPH10,10199,ENSG00000124383
PHB,,
IPO4,79711,
PPAN,56342,ENSG00000130810
WDR43,23160,ENSG00000163811
TMEM97,27346,ENSG00000109084
HSPD1,3329,ENSG00000144381
RABEPK,10244,ENSG00000136933
SRM,6723,ENSG00000116649
UNG,7374,ENSG00000076248
RRP9,9136,ENSG00000114767
RRP12,23223,ENSG00000052749
UTP20,27340,ENSG00000120800
SLC19A1,6573,ENSG00000173638
