SYMBOL,ENTREZ,ENSEMBL
IFRD1,3475,ENSG00000006652
ACTN3,89,ENSG00000248746
ACSL1,2180,ENSG00000151726
ACTN2,88,ENSG00000077522
DES,1674,ENSG00000175084
COL1A1,1277,ENSG00000108821
MAPK12,6300,ENSG00000188130
MYL7,58498,ENSG00000106631
PC,5091,ENSG00000173599
SCD,6319,ENSG00000099194
MYL1,4632,ENSG00000168530
MYL2,4633,ENSG00000111245
PPP1R3C,5507,ENSG00000119938
MYL3,4634,ENSG00000160808
MYL4,4635,ENSG00000198336
APP,351,ENSG00000142192
RB1,5925,ENSG00000139687
TAGLN,6876,ENSG00000149591
VIPR1,7433,ENSG00000114812
ADCY9,115,ENSG00000162104
SPDEF,25803,ENSG00000124664
AKT2,208,ENSG00000105221
SH3BGR,6450,ENSG00000185437
WWTR1,25937,ENSG00000018408
DTNA,1837,ENSG00000134769
GABARAPL2,11345,ENSG00000034713
DMPK,1760,ENSG00000104936
ATP6AP1,537,ENSG00000071553
GADD45B,4616,ENSG00000099860
TNNC1,7134,ENSG00000114854
TNNC2,7125,ENSG00000101470
IGF1,3479,ENSG00000017427
OCEL1,79629,ENSG00000099330
PTP4A3,11156,
SLC6A8,6535,ENSG00000130821
MYLPF,,
TNNT1,7138,ENSG00000105048
SMTN,6525,ENSG00000183963
TNNT2,7139,ENSG00000118194
BIN1,274,ENSG00000136717
TNNT3,7140,
PKIA,5569,ENSG00000171033
SSPN,8082,ENSG00000123096
CRYAB,1410,ENSG00000109846
CFD,1675,
SPARC,6678,ENSG00000113140
SCHIP1,29970,ENSG00000151967
ENO3,2027,ENSG00000108515
MYLK,4638,ENSG00000065534
GJA5,2702,ENSG00000265107
APOD,347,ENSG00000189058
MYBPC3,4607,ENSG00000134571
MYOG,4656,ENSG00000122180
SPHK1,8877,ENSG00000176170
SIRT2,22933,
FXYD1,5348,ENSG00000266964
MRAS,22808,ENSG00000158186
COL3A1,1281,
BHLHE40,8553,ENSG00000134107
HRC,3270,ENSG00000130528
ACHE,43,ENSG00000087085
FLII,2314,
STC2,8614,ENSG00000113739
AEBP1,165,ENSG00000106624
CSRP3,8048,ENSG00000129170
ANKRD2,26287,ENSG00000165887
CD36,948,ENSG00000135218
TEAD4,7004,ENSG00000197905
NQO1,1728,ENSG00000181019
MEF2A,4205,ENSG00000068305
MEF2D,4209,
SVIL,6840,ENSG00000197321
MEF2C,4208,ENSG00000081189
PGAM2,5224,ENSG00000164708
PICK1,9463,ENSG00000100151
GAA,2548,
ADAM12,8038,ENSG00000148848
SORBS1,10580,ENSG00000095637
SORBS3,10174,ENSG00000120896
MYBPH,4608,ENSG00000133055
FKBP1B,2281,ENSG00000119782
FABP3,2170,ENSG00000121769
COL4A2,1284,ENSG00000134871
RIT1,6016,ENSG00000143622
TCAP,8557,ENSG00000173991
HBEGF,1839,ENSG00000113070
MAPRE3,22924,ENSG00000084764
RYR1,6261,ENSG00000196218
CTF1,1489,ENSG00000150281
CDKN1A,1026,ENSG00000124762
PYGM,5837,ENSG00000068976
CHRNG,1146,ENSG00000196811
CKB,1152,ENSG00000166165
DMD,1756,ENSG00000198947
SPTAN1,6709,ENSG00000197694
MYOZ1,58529,ENSG00000177791
GSN,2934,ENSG00000148180
TGFB1,7040,ENSG00000105329
AGL,178,ENSG00000162688
CKM,1158,ENSG00000104879
TPM3,7170,ENSG00000143549
TPM2,7169,ENSG00000198467
TSC2,7249,ENSG00000103197
APLNR,187,ENSG00000134817
PLXNB2,23654,ENSG00000196576
CHRNB1,1140,
CRAT,1384,ENSG00000095321
AGRN,375790,ENSG00000188157
CHRNA1,1134,ENSG00000138435
CLU,1191,ENSG00000120885
COX6A2,1339,ENSG00000156885
