SYMBOL,ENTREZ,ENSEMBL
FZD1,8321,ENSG00000157240
PSENEN,55851,ENSG00000205155
JAG1,182,ENSG00000101384
TCF7L2,6934,ENSG00000148737
FBXW11,23291,ENSG00000072803
FZD5,7855,ENSG00000163251
WNT5A,7474,ENSG00000114251
FZD7,8324,ENSG00000155760
PRKCA,5578,ENSG00000154229
HEYL,26508,ENSG00000163909
RBX1,9978,ENSG00000100387
SAP30,8819,ENSG00000164105
KAT2A,2648,ENSG00000108773
PPARD,5467,ENSG00000112033
NOTCH3,4854,ENSG00000074181
NOTCH1,4851,ENSG00000148400
NOTCH2,4853,ENSG00000134250
MAML2,84441,ENSG00000184384
DTX1,1840,ENSG00000135144
CUL1,8454,ENSG00000055130
DTX2,113878,
DTX4,23220,ENSG00000110042
PSEN2,5664,
DLL1,28514,
APH1A,51107,ENSG00000117362
LFNG,3955,ENSG00000106003
ARRB1,408,ENSG00000137486
CCND1,595,ENSG00000110092
ST3GAL6,10402,ENSG00000064225
HES1,3280,ENSG00000114315
WNT2,7472,ENSG00000105989
SKP1,6500,ENSG00000113558
