SYMBOL,ENTREZ,ENSEMBL
ATP6V1E1,529,ENSG00000131100
ECH1,1891,
PDHX,8050,ENSG00000110435
AFG3L2,10939,ENSG00000141385
FDX1,2230,ENSG00000137714
UQCRC2,7385,ENSG00000140740
BAX,581,ENSG00000087088
UQCRC1,7384,ENSG00000010256
SUCLG1,8802,ENSG00000163541
RETSAT,54884,
PDHB,5162,ENSG00000168291
UQCR10,29796,ENSG00000184076
UQCR11,10975,ENSG00000127540
COX8A,1351,ENSG00000176340
SURF1,6834,
ATP6AP1,537,ENSG00000071553
TOMM70,9868,ENSG00000154174
ACADSB,36,ENSG00000196177
COX7A2L,9167,ENSG00000115944
SUPV3L1,6832,ENSG00000156502
POR,5447,ENSG00000127948
OGDH,4967,ENSG00000105953
MTRR,4552,ENSG00000124275
PHB2,11331,ENSG00000215021
ISCA1,81689,ENSG00000135070
ECI1,1632,ENSG00000167969
MGST3,4259,ENSG00000143198
MRPL15,29088,ENSG00000137547
MRPL11,65003,ENSG00000174547
CYB5R3,1727,ENSG00000100243
PRDX3,10935,ENSG00000165672
GRPEL1,80273,ENSG00000109519
PDK4,5166,ENSG00000004799
TIMM17A,10440,ENSG00000134375
ATP6V1C1,528,ENSG00000155097
DECR1,1666,ENSG00000104325
PDHA1,5160,ENSG00000131828
ATP5F1D,513,ENSG00000099624
ATP5F1E,514,ENSG00000124172
COX6C,1345,ENSG00000164919
CS,1431,ENSG00000062485
LRPPRC,10128,ENSG00000138095
GLUD1,2746,ENSG00000148672
ALDH6A1,4329,ENSG00000119711
GPI,2821,
ATP5ME,521,ENSG00000169020
COX7C,1350,ENSG00000127184
COX7B,1349,ENSG00000131174
MAOB,4129,ENSG00000069535
MRPS15,64960,ENSG00000116898
MRPS12,6183,
ACAT1,38,ENSG00000075239
MRPS11,64963,ENSG00000181991
TIMM13,26517,ENSG00000099800
ECHS1,1892,ENSG00000127884
MRPL35,51318,ENSG00000132313
TIMM10,26519,ENSG00000134809
MRPL34,64981,ENSG00000130312
LDHB,3945,ENSG00000111716
NNT,23530,ENSG00000112992
LDHA,3939,
ATP5MG,10632,ENSG00000167283
ATP5MF,9551,ENSG00000241468
ATP6V1G1,9550,ENSG00000136888
NQO2,4835,ENSG00000124588
ATP5PF,522,ENSG00000154723
ATP6V0E1,8992,ENSG00000113732
ATP5PD,10476,ENSG00000167863
MDH2,4191,ENSG00000146701
MTX2,10651,ENSG00000128654
ATP5PB,515,ENSG00000116459
MRPS22,56945,ENSG00000175110
COX6B1,1340,ENSG00000126267
HADHB,3032,ENSG00000138029
PDP1,54704,ENSG00000164951
BDH2,56898,ENSG00000164039
HADHA,3030,ENSG00000084754
NDUFAB1,4706,ENSG00000004779
ATP5PO,539,ENSG00000241837
DLD,1738,ENSG00000091140
OAT,4942,ENSG00000065154
FH,2271,ENSG00000091483
TIMM9,26520,ENSG00000100575
COX5A,9377,ENSG00000178741
MRPS30,10884,ENSG00000112996
HCCS,3052,ENSG00000004961
COX5B,1329,
ATP5F1A,498,ENSG00000152234
ATP5F1B,506,ENSG00000110955
ATP5F1C,509,ENSG00000165629
