SYMBOL,ENTREZ,ENSEMBL
HEXIM1,10614,ENSG00000186834
PRKAB1,5564,ENSG00000111725
TM4SF1,4071,ENSG00000169908
NINJ1,4814,ENSG00000131669
CCP110,9738,ENSG00000103540
BAX,581,ENSG00000087088
TNFSF9,8744,ENSG00000125657
EPHA2,1969,ENSG00000142627
TP53,7157,ENSG00000141510
APP,351,ENSG00000142192
ATF3,467,ENSG00000162772
CYFIP2,26999,ENSG00000055163
RB1,5925,ENSG00000139687
GLS2,27165,ENSG00000135423
CCNK,8812,ENSG00000090061
EI24,9538,ENSG00000149547
RETSAT,54884,
ABAT,18,ENSG00000183044
CDKN2AIP,55602,ENSG00000168564
TOB1,10140,ENSG00000141232
NHLH2,4808,ENSG00000177551
STOM,2040,ENSG00000148175
S100A10,6281,ENSG00000197747
RPL18,6141,ENSG00000063177
JAG2,3714,ENSG00000184916
TSPYL2,64061,ENSG00000184205
PMM1,5372,ENSG00000100417
ST14,6768,ENSG00000149418
GADD45A,1647,ENSG00000116717
PLK3,1263,ENSG00000173846
PLK2,10769,ENSG00000145632
DNTTIP2,30836,ENSG00000067334
H1-2,3006,ENSG00000187837
ALOX15B,247,ENSG00000179593
VAMP8,8673,ENSG00000118640
TCN2,6948,ENSG00000185339
SDC1,6382,ENSG00000115884
HSPA4L,22824,ENSG00000164070
POM121,9883,ENSG00000196313
RRP8,23378,ENSG00000132275
SLC35D1,23169,ENSG00000116704
PDGFA,5154,ENSG00000197461
XPC,7508,ENSG00000154767
IFI30,10437,ENSG00000216490
FDXR,2232,ENSG00000161513
HMOX1,3162,ENSG00000100292
RPL36,25873,ENSG00000130255
SFN,2810,ENSG00000175793
IER5,51278,ENSG00000162783
RPS12,6206,ENSG00000112306
IER3,8870,
SLC19A2,10560,ENSG00000117479
TP63,8626,ENSG00000073282
ZNF365,22891,ENSG00000138311
FUCA1,2517,ENSG00000179163
BLCAP,10904,ENSG00000166619
JUN,3725,ENSG00000177606
TSC22D1,8848,ENSG00000102804
SPHK1,8877,ENSG00000176170
LIF,3976,ENSG00000128342
VWA5A,4013,ENSG00000110002
IL1A,3552,ENSG00000115008
PTPRE,5791,ENSG00000132334
RAD51C,5889,ENSG00000108384
RAP2B,5912,ENSG00000181467
H2AJ,55766,ENSG00000246705
KRT17,3872,ENSG00000128422
CCNG1,900,ENSG00000113328
COQ8A,56997,ENSG00000163050
TAX1BP3,30851,ENSG00000213977
ADA,100,ENSG00000196839
H2AW,,
CSRNP2,81566,ENSG00000110925
BTG2,7832,ENSG00000159388
BTG1,694,ENSG00000133639
RRAD,6236,ENSG00000166592
ABHD4,63874,ENSG00000100439
RPS27L,51065,ENSG00000185088
TGFA,7039,ENSG00000163235
SLC7A11,23657,ENSG00000151012
KLK8,11202,ENSG00000129455
HINT1,3094,ENSG00000169567
LDHB,3945,ENSG00000111716
SOCS1,8651,ENSG00000185338
CTSF,8722,ENSG00000174080
CTSD,1509,ENSG00000117984
SERPINB5,5268,ENSG00000206075
CDKN2A,1029,ENSG00000147889
CDKN2B,1030,ENSG00000147883
PRMT2,3275,ENSG00000160310
ELP1,8518,ENSG00000070061
FOS,2353,ENSG00000170345
WWP1,11059,ENSG00000123124
AEN,64782,ENSG00000181026
DDB2,1643,ENSG00000134574
CDK5R1,8851,ENSG00000176749
HBEGF,1839,ENSG00000113070
ANKRA2,57763,ENSG00000164331
CDKN1A,1026,ENSG00000124762
SERTAD3,29946,ENSG00000167565
KIF13B,23303,ENSG00000197892
HRAS,3265,
RACK1,10399,ENSG00000204628
NUDT15,55270,ENSG00000136159
TGFB1,7040,ENSG00000105329
FBXW7,55294,ENSG00000109670
ZBTB16,7704,ENSG00000109906
IRAG2,4033,ENSG00000118308
TAP1,6890,
CGRRF1,10668,ENSG00000100532
DEF6,50619,ENSG00000023892
NUPR1,26471,ENSG00000176046
FAS,355,ENSG00000026103
TRAFD1,10906,ENSG00000135148
MAPKAPK3,7867,ENSG00000114738
ISCU,23479,ENSG00000136003
PLXNB2,23654,ENSG00000196576
S100A4,6275,ENSG00000196154
STEAP3,55240,ENSG00000115107
PCNA,5111,ENSG00000132646
CD82,3732,ENSG00000085117
CD81,975,ENSG00000110651
DGKA,1606,ENSG00000065357
PPP1R15A,23645,ENSG00000087074
PVT1,,ENSG00000249859
PVT1,5820,
RGS16,6004,ENSG00000143333
NOL8,55035,
ZFP36L1,677,ENSG00000185650
FOXO3,2309,ENSG00000118689
RCHY1,25898,ENSG00000163743
NDRG1,10397,ENSG00000104419
RXRA,6256,ENSG00000186350
CCND3,896,ENSG00000112576
RAB40C,57799,ENSG00000197562
CCND2,894,ENSG00000118971
RNF19B,127544,ENSG00000116514
PERP,64065,ENSG00000112378
PHLDA3,23612,ENSG00000174307
EPHX1,2052,ENSG00000143819
F2R,2149,ENSG00000181104
INHBB,3625,ENSG00000163083
MXD1,4084,ENSG00000059728
TRAF4,9618,ENSG00000076604
PROCR,10544,ENSG00000101000
CDH13,1012,ENSG00000140945
FGF13,2258,ENSG00000129682
MXD4,10608,ENSG00000123933
RAD9A,5883,ENSG00000172613
MDM2,4193,ENSG00000135679
NOTCH1,4851,ENSG00000148400
AK1,203,ENSG00000106992
TRIAP1,51499,ENSG00000170855
SAT1,6303,ENSG00000130066
TM7SF3,51768,ENSG00000064115
SESN1,27244,ENSG00000080546
ZMAT3,64393,ENSG00000172667
FAM162A,26355,ENSG00000114023
CLCA2,9635,ENSG00000137975
ABCC5,10057,ENSG00000114770
VDR,7421,ENSG00000111424
GPX2,2877,ENSG00000176153
APAF1,317,ENSG00000120868
OSGIN1,29948,ENSG00000140961
TPRKB,51002,
PTPN14,5784,ENSG00000152104
BAIAP2,10458,ENSG00000175866
SP1,6667,ENSG00000185591
BMP2,650,ENSG00000125845
SLC3A2,6520,ENSG00000168003
PITPNC1,26207,ENSG00000154217
DRAM1,55332,ENSG00000136048
MKNK2,2872,ENSG00000099875
IRAK1,3654,ENSG00000184216
