SYMBOL,ENTREZ,ENSEMBL
LMO2,4005,ENSG00000135363
CHGA,1113,
SRP9,6726,ENSG00000143742
VDR,7421,ENSG00000111424
ABCC8,6833,ENSG00000006071
PKLR,5313,
PAX4,5078,ENSG00000106331
PDX1,3651,ENSG00000139515
ELP4,26610,ENSG00000109911
GCG,2641,ENSG00000115263
PAX6,5080,ENSG00000007372
ISL1,3670,ENSG00000016082
MAFB,9935,ENSG00000204103
G6PC2,57818,
GCK,2645,ENSG00000106633
SST,6750,ENSG00000157005
HNF1A,6927,ENSG00000135100
SPCS1,28972,ENSG00000114902
SYT13,57586,ENSG00000019505
IAPP,3375,ENSG00000121351
INSM1,3642,ENSG00000173404
SRPRB,58477,ENSG00000144867
DCX,1641,ENSG00000077279
NEUROG3,50674,ENSG00000122859
FOXA2,3170,ENSG00000125798
PCSK2,5126,ENSG00000125851
STXBP1,6812,ENSG00000136854
PCSK1,5122,ENSG00000175426
SEC11A,23478,ENSG00000140612
SLC2A2,6514,ENSG00000163581
SRP14,6727,ENSG00000140319
INS,3630,ENSG00000254647
DPP4,1803,ENSG00000197635
FOXO1,2308,ENSG00000150907
SCGN,10590,ENSG00000079689
AKT3,10000,
NKX2-2,4821,ENSG00000125820
NKX6-1,4825,ENSG00000163623
PAK3,5063,ENSG00000077264
NEUROD1,4760,ENSG00000162992
