SYMBOL,ENTREZ,ENSEMBL
TSC2,7249,ENSG00000103197
PPP1CA,5499,ENSG00000172531
MAPK10,5602,ENSG00000109339
SQSTM1,8878,
PFN1,5216,ENSG00000108518
RAF1,5894,ENSG00000132155
UBE2N,7334,ENSG00000177889
PRKAA2,5563,ENSG00000162409
RALB,5899,ENSG00000144118
ATF1,466,ENSG00000123268
SLA,6503,ENSG00000155926
UBE2D3,7323,ENSG00000109332
NOD1,10392,ENSG00000106100
ADCY2,108,ENSG00000078295
IL2RG,3561,ENSG00000147168
EGFR,1956,ENSG00000146648
HSP90B1,7184,ENSG00000166598
E2F1,1869,ENSG00000101412
AKT1,207,ENSG00000142208
CFL1,1072,ENSG00000172757
MAP3K7,6885,ENSG00000135341
PAK4,10298,ENSG00000130669
PITX2,5308,ENSG00000164093
FGF22,27006,ENSG00000070388
SMAD2,4087,ENSG00000175387
MAP2K3,5606,ENSG00000034152
PRKCB,5579,ENSG00000166501
TRAF2,7186,ENSG00000127191
FGF17,8822,ENSG00000158815
MYD88,4615,ENSG00000172936
ARPC3,10094,ENSG00000111229
CSNK2B,1460,
GRB2,2885,ENSG00000177885
PIN1,5300,ENSG00000127445
SLC2A1,6513,ENSG00000117394
FASLG,356,ENSG00000117560
DAPP1,27071,ENSG00000070190
FGF6,2251,ENSG00000111241
TBK1,29110,ENSG00000183735
THEM4,117145,ENSG00000159445
PRKAR2A,5576,ENSG00000114302
PLCG1,5335,ENSG00000124181
SFN,2810,ENSG00000175793
PDK1,5163,ENSG00000152256
MAP2K6,5608,ENSG00000108984
AP2M1,1173,ENSG00000161203
ACTR3,10096,ENSG00000115091
ACTR2,10097,ENSG00000138071
DUSP3,1845,ENSG00000108861
PTPN11,5781,ENSG00000179295
IRAK4,51135,ENSG00000198001
TNFRSF1A,7132,ENSG00000067182
VAV3,10451,ENSG00000134215
NFKBIB,4793,
IL4,3565,ENSG00000113520
ECSIT,51295,ENSG00000130159
PIKFYVE,200576,ENSG00000115020
AKT1S1,84335,ENSG00000204673
CDK4,1019,ENSG00000135446
CDK2,1017,ENSG00000123374
CAMK4,814,ENSG00000152495
CDK1,983,ENSG00000170312
CALR,811,ENSG00000179218
GSK3B,2932,ENSG00000082701
YWHAB,7529,ENSG00000166913
ARF1,375,ENSG00000143761
CAB39L,81617,ENSG00000102547
MAPKAP1,79109,ENSG00000119487
CLTC,1213,ENSG00000141367
ITPR2,3709,ENSG00000123104
PIK3R3,8503,ENSG00000117461
ACACA,31,
GRK2,156,ENSG00000173020
GNGT1,2792,ENSG00000127928
MKNK1,8569,ENSG00000079277
MKNK2,2872,ENSG00000099875
RIPK1,8737,ENSG00000137275
EIF4E,1977,ENSG00000151247
PLA2G12A,81579,ENSG00000123739
STAT2,6773,ENSG00000170581
NGF,4803,ENSG00000134259
TIAM1,7074,ENSG00000156299
LCK,3932,ENSG00000182866
RIT1,6016,ENSG00000143622
DDIT3,1649,ENSG00000175197
TRIB3,57761,ENSG00000101255
PLCB1,23236,ENSG00000182621
CDKN1B,1027,ENSG00000111276
CDKN1A,1026,ENSG00000124762
CAB39,51719,ENSG00000135932
PTEN,5728,
PRKAG1,5571,ENSG00000181929
GNA14,9630,ENSG00000156049
ARHGDIA,396,ENSG00000141522
RPTOR,57521,ENSG00000141564
MAPK9,5601,ENSG00000050748
MAPK8,5599,ENSG00000107643
RPS6KA1,6195,
PPP2R1B,5519,ENSG00000137713
CXCR4,7852,ENSG00000121966
RPS6KA3,6197,ENSG00000177189
HRAS,3265,
MAPK1,5594,ENSG00000100030
RAC1,5879,ENSG00000136238
NCK1,4690,ENSG00000158092
