SYMBOL,ENTREZ,ENSEMBL
HSD3B7,80270,ENSG00000099377
ACOT8,10005,ENSG00000101473
ACSL1,2180,ENSG00000151726
DIO1,1733,ENSG00000211452
ECH1,1891,
CADM1,23705,ENSG00000182985
CNBP,7555,ENSG00000169714
ACSL5,51703,ENSG00000197142
ACSL4,2182,ENSG00000068366
MSH2,4436,ENSG00000095002
PEX13,5194,ENSG00000162928
PEX14,5195,ENSG00000142655
SCGB1A1,7356,ENSG00000149021
CRAT,1384,ENSG00000095321
SLC27A2,11001,ENSG00000140284
PEX11A,8800,ENSG00000166821
RETSAT,54884,
CRABP1,1381,ENSG00000166426
PEX11B,8799,ENSG00000131779
SLC23A2,9962,ENSG00000089057
SLC35B2,347734,ENSG00000157593
CRABP2,1382,ENSG00000143320
HSD17B4,3295,ENSG00000133835
STS,412,ENSG00000101846
LONP2,83752,ENSG00000102910
RXRG,6258,ENSG00000143171
FDPS,2224,ENSG00000160752
FIS1,51024,ENSG00000214253
SIAH1,6477,ENSG00000196470
IDH1,3417,ENSG00000138413
GSTK1,373156,ENSG00000197448
IDH2,3418,ENSG00000182054
EPHX2,2053,ENSG00000120915
CEL,1056,ENSG00000170835
CTPS1,1503,ENSG00000171793
ESR2,2100,ENSG00000140009
SULT2B1,6820,ENSG00000088002
DLG4,1742,ENSG00000132535
GNPAT,8443,ENSG00000116906
CTBP1,1487,ENSG00000159692
ECI2,10455,ENSG00000198721
BCL10,8915,ENSG00000142867
CACNA1B,774,ENSG00000148408
PRDX5,25824,ENSG00000126432
PRDX1,5052,ENSG00000117450
SCP2,6342,ENSG00000116171
ACAA1,30,ENSG00000060971
ABCC5,10057,ENSG00000114770
ABCC8,6833,ENSG00000006071
DHCR24,1718,ENSG00000116133
PEX2,5828,ENSG00000164751
CDK7,1022,
PEX5,5830,
ITGB1BP1,9270,ENSG00000119185
ACOX1,51,ENSG00000161533
ALB,213,ENSG00000163631
PEX6,5190,ENSG00000124587
PABPC1,26986,ENSG00000070756
IDI1,3422,ENSG00000067064
ABCB4,5244,ENSG00000005471
ABCB1,5243,ENSG00000085563
SLC25A4,291,ENSG00000151729
NR1I2,8856,ENSG00000144852
TOP2A,7153,ENSG00000131747
VPS4B,9525,ENSG00000119541
IDE,3416,ENSG00000119912
EHHADH,1962,ENSG00000113790
ABCB9,23457,ENSG00000150967
SERPINA6,866,
HSD11B2,3291,ENSG00000176387
RDH11,51109,ENSG00000072042
ISOC1,51015,ENSG00000066583
HAO2,51179,ENSG00000116882
ATXN1,6310,ENSG00000124788
YWHAH,7533,ENSG00000128245
SMARCC1,6599,ENSG00000173473
ELOVL5,60481,ENSG00000012660
UGT2B17,7367,ENSG00000197888
DHRS3,9249,ENSG00000162496
SOD1,6647,ENSG00000142168
SOD2,6648,ENSG00000291237
SLC25A17,10478,ENSG00000100372
ERCC1,2067,ENSG00000012061
SLC25A19,60386,ENSG00000125454
ALDH1A1,216,ENSG00000165092
CAT,847,ENSG00000121691
FABP6,2172,ENSG00000170231
ERCC3,2071,ENSG00000163161
ALDH9A1,223,ENSG00000143149
ABCD3,5825,ENSG00000117528
MVP,9961,ENSG00000013364
SEMA3C,10512,ENSG00000075223
CLN8,2055,
HSD17B11,51170,ENSG00000198189
CLN6,54982,ENSG00000128973
HMGCL,3155,ENSG00000117305
TTR,7276,ENSG00000118271
NUDT19,390916,ENSG00000213965
HRAS,3265,
MLYCD,23417,ENSG00000103150
TSPO,706,ENSG00000100300
ABCD1,215,ENSG00000101986
ABCD2,225,ENSG00000173208
FADS1,3992,ENSG00000149485
