SYMBOL,ENTREZ,ENSEMBL
ARFGEF2,10564,ENSG00000124198
ARFGEF1,10565,ENSG00000066777
RAB2A,5862,ENSG00000104388
CAV2,858,ENSG00000105971
YIPF6,286451,ENSG00000181704
OCRL,4952,ENSG00000122126
AP3B1,8546,ENSG00000132842
SCAMP1,9522,ENSG00000085365
SCAMP3,10067,
ZW10,9183,ENSG00000086827
KRT18,3875,ENSG00000111057
TMX1,81542,ENSG00000139921
RER1,11079,ENSG00000157916
ANP32E,81611,ENSG00000143401
GLA,2717,ENSG00000102393
PAM,5066,ENSG00000145730
ERGIC3,51614,ENSG00000125991
SEC24D,9871,ENSG00000150961
COPE,11316,ENSG00000105669
STX16,8675,ENSG00000124222
TMED10,10972,ENSG00000170348
ARF1,375,ENSG00000143761
SGMS1,259230,ENSG00000198964
SNAP23,8773,ENSG00000092531
NAPA,8775,ENSG00000105402
VPS4B,9525,ENSG00000119541
CLTC,1213,ENSG00000141367
CLTA,1211,ENSG00000122705
ATP1A1,476,ENSG00000163399
EGFR,1956,ENSG00000146648
NAPG,8774,ENSG00000134265
STX12,23673,ENSG00000117758
SNX2,6643,ENSG00000205302
LAMP2,3920,ENSG00000005893
STX7,8417,ENSG00000079950
AP2S1,1175,ENSG00000042753
TMED2,10959,ENSG00000086598
YKT6,10652,ENSG00000106636
ARFIP1,27236,ENSG00000164144
KIF1B,23095,ENSG00000054523
CTSC,1075,ENSG00000109861
IGF2R,3482,ENSG00000197081
MON2,23041,ENSG00000061987
TPD52,7163,ENSG00000076554
ABCA1,19,ENSG00000165029
GBF1,8729,ENSG00000107862
DST,667,ENSG00000151914
AP2B1,163,ENSG00000006125
COG2,22796,ENSG00000135775
M6PR,4074,ENSG00000003056
ADAM10,102,ENSG00000137845
STAM,8027,ENSG00000136738
ARCN1,372,ENSG00000095139
SOD1,6647,ENSG00000142168
ARFGAP3,26286,ENSG00000242247
GALC,2581,ENSG00000054983
VAMP7,6845,
DOP1A,23033,ENSG00000083097
RAB14,51552,ENSG00000119396
TOM1L1,10040,ENSG00000141198
RAB9A,9367,ENSG00000123595
USO1,8615,ENSG00000138768
VPS45,11311,ENSG00000136631
GNAS,2778,ENSG00000087460
PPT1,5538,ENSG00000131238
SSPN,8082,ENSG00000123096
RAB5A,5868,ENSG00000144566
SEC22B,9554,ENSG00000265808
ATP6V1B1,525,ENSG00000116039
VAMP3,9341,ENSG00000049245
VAMP4,8674,ENSG00000117533
BET1,10282,ENSG00000105829
TSG101,7251,ENSG00000074319
CD63,967,ENSG00000135404
COPB2,9276,ENSG00000184432
COPB1,1315,ENSG00000129083
GOSR2,9570,ENSG00000108433
ICA1,3382,ENSG00000003147
CLCN3,1182,ENSG00000109572
RAB22A,57403,ENSG00000124209
CLN5,1203,ENSG00000102805
LMAN1,3998,ENSG00000074695
GOLGA4,2803,ENSG00000144674
AP1G1,164,ENSG00000166747
SCRN1,9805,ENSG00000136193
RPS6KA3,6197,ENSG00000177189
TSPAN8,7103,ENSG00000127324
AP3S1,1176,ENSG00000177879
BNIP3,664,ENSG00000176171
MAPK1,5594,ENSG00000100030
SEC31A,22872,ENSG00000138674
ATP7A,538,ENSG00000165240
ATP6V1H,51606,ENSG00000047249
AP2M1,1173,ENSG00000161203
DNM1L,10059,ENSG00000087470
SH3GL2,6456,ENSG00000107295
