SYMBOL,ENTREZ,ENSEMBL
GPX3,2878,ENSG00000211445
G6PD,2539,ENSG00000160211
GSR,2936,ENSG00000104687
GPX4,2879,ENSG00000167468
TXNRD2,10587,ENSG00000184470
TXNRD1,7296,ENSG00000198431
FES,2242,ENSG00000182511
SELENOS,55829,ENSG00000131871
NDUFS2,4720,ENSG00000158864
ABCC1,4363,
NDUFB4,4710,ENSG00000065518
MPO,4353,ENSG00000005381
GLRX,2745,ENSG00000173221
PDLIM1,9124,ENSG00000107438
PTPA,5524,ENSG00000119383
SBNO2,22904,
EGLN2,112398,ENSG00000269858
NQO1,1728,ENSG00000181019
CDKN2D,1032,ENSG00000129355
NDUFA6,4700,
PRNP,5621,ENSG00000171867
GLRX2,51022,ENSG00000023572
OXSR1,9943,ENSG00000172939
IPCEF1,26034,ENSG00000074706
SOD1,6647,ENSG00000142168
ATOX1,475,ENSG00000177556
SCAF4,57466,ENSG00000156304
SOD2,6648,ENSG00000291237
MSRA,4482,
GCLC,2729,ENSG00000001084
CAT,847,ENSG00000121691
STK25,10494,ENSG00000115694
ERCC2,2068,ENSG00000104884
FTL,2512,ENSG00000087086
LAMTOR5,10542,ENSG00000134248
GCLM,2730,ENSG00000023909
PFKP,5214,ENSG00000067057
SRXN1,140809,ENSG00000271303
LSP1,4046,
TXN,7295,ENSG00000136810
MGST1,4257,ENSG00000008394
PRDX4,10549,ENSG00000123131
PRDX6,9588,ENSG00000117592
HHEX,3087,ENSG00000152804
PRDX2,7001,ENSG00000167815
PRDX1,5052,ENSG00000117450
HMOX2,3163,
MBP,4155,ENSG00000197971
JUNB,3726,ENSG00000171223
