SYMBOL,ENTREZ,ENSEMBL
TLE4,7091,ENSG00000106829
PRM2,5620,ENSG00000122304
HSPA1L,3305,
SLC12A2,6558,ENSG00000064651
ZPBP,11055,ENSG00000042813
CHFR,55743,ENSG00000072609
HTR5A,3361,ENSG00000157219
CCT6B,10693,ENSG00000132141
ADAM2,2515,
THEG,,
ZC2HC1C,79696,ENSG00000119703
CNIH2,254263,ENSG00000174871
IFT88,8100,ENSG00000032742
MTNR1A,4543,ENSG00000168412
DPEP3,64180,ENSG00000141096
GAPDHS,26330,ENSG00000105679
SCG5,6447,
STAM2,10254,ENSG00000115145
SCG3,29106,ENSG00000104112
CHRM4,1132,ENSG00000180720
HOXB1,3211,ENSG00000120094
CLPB,81570,ENSG00000162129
AURKA,6790,ENSG00000087586
NCAPH,23397,ENSG00000121152
PEBP1,5037,ENSG00000089220
TUBA3C,7278,ENSG00000198033
AKAP4,8852,ENSG00000147081
CLGN,1047,ENSG00000153132
NPHP1,4867,ENSG00000144061
TEKT2,27285,ENSG00000092850
ADAD1,132612,ENSG00000164113
IL12RB2,3595,ENSG00000081985
JAM3,83700,ENSG00000166086
TALDO1,6888,ENSG00000177156
PIAS2,9063,ENSG00000078043
RPL39L,116832,ENSG00000163923
H1-6,3010,ENSG00000187475
CCNA1,8900,ENSG00000133101
MLLT10,8028,ENSG00000078403
GPR182,11318,ENSG00000166856
MEP1B,4225,ENSG00000141434
RAD17,5884,
KIF2C,11004,ENSG00000142945
EZH2,2146,ENSG00000106462
CFTR,1080,ENSG00000001626
CRISP2,7180,ENSG00000124490
HSPA4L,22824,ENSG00000164070
DDX4,54514,ENSG00000152670
ACTL7B,10880,ENSG00000148156
GFI1,2672,ENSG00000162676
SLC2A5,6518,ENSG00000142583
GMCL1,64395,ENSG00000087338
ACRBP,84519,ENSG00000111644
ART3,419,ENSG00000156219
CCNB2,9133,ENSG00000157456
PRKAR2A,5576,ENSG00000114302
PAPOLB,56903,ENSG00000218823
NEK2,4751,ENSG00000117650
ODF1,4956,ENSG00000155087
AGFG1,3267,ENSG00000173744
ZC3H14,79882,ENSG00000100722
PCSK1N,27344,ENSG00000102109
IL13RA2,3598,ENSG00000123496
TCP11,6954,ENSG00000124678
ACE,1636,ENSG00000159640
GSTM3,2947,ENSG00000134202
RFC4,5984,ENSG00000163918
NPY5R,4889,ENSG00000164129
PDHA2,5161,ENSG00000163114
STRBP,55342,ENSG00000165209
HSPA2,3306,ENSG00000126803
BRAF,673,ENSG00000157764
SIRT1,23411,ENSG00000096717
MLF1,4291,ENSG00000178053
SNAP91,9892,ENSG00000065609
LPIN1,23175,ENSG00000134324
DMC1,11144,ENSG00000100206
NF2,4771,ENSG00000186575
ACRV1,56,ENSG00000134940
CAMK4,814,ENSG00000152495
CDK1,983,ENSG00000170312
ARL4A,10124,ENSG00000122644
PSMG1,8624,ENSG00000183527
CDKN3,1033,ENSG00000100526
MAST2,23139,ENSG00000086015
ALOX15,246,ENSG00000161905
IDE,3416,ENSG00000119912
SPATA6,54558,ENSG00000132122
OAZ3,51686,ENSG00000143450
SHE,126669,ENSG00000169291
PCSK4,54760,ENSG00000115257
COIL,8161,ENSG00000121058
LDHC,3948,ENSG00000166796
PGS1,9489,ENSG00000087157
PGK2,5232,ENSG00000170950
TOPBP1,11073,ENSG00000163781
MAP7,9053,ENSG00000135525
DNAJB8,165721,ENSG00000179407
IP6K1,9807,ENSG00000176095
HBZ,3050,ENSG00000130656
DCC,1630,ENSG00000187323
TKTL1,8277,ENSG00000007350
PACRG,135138,ENSG00000112530
CSNK2A2,1459,ENSG00000070770
NAA11,84779,ENSG00000156269
PARP2,10038,
ELOVL3,83401,ENSG00000119915
DMRT1,1761,ENSG00000137090
GAD1,2571,ENSG00000128683
SEPTIN4,5414,ENSG00000108387
MTOR,2475,ENSG00000198793
TSN,7247,ENSG00000211460
ADCYAP1,116,ENSG00000141433
POMC,5443,ENSG00000115138
DBF4,10926,ENSG00000006634
VDAC3,7419,ENSG00000078668
TNP2,7142,ENSG00000178279
TSSK2,23617,ENSG00000206203
TNP1,7141,ENSG00000118245
DDX25,29118,ENSG00000109832
SYCP1,6847,ENSG00000198765
TTK,7272,ENSG00000112742
TULP2,7288,ENSG00000104804
YBX2,51087,
CST8,10047,ENSG00000125815
PHF7,51533,ENSG00000010318
ZNRF4,148066,ENSG00000105428
GRM8,2918,ENSG00000179603
GSG1,83445,ENSG00000111305
PHKG2,5261,ENSG00000156873
TNNI3,7137,ENSG00000129991
NOS1,4842,ENSG00000089250
NEFH,4744,ENSG00000100285
BUB1,699,ENSG00000169679
CLVS1,157807,ENSG00000177182
