SYMBOL,ENTREZ,ENSEMBL
TGFB1,7040,ENSG00000105329
ACVR1,90,ENSG00000115170
RHOA,387,ENSG00000067560
SMURF2,64750,ENSG00000108854
SMURF1,57154,ENSG00000198742
HIPK2,28996,ENSG00000064393
TGFBR1,7046,ENSG00000106799
PPP1CA,5499,ENSG00000172531
CDK9,1025,ENSG00000136807
SKI,6497,ENSG00000157933
RAB31,11031,ENSG00000168461
APC,324,ENSG00000134982
BMP2,650,ENSG00000125845
NCOR2,9612,ENSG00000196498
ID1,3397,ENSG00000125968
ID3,3399,
ID2,3398,ENSG00000115738
BMPR1A,657,ENSG00000107779
BCAR3,8412,ENSG00000137936
BMPR2,659,ENSG00000204217
SERPINE1,5054,ENSG00000106366
UBE2D3,7323,ENSG00000109332
PPP1R15A,23645,ENSG00000087074
ARID4B,51742,ENSG00000054267
CDH1,999,ENSG00000039068
MAP3K7,6885,ENSG00000135341
SKIL,6498,ENSG00000136603
SPTBN1,6711,ENSG00000115306
SMAD3,4088,ENSG00000166949
WWTR1,25937,ENSG00000018408
TGIF1,7050,ENSG00000177426
LEFTY2,7044,ENSG00000143768
NOG,9241,ENSG00000183691
IFNGR2,3460,
SMAD1,4086,ENSG00000170365
KLF10,7071,ENSG00000155090
SMAD7,4092,ENSG00000101665
SMAD6,4091,ENSG00000137834
PPM1A,5494,ENSG00000100614
FKBP1A,2280,ENSG00000088832
TJP1,7082,
XIAP,331,ENSG00000101966
ENG,2022,ENSG00000106991
TRIM33,51592,ENSG00000197323
CDKN1C,1028,
HDAC1,3065,ENSG00000116478
FURIN,5045,ENSG00000140564
CTNNB1,1499,ENSG00000168036
SLC20A1,6574,ENSG00000144136
THBS1,7057,ENSG00000137801
LTBP2,4053,ENSG00000119681
FNTA,2339,ENSG00000168522
PMEPA1,56937,ENSG00000124225
JUNB,3726,ENSG00000171223
