SYMBOL,ENTREZ,ENSEMBL
MARCKS,4082,ENSG00000277443
IL23A,51561,ENSG00000110944
NINJ1,4814,ENSG00000131669
TNFSF9,8744,ENSG00000125657
SIK1,150094,ENSG00000142178
ATF3,467,ENSG00000162772
SERPINE1,5054,ENSG00000106366
MYC,4609,ENSG00000136997
HES1,3280,ENSG00000114315
CCN1,3491,ENSG00000142871
CCNL1,57018,ENSG00000163660
EGR1,1958,ENSG00000120738
EGR2,1959,ENSG00000122877
EGR3,1960,ENSG00000179388
JAG1,182,ENSG00000101384
ABCA1,19,ENSG00000165029
GADD45B,4616,ENSG00000099860
GADD45A,1647,ENSG00000116717
KLF10,7071,ENSG00000155090
PLK2,10769,ENSG00000145632
EIF1,10209,ENSG00000173812
EHD1,10938,ENSG00000110047
FOSL2,2355,ENSG00000075426
FOSL1,8061,ENSG00000175592
GPR183,1880,ENSG00000169508
PLPP3,8613,ENSG00000162407
IFIT2,3433,ENSG00000119922
ICAM1,3383,ENSG00000090339
ZC3H12A,80149,ENSG00000163874
IER2,9592,ENSG00000160888
IL12B,3593,ENSG00000113302
IER5,51278,ENSG00000162783
JUNB,3726,ENSG00000171223
IER3,8870,
STAT5A,6776,ENSG00000126561
DUSP5,1847,ENSG00000138166
EDN1,1906,ENSG00000078401
DUSP4,1846,ENSG00000120875
JUN,3725,ENSG00000177606
DUSP1,1843,ENSG00000120129
DUSP2,1844,ENSG00000158050
TSC22D1,8848,ENSG00000102804
CCL20,6364,ENSG00000115009
SPHK1,8877,ENSG00000176170
LIF,3976,ENSG00000128342
IL18,3606,ENSG00000150782
TUBB2A,7280,ENSG00000137267
RHOB,388,ENSG00000143878
VEGFA,7422,ENSG00000112715
IL1A,3552,ENSG00000115008
PTPRE,5791,ENSG00000132334
TLR2,7097,ENSG00000137462
IL1B,3553,ENSG00000125538
BHLHE40,8553,ENSG00000134107
CLCF1,23529,ENSG00000175505
ID2,3398,ENSG00000115738
REL,5966,ENSG00000162924
FJX1,24147,ENSG00000179431
SGK1,6446,ENSG00000118515
BTG3,10950,
BTG2,7832,ENSG00000159388
BTG1,694,ENSG00000133639
SDC4,6385,ENSG00000124145
LITAF,9516,ENSG00000189067
AREG,374,ENSG00000109321
SOCS3,9021,ENSG00000184557
PANX1,24145,ENSG00000110218
RIPK2,8767,ENSG00000104312
NFIL3,4783,ENSG00000165030
SERPINB2,5055,ENSG00000197632
GCH1,2643,ENSG00000131979
