SYMBOL,ENTREZ,ENSEMBL
IMP3,55272,ENSG00000177971
ZBTB17,7709,ENSG00000116809
YIF1A,10897,ENSG00000174851
ERN1,2081,ENSG00000178607
CNOT6,57472,ENSG00000113300
DKC1,1736,ENSG00000130826
MTHFD2,10797,ENSG00000065911
PSAT1,29968,ENSG00000135069
CNOT2,4848,ENSG00000111596
CNOT4,4850,ENSG00000080802
PREB,10113,ENSG00000138073
TARS1,6897,ENSG00000113407
DCP1A,55802,ENSG00000272886
NHP2,55651,ENSG00000145912
ATF3,467,ENSG00000162772
ATP6V0D1,9114,ENSG00000159720
GEMIN4,50628,ENSG00000179409
NOLC1,9221,ENSG00000166197
PARN,5073,
SLC1A4,6509,ENSG00000115902
SDAD1,55153,ENSG00000198301
HSP90B1,7184,ENSG00000166598
KHSRP,8570,ENSG00000088247
EXOSC10,5394,ENSG00000171824
TATDN2,9797,ENSG00000157014
EXOSC5,56915,ENSG00000077348
IARS1,3376,
EXOSC9,5393,ENSG00000123737
KIF5B,3799,ENSG00000170759
CHAC1,79094,ENSG00000128965
BANF1,8815,ENSG00000175334
EXOSC4,54512,ENSG00000178896
EXOSC2,23404,ENSG00000130713
EXOSC1,51013,ENSG00000171311
TTC37,,
IGFBP1,3484,ENSG00000146678
NOP14,8602,ENSG00000087269
TSPYL2,64061,ENSG00000184205
XBP1,7494,ENSG00000100219
WFS1,7466,ENSG00000109501
EDEM1,9695,ENSG00000134109
NABP1,64859,ENSG00000173559
SLC30A5,64924,ENSG00000145740
LSM1,27257,ENSG00000175324
EEF2,1938,ENSG00000167658
EIF2S1,1965,ENSG00000134001
LSM4,25804,ENSG00000130520
PDIA6,10130,ENSG00000143870
PDIA5,10954,ENSG00000065485
ARFGAP1,55738,ENSG00000101199
EIF4G1,1981,ENSG00000114867
SRPRB,58477,ENSG00000144867
HYOU1,10525,
ATF6,22926,ENSG00000118217
ATF4,468,ENSG00000128272
EIF4EBP1,1978,ENSG00000187840
POP4,10775,ENSG00000105171
SRPRA,6734,ENSG00000182934
IFIT1,3434,ENSG00000185745
RRP9,9136,ENSG00000114767
EDC4,23644,ENSG00000038358
BAG3,9531,ENSG00000151929
SEC31A,22872,ENSG00000138674
RPS14,6208,ENSG00000164587
HSPA9,3313,ENSG00000113013
FUS,2521,ENSG00000089280
HSPA5,3309,ENSG00000044574
ASNS,440,ENSG00000070669
EIF2AK3,9451,ENSG00000172071
WIPI1,55062,ENSG00000070540
TUBB2A,7280,ENSG00000137267
VEGFA,7422,ENSG00000112715
SLC7A5,8140,ENSG00000103257
DNAJC3,5611,ENSG00000102580
ALDH18A1,5832,ENSG00000059573
CALR,811,ENSG00000179218
EXOC2,55770,ENSG00000112685
SHC1,6464,ENSG00000160691
CKS1B,1163,ENSG00000173207
STC2,8614,ENSG00000113739
SSR1,6745,ENSG00000124783
DNAJB9,4189,ENSG00000128590
EIF4E,1977,ENSG00000151247
NPM1,4869,ENSG00000181163
NFYB,4801,ENSG00000120837
DDX10,1662,ENSG00000178105
YWHAZ,7534,ENSG00000164924
SPCS3,60559,ENSG00000129128
SPCS1,28972,ENSG00000114902
XPOT,11260,ENSG00000184575
DDIT4,54541,ENSG00000168209
DNAJA4,55466,ENSG00000140403
KDELR3,11015,ENSG00000100196
DCP2,167227,ENSG00000172795
NOP56,10528,ENSG00000101361
EIF4A3,9775,
CEBPB,1051,ENSG00000172216
EIF4A2,1974,ENSG00000156976
H2AX,3014,ENSG00000188486
EIF4A1,1973,ENSG00000161960
SEC11A,23478,ENSG00000140612
ERO1A,30001,ENSG00000197930
CEBPG,1054,ENSG00000153879
FKBP14,55033,ENSG00000106080
GOSR2,9570,ENSG00000108433
CXXC1,30827,ENSG00000154832
DCTN1,1639,ENSG00000204843
HERPUD1,9709,ENSG00000051108
SERP1,27230,ENSG00000120742
MTREX,23517,ENSG00000039123
CCL2,6347,ENSG00000108691
NFYA,4800,ENSG00000001167
PAIP1,10605,ENSG00000172239
