SYMBOL,ENTREZ,ENSEMBL
KLHDC3,116138,ENSG00000124702
STARD3,10948,ENSG00000131748
PLCL1,5334,ENSG00000115896
PDAP1,11333,ENSG00000106244
TAP1,6890,
CCK,885,ENSG00000187094
MAPK8IP2,23542,ENSG00000008735
TUBA4A,7277,ENSG00000127824
OLFM1,10439,ENSG00000130558
POLE3,54107,ENSG00000148229
PSMC3,5702,ENSG00000165916
CYP1A1,1543,ENSG00000140465
PPIF,10105,ENSG00000108179
SELENOW,6415,ENSG00000178980
IL6ST,3572,ENSG00000134352
NPTXR,23467,ENSG00000221890
SQSTM1,8878,
TARS1,6897,ENSG00000113407
CDO1,1036,ENSG00000129596
FKBP4,2288,ENSG00000004478
GRINA,2907,ENSG00000178719
ATF3,467,ENSG00000162772
CHRNA5,1138,ENSG00000169684
HNRNPU,3192,ENSG00000153187
C4BPB,725,ENSG00000123843
AQP3,360,ENSG00000165272
GLS,2744,ENSG00000115419
NXF1,10482,ENSG00000162231
BCL2L11,10018,ENSG00000153094
CCND3,896,ENSG00000112576
RXRB,6257,
BSG,682,ENSG00000172270
AP2S1,1175,ENSG00000042753
MSX1,4487,ENSG00000163132
YKT6,10652,ENSG00000106636
E2F5,1875,ENSG00000133740
NPTX2,4885,ENSG00000106236
NKX2-5,1482,ENSG00000183072
KCNH2,3757,ENSG00000055118
IGFBP2,3485,ENSG00000115457
SIGMAR1,10280,ENSG00000147955
EPHX1,2052,ENSG00000143819
PRKCD,5580,ENSG00000163932
RAB27A,5873,ENSG00000069974
SLC6A12,6539,ENSG00000111181
NAT1,9,ENSG00000171428
EIF2S3,1968,ENSG00000130741
HLA-F,3134,
COL2A1,1280,ENSG00000139219
FGF18,8817,ENSG00000156427
EIF5,1983,ENSG00000100664
SLC6A8,6535,ENSG00000130821
DLG4,1742,ENSG00000132535
STK25,10494,ENSG00000115694
LHX2,9355,ENSG00000106689
PRPF3,9129,ENSG00000117360
PPT1,5538,ENSG00000131238
POLG2,11232,ENSG00000256525
CNP,1267,ENSG00000173786
TFRC,7037,ENSG00000072274
ENO2,2026,ENSG00000111674
ICAM1,3383,ENSG00000090339
NR4A1,3164,ENSG00000123358
SULT1A1,6817,
APOM,55937,
HTR7,3363,ENSG00000148680
RASGRP1,10125,ENSG00000172575
GRPEL1,80273,ENSG00000109519
UROD,7389,ENSG00000126088
PPAT,5471,ENSG00000128059
HMOX1,3162,ENSG00000100292
ATP6V1F,9296,ENSG00000128524
JUNB,3726,ENSG00000171223
ACAA1,30,ENSG00000060971
ATP6V1C1,528,ENSG00000155097
CYB5R1,51706,ENSG00000159348
MARK2,2011,ENSG00000072518
PRKACA,5566,
CYB5B,80777,ENSG00000103018
LYN,4067,ENSG00000254087
GPX3,2878,ENSG00000211445
RFC4,5984,ENSG00000163918
CHKA,1119,ENSG00000110721
GGH,8836,ENSG00000137563
ASNS,440,ENSG00000070669
CDC5L,988,ENSG00000096401
HSPA2,3306,ENSG00000126803
TACR3,6870,ENSG00000169836
RHOB,388,ENSG00000143878
MRPL23,6150,
IRF1,3659,ENSG00000125347
NFKBIA,4792,ENSG00000100906
BMP2,650,ENSG00000125845
IL6,3569,ENSG00000136244
MMP14,4323,ENSG00000157227
PTPRD,5789,ENSG00000153707
AGO2,27161,ENSG00000123908
CDK2,1017,ENSG00000123374
NUP58,9818,ENSG00000139496
TMBIM6,7009,ENSG00000139644
ALDOA,226,ENSG00000149925
SHOX2,6474,ENSG00000168779
RET,5979,ENSG00000165731
ABCB1,5243,ENSG00000085563
BTG3,10950,
SLC25A4,291,ENSG00000151729
BTG2,7832,ENSG00000159388
BTG1,694,ENSG00000133639
RRAD,6236,ENSG00000166592
AMD1,262,ENSG00000123505
MAOA,4128,ENSG00000189221
ONECUT1,3175,ENSG00000169856
RPN1,6184,ENSG00000163902
TGFBRAP1,9392,ENSG00000135966
CLTB,1212,ENSG00000175416
CXCL2,2920,ENSG00000081041
CTSV,1515,ENSG00000136943
STIP1,10963,ENSG00000168439
CA2,760,ENSG00000104267
DNAJB1,3337,ENSG00000132002
EPCAM,4072,ENSG00000119888
PDLIM3,27295,ENSG00000154553
SPR,6697,ENSG00000116096
CASP3,836,ENSG00000164305
NTRK3,4916,ENSG00000140538
PARP2,10038,
CDKN2B,1030,ENSG00000147883
DGAT1,8694,
GCH1,2643,ENSG00000131979
FMO1,2326,ENSG00000010932
FOS,2353,ENSG00000170345
CREG1,8804,ENSG00000143162
SOD2,6648,ENSG00000291237
GAL,51083,ENSG00000069482
DNAJA1,3301,ENSG00000086061
CDC34,997,ENSG00000099804
TST,7263,ENSG00000128311
CCNE1,898,ENSG00000105173
FOSB,2354,ENSG00000125740
TYRO3,7301,ENSG00000092445
FEN1,2237,ENSG00000168496
H2AX,3014,ENSG00000188486
CDKN1C,1028,
ALAS1,211,ENSG00000023330
FURIN,5045,ENSG00000140564
CEBPG,1054,ENSG00000153879
WIZ,58525,ENSG00000011451
DDX21,9188,ENSG00000165732
TCHH,7062,ENSG00000159450
ARRB2,409,ENSG00000141480
CLCN2,1181,ENSG00000114859
HSPA13,6782,ENSG00000155304
PPP1R2,5504,ENSG00000184203
HYAL2,8692,ENSG00000068001
BAK1,578,ENSG00000030110
POLR2H,5437,ENSG00000163882
BID,637,ENSG00000015475
MGAT1,4245,ENSG00000131446
