SYMBOL,ENTREZ,ENSEMBL
FZD1,8321,ENSG00000157240
JAG1,182,ENSG00000101384
JAG2,3714,ENSG00000184916
FZD8,8325,ENSG00000177283
WNT5B,81029,ENSG00000111186
AXIN2,8313,ENSG00000168646
AXIN1,8312,ENSG00000103126
PTCH1,5727,ENSG00000185920
CSNK1E,1454,ENSG00000213923
DKK1,22943,ENSG00000107984
DKK4,27121,ENSG00000104371
ADAM17,6868,ENSG00000151694
KAT2A,2648,ENSG00000108773
NCOR2,9612,ENSG00000196498
TCF7,6932,ENSG00000081059
PPARD,5467,ENSG00000112033
TP53,7157,ENSG00000141510
NUMB,8650,ENSG00000133961
HDAC5,10014,ENSG00000108840
LEF1,51176,ENSG00000138795
NOTCH4,4855,
NOTCH1,4851,ENSG00000148400
HDAC11,79885,ENSG00000163517
HDAC2,3066,ENSG00000196591
CTNNB1,1499,ENSG00000168036
MAML1,9794,
CUL1,8454,ENSG00000055130
PSEN2,5664,
DLL1,28514,
GNAI1,2770,ENSG00000127955
NKD1,85407,ENSG00000140807
RBPJ,3516,ENSG00000168214
WNT6,7475,ENSG00000115596
FRAT1,10023,ENSG00000165879
CCND2,894,ENSG00000118971
HEY2,23493,ENSG00000135547
HEY1,23462,ENSG00000164683
DVL2,1856,ENSG00000004975
MYC,4609,ENSG00000136997
WNT1,7471,ENSG00000125084
NCSTN,23385,ENSG00000162736
SKP2,6502,ENSG00000145604
