SYMBOL,ENTREZ,ENSEMBL
SLC12A4,6560,ENSG00000124067
IL1R1,3554,ENSG00000115594
ENTPD5,957,ENSG00000187097
ECH1,1891,
UPB1,51733,ENSG00000100024
PC,5091,ENSG00000173599
NINJ1,4814,ENSG00000131669
SPINT2,10653,ENSG00000167642
RBP4,5950,ENSG00000138207
MTHFD1,4522,ENSG00000100714
CYP1A2,1544,ENSG00000140505
CYP1A1,1543,ENSG00000140465
EPHA2,1969,ENSG00000142627
CDO1,1036,ENSG00000129596
CDA,978,ENSG00000158825
CES1,1066,
CYFIP2,26999,ENSG00000055163
ENPEP,2028,ENSG00000138792
ITIH4,3700,ENSG00000055955
SLC46A3,283537,ENSG00000139508
ADH1C,126,ENSG00000248144
RETSAT,54884,
AQP9,366,ENSG00000103569
SERPINE1,5054,ENSG00000106366
SLC35B1,10237,ENSG00000121073
LCAT,3931,ENSG00000213398
ITIH1,3697,ENSG00000055957
PSMB10,5699,ENSG00000205220
NFS1,9054,ENSG00000244005
HES6,55502,ENSG00000144485
LONP1,9361,ENSG00000196365
PTGDS,5730,ENSG00000107317
GABARAPL1,23710,ENSG00000139112
CYP4F2,8529,ENSG00000186115
PMM1,5372,ENSG00000100417
IGF1,3479,ENSG00000017427
SLC6A12,6539,ENSG00000111181
SLC6A6,6533,ENSG00000131389
CYP27A1,1593,ENSG00000135929
VNN1,8876,ENSG00000112299
POR,5447,ENSG00000127948
CYP2S1,29785,ENSG00000167600
HPRT1,3251,ENSG00000165704
PEMT,10400,ENSG00000133027
PTGES,9536,ENSG00000148344
CFB,629,
NMT1,4836,ENSG00000136448
SLC22A1,6580,ENSG00000175003
SLC35D1,23169,ENSG00000116704
ACSM1,116285,ENSG00000166743
TMEM97,27346,ENSG00000109084
ARPP19,10776,ENSG00000128989
ADH7,131,ENSG00000196344
ADH5,128,ENSG00000197894
MT2A,4502,ENSG00000125148
TDO2,6999,
HMOX1,3162,ENSG00000100292
ASL,435,ENSG00000126522
PDK4,5166,ENSG00000004799
APOE,348,ENSG00000130203
CCL25,6370,ENSG00000131142
GSTM4,2948,ENSG00000168765
JUP,3728,ENSG00000173801
PTGES3,10728,ENSG00000110958
SSR3,6747,ENSG00000114850
TYR,7299,ENSG00000077498
UGDH,7358,ENSG00000109814
ID2,3398,ENSG00000115738
GART,2618,
HRG,3273,ENSG00000113905
MAOA,4128,ENSG00000189221
ABHD6,57406,ENSG00000163686
CROT,54677,ENSG00000005469
CSAD,51380,ENSG00000139631
SERPINA6,866,
HNF4A,3172,ENSG00000101076
TTPA,7274,ENSG00000137561
CD36,948,ENSG00000135218
HSD11B1,3290,ENSG00000117594
MPP2,4355,ENSG00000108852
NQO1,1728,ENSG00000181019
CBR1,873,ENSG00000159228
ARG1,383,ENSG00000118520
ELOVL5,60481,ENSG00000012660
ARG2,384,ENSG00000081181
GCH1,2643,ENSG00000131979
AKR1C2,1646,ENSG00000151632
GSTO1,9446,ENSG00000148834
GAD1,2571,ENSG00000128683
MCCC2,64087,
TMEM176B,28959,ENSG00000106565
FMO1,2326,ENSG00000010932
AKR1C3,8644,ENSG00000196139
FMO3,2328,ENSG00000007933
DHRS1,115817,
GNMT,27232,ENSG00000124713
PGRMC1,10857,ENSG00000101856
PTGR1,22949,ENSG00000106853
DHRS7,51635,ENSG00000100612
TPST1,8460,ENSG00000169902
ANGPTL3,27329,ENSG00000132855
CYP2E1,1571,ENSG00000130649
PPARD,5467,ENSG00000112033
FABP1,2168,ENSG00000163586
AHCY,191,ENSG00000101444
GCNT2,2651,
PTS,5805,ENSG00000150787
CYP17A1,1586,ENSG00000148795
SERTAD1,29950,ENSG00000197019
XDH,7498,ENSG00000158125
MARCHF6,10299,ENSG00000145495
G6PC,,
TGFB2,7042,ENSG00000092969
F11,2160,ENSG00000088926
GSR,2936,ENSG00000104687
F10,2159,ENSG00000126218
GSS,2937,ENSG00000100983
FAH,2184,ENSG00000103876
PINK1,65018,ENSG00000158828
FAS,355,ENSG00000026103
GSTA3,2940,ENSG00000174156
FETUB,26998,ENSG00000090512
KARS1,3735,ENSG00000065427
PROS1,5627,ENSG00000184500
SLC1A5,6510,ENSG00000105281
FBLN1,2192,ENSG00000077942
COMT,1312,ENSG00000093010
NDRG2,57447,ENSG00000165795
CNDP2,55748,ENSG00000133313
PAPSS2,9060,ENSG00000198682
ATOH8,84913,ENSG00000168874
HSD17B2,3294,ENSG00000086696
IDH1,3417,ENSG00000138413
IGFBP1,3484,ENSG00000146678
GCKR,2646,ENSG00000084734
EPHX1,2052,ENSG00000143819
IGFBP4,3487,ENSG00000141753
AP4B1,10717,ENSG00000134262
ESR1,2099,ENSG00000091831
PGD,5226,ENSG00000142657
GCLC,2729,ENSG00000001084
DDAH2,23564,
ALDH3A1,218,ENSG00000108602
BCAT1,586,ENSG00000060982
BLVRB,645,ENSG00000090013
REG1A,5967,ENSG00000115386
GSTT2,2953,
ETS2,2114,ENSG00000157557
CYP2C18,1562,ENSG00000108242
VTN,7448,ENSG00000109072
HACL1,26061,ENSG00000131373
CYP2J2,1573,ENSG00000134716
ABCC2,1244,ENSG00000023839
ABCC3,8714,ENSG00000108846
DHPS,1725,ENSG00000095059
PYCR1,5831,ENSG00000183010
NPC1,4864,ENSG00000141458
CYB5A,1528,ENSG00000166347
TNFRSF1A,7132,ENSG00000067182
CYP26A1,1592,ENSG00000095596
ACOX3,8310,ENSG00000087008
ACOX2,8309,ENSG00000168306
