SYMBOL,ENSEMBL
PSRC1,ENSG00000134222
CKAP2,ENSG00000136108
CDCA8,ENSG00000134690
HELLS,ENSG00000119969
TTK,ENSG00000112742
EXO1,ENSG00000174371
TOP2A,ENSG00000131747
CDC6,ENSG00000094804
MCM4,ENSG00000104738
MRPL36,ENSG00000171421
KIF23,ENSG00000137807
USP1,ENSG00000162607
POLD3,ENSG00000077514
CDCA2,ENSG00000184661
TMPO,ENSG00000120802
SMC4,ENSG00000113810
CKAP5,ENSG00000175216
UHRF1,ENSG00000276043
RPA2,ENSG00000117748
CTCF,ENSG00000102974
CKS2,ENSG00000123975
KIF2C,ENSG00000142945
ECT2,ENSG00000114346
WDR76,ENSG00000092470
BLM,ENSG00000197299
DLGAP5,ENSG00000126787
RRM1,ENSG00000167325
NEK2,ENSG00000117650
BIRC5,ENSG00000089685
CENPU,ENSG00000151725
HMMR,ENSG00000072571
PIMREG,ENSG00000129195
CDC45,ENSG00000093009
ANP32E,ENSG00000143401
GTSE1,ENSG00000075218
CENPA,ENSG00000115163
PRIM1,ENSG00000198056
POLA1,ENSG00000101868
UNG,ENSG00000076248
G2E3,ENSG00000092140
MCM6,ENSG00000076003
CKAP2L,ENSG00000169607
JPT1,ENSG00000189159
BUB1,ENSG00000169679
MCM2,ENSG00000073111
FEN1,ENSG00000168496
UBE2C,ENSG00000175063
KIF20B,ENSG00000138182
NCAPD2,ENSG00000010292
TYMS,ENSG00000176890
NASP,ENSG00000132780
HMGB2,ENSG00000164104
CHAF1B,ENSG00000159259
ANLN,ENSG00000011426
BRIP1,ENSG00000136492
RAD51,ENSG00000051180
DTL,ENSG00000143476
MSH2,ENSG00000095002
CDCA3,ENSG00000111665
LBR,ENSG00000143815
DSCC1,ENSG00000136982
PCNA,ENSG00000132646
NUSAP1,ENSG00000137804
RFC2,ENSG00000049541
CDCA7,ENSG00000144354
CENPF,ENSG00000117724
CBX5,ENSG00000094916
RAD51AP1,ENSG00000111247
HJURP,ENSG00000123485
POLR1B,ENSG00000125630
KIF11,ENSG00000138160
CDC25C,ENSG00000158402
CENPE,ENSG00000138778
UBR7,ENSG00000278787
UBR7,ENSG00000012963
GAS2L3,ENSG00000139354
GINS2,ENSG00000131153
SLBP,ENSG00000163950
AURKB,ENSG00000178999
NDC80,ENSG00000080986
CLSPN,ENSG00000092853
MKI67,ENSG00000148773
MCM7,ENSG00000166508
TACC3,ENSG00000013810
RRM2,ENSG00000171848
CASP8AP2,ENSG00000288475
CASP8AP2,ENSG00000118412
RANGAP1,ENSG00000100401
CDK1,ENSG00000170312
CDC20,ENSG00000117399
NUF2,ENSG00000143228
ATAD2,ENSG00000156802
MCM5,ENSG00000100297
TPX2,ENSG00000088325
AURKA,ENSG00000087586
CCNB2,ENSG00000157456
E2F8,ENSG00000129173
CKS1B,ENSG00000173207
CCNE2,ENSG00000175305
TUBB4B,ENSG00000188229
TIPIN,ENSG00000075131
GMNN,ENSG00000112312
