symbol,entrez,ensembl
ABL1,25,ENSG00000097007
AMD1,262,ENSG00000123505
ARID4A,5926,ENSG00000032219
ATF5,22809,ENSG00000169136
ATRX,546,ENSG00000085224
AURKA,6790,ENSG00000087586
AURKB,9212,ENSG00000178999
BARD1,580,ENSG00000138376
BCL3,602,ENSG00000069399
BIRC5,332,ENSG00000089685
BRCA2,675,ENSG00000139618
BUB1,699,ENSG00000169679
BUB3,9184,ENSG00000154473
CASP8AP2,9994,ENSG00000118412
CASP8AP2,9994,ENSG00000288475
CBX1,10951,ENSG00000108468
CCNA2,890,ENSG00000145386
CCNB2,9133,ENSG00000157456
CCND1,595,ENSG00000110092
CCNF,899,ENSG00000162063
CCNT1,904,ENSG00000129315
CDC20,991,ENSG00000117399
CDC25A,993,ENSG00000164045
CDC25B,994,ENSG00000101224
CDC27,996,ENSG00000004897
CDC45,8318,ENSG00000093009
CDC6,990,ENSG00000094804
CDC7,8317,ENSG00000097046
CDK1,983,ENSG00000170312
CDK4,1019,ENSG00000135446
CDKN1B,1027,ENSG00000111276
CDKN2C,1031,ENSG00000123080
CDKN3,1033,ENSG00000100526
CENPA,1058,ENSG00000115163
CENPE,1062,ENSG00000138778
CENPF,1063,ENSG00000117724
CHAF1A,10036,ENSG00000167670
CHEK1,1111,ENSG00000149554
CHMP1A,5119,ENSG00000131165
CKS1B,1163,ENSG00000173207
CKS2,1164,ENSG00000123975
CTCF,10664,ENSG00000102974
CUL1,8454,ENSG00000055130
CUL3,8452,ENSG00000036257
CUL4A,8451,ENSG00000139842
CUL5,8065,ENSG00000166266
DBF4,10926,ENSG00000006634
DDX39A,10212,ENSG00000123136
DKC1,1736,ENSG00000130826
DMD,1756,ENSG00000198947
DR1,1810,ENSG00000117505
DTYMK,1841,ENSG00000168393
E2F1,1869,ENSG00000101412
E2F2,1870,ENSG00000007968
E2F2,1870,ENSG00000282899
E2F3,1871,ENSG00000112242
E2F4,1874,ENSG00000205250
EFNA5,1946,ENSG00000184349
EGF,1950,ENSG00000138798
ESPL1,9700,ENSG00000135476
EWSR1,2130,ENSG00000182944
EXO1,9156,ENSG00000174371
EZH2,2146,ENSG00000106462
FANCC,2176,ENSG00000158169
FBXO5,26271,ENSG00000112029
FOXN3,1112,ENSG00000053254
G3BP1,10146,ENSG00000145907
GINS2,51659,ENSG00000131153
GSPT1,2935,ENSG00000103342
H2AX,3014,ENSG00000188486
H2AZ1,3015,ENSG00000164032
H2AZ2,94239,ENSG00000105968
H2BC12,85236,ENSG00000197903
HIF1A,3091,ENSG00000100644
HIRA,7290,ENSG00000100084
HMGA1,3159,ENSG00000137309
HMGB3,3149,ENSG00000029993
HMGN2,3151,ENSG00000198830
HMMR,3161,ENSG00000072571
HNRNPD,3184,ENSG00000138668
HNRNPU,3192,ENSG00000153187
HOXC10,3226,ENSG00000180818
HSPA8,3312,ENSG00000109971
HUS1,3364,ENSG00000136273
ILF3,3609,ENSG00000129351
INCENP,3619,ENSG00000149503
JPT1,51155,ENSG00000189159
KATNA1,11104,ENSG00000186625
KIF11,3832,ENSG00000138160
KIF15,56992,ENSG00000163808
KIF15,56992,ENSG00000280610
KIF20B,9585,ENSG00000138182
KIF22,3835,ENSG00000079616
KIF23,9493,ENSG00000137807
KIF2C,11004,ENSG00000142945
KIF4A,24137,ENSG00000090889
KIF5B,3799,ENSG00000170759
KMT5A,387893,ENSG00000183955
KNL1,57082,ENSG00000137812
KPNA2,3838,ENSG00000182481
KPNB1,3837,ENSG00000108424
LBR,3930,ENSG00000143815
LIG3,3980,ENSG00000005156
LMNB1,4001,ENSG00000113368
MAD2L1,4085,ENSG00000164109
MAP3K20,51776,ENSG00000091436
MAPK14,1432,ENSG00000112062
MARCKS,4082,ENSG00000277443
MCM2,4171,ENSG00000073111
MCM3,4172,ENSG00000112118
