SYMBOL,ENTREZ,ENSEMBL
ACOT8,10005,ENSG00000101473
AOC3,8639,ENSG00000131471
H2AZ1,3015,ENSG00000164032
ACSL1,2180,ENSG00000151726
ECH1,1891,
ACSL5,51703,ENSG00000197142
SDHD,6392,ENSG00000204370
ACSL4,2182,ENSG00000068366
CIDEA,1149,ENSG00000176194
SDHC,6391,ENSG00000143252
SDHA,6389,ENSG00000073578
GSTZ1,2954,ENSG00000100577
GPD1,2819,ENSG00000167588
GPD2,2820,ENSG00000115159
XIST,7503,ENSG00000229807
ACOT2,10965,ENSG00000119673
CYP1A1,1543,ENSG00000140465
GAPDHS,26330,ENSG00000105679
SUCLG2,8801,ENSG00000172340
ERP29,10961,ENSG00000089248
SUCLG1,8802,ENSG00000163541
CRAT,1384,ENSG00000095321
ADH1C,126,ENSG00000248144
HPGD,3248,ENSG00000164120
RETSAT,54884,
ODC1,4953,ENSG00000115758
AQP7,364,ENSG00000165269
DLST,1743,ENSG00000119689
HSD17B4,3295,ENSG00000133835
PDHB,5162,ENSG00000168291
CPOX,1371,ENSG00000080819
HSD17B7,51478,ENSG00000132196
UBE2L6,9246,ENSG00000156587
NTHL1,4913,ENSG00000065057
TP53INP2,58476,ENSG00000078804
KMT5A,387893,ENSG00000183955
NBN,4683,ENSG00000104320
S100A10,6281,ENSG00000197747
ACSS1,84532,ENSG00000154930
IDH1,3417,ENSG00000138413
GABARAPL1,23710,ENSG00000139112
EPHX1,2052,ENSG00000143819
NCAPH2,29781,ENSG00000025770
UROS,7390,ENSG00000188690
CEL,1056,ENSG00000170835
MIF,4282,
ALDH3A2,224,ENSG00000072210
VNN1,8876,ENSG00000112299
REEP6,92840,ENSG00000115255
FASN,2194,ENSG00000169710
ALDH3A1,218,ENSG00000108602
OSTC,58505,ENSG00000198856
SMS,6611,ENSG00000102172
PSME1,5720,
GCDH,2639,ENSG00000105607
BLVRA,644,ENSG00000106605
SLC22A5,6584,ENSG00000197375
ACSM3,6296,ENSG00000005187
ECI1,1632,ENSG00000167969
ECI2,10455,ENSG00000198721
ENO2,2026,ENSG00000111674
CD1D,912,ENSG00000158473
ENO3,2027,ENSG00000108515
ADH7,131,ENSG00000196344
HSPH1,10808,ENSG00000120694
IL4I1,259307,ENSG00000104951
PRDX6,9588,ENSG00000117592
LGALS1,3956,ENSG00000100097
TDO2,6999,
UROD,7389,ENSG00000126088
GLUL,2752,ENSG00000135821
ACAA2,10449,ENSG00000167315
ACAA1,30,ENSG00000060971
HADH,3033,ENSG00000138796
DECR1,1666,ENSG00000104325
BCKDHB,594,ENSG00000083123
HSP90AA1,3320,ENSG00000080824
HMGCS2,3158,ENSG00000134240
PDHA1,5160,ENSG00000131828
HMGCS1,3157,ENSG00000112972
CYP4A11,1579,ENSG00000187048
INMT,11185,ENSG00000241644
DHCR24,1718,ENSG00000116133
GRHPR,9380,ENSG00000137106
UGDH,7358,ENSG00000109814
ACOX1,51,ENSG00000161533
ACO2,50,ENSG00000100412
SERINC1,57515,ENSG00000111897
ALDOA,226,ENSG00000149925
METAP1,23173,ENSG00000164024
MGLL,11343,ENSG00000074416
BMPR1B,658,ENSG00000138696
IDI1,3422,ENSG00000067064
MAOA,4128,ENSG00000189221
RAP1GDS1,5910,ENSG00000138698
EHHADH,1962,ENSG00000113790
ETFDH,2110,ENSG00000171503
ADIPOR2,79602,
ECHS1,1892,ENSG00000127884
PTPRG,5793,ENSG00000144724
ACAT2,39,ENSG00000120437
CA2,760,ENSG00000104267
ALAD,210,ENSG00000148218
AUH,549,ENSG00000148090
LDHA,3939,
CA4,762,ENSG00000167434
CPT2,1376,ENSG00000157184
CA6,765,ENSG00000131686
RDH11,51109,ENSG00000072042
ME1,4199,ENSG00000065833
RDH16,8608,ENSG00000139547
HAO2,51179,ENSG00000116882
D2HGDH,728294,ENSG00000180902
CD36,948,ENSG00000135218
HIBCH,26275,ENSG00000198130
YWHAH,7533,ENSG00000128245
CBR3,874,ENSG00000159231
CBR1,873,ENSG00000159228
CPT1A,1374,ENSG00000110090
HSDL2,84263,ENSG00000119471
PPARA,5465,ENSG00000186951
AADAT,51166,ENSG00000109576
ELOVL5,60481,ENSG00000012660
IDH3G,3421,ENSG00000067829
MDH2,4191,ENSG00000146701
ADSL,158,ENSG00000239900
CCDC58,,
G0S2,50486,ENSG00000123689
GAD2,2572,ENSG00000136750
FMO1,2326,ENSG00000010932
FABP2,2169,ENSG00000145384
HADHB,3032,ENSG00000138029
ALDH1A1,216,ENSG00000165092
SUCLA2,8803,ENSG00000136143
APEX1,328,
DLD,1738,ENSG00000091140
ALDH9A1,223,ENSG00000143149
FABP1,2168,ENSG00000163586
FH,2271,ENSG00000091483
ACADVL,37,ENSG00000072778
CYP4A22,284541,ENSG00000162365
HCCS,3052,ENSG00000004961
HSD17B11,51170,ENSG00000198189
BPHL,670,ENSG00000137274
HSD17B10,3028,ENSG00000072506
LTC4S,4056,
PTS,5805,ENSG00000150787
CRYZ,1429,ENSG00000116791
HMGCL,3155,ENSG00000117305
MCEE,84693,ENSG00000124370
NSDHL,50814,
ACADM,34,ENSG00000117054
ACADL,33,ENSG00000115361
MLYCD,23417,ENSG00000103150
MDH1,4190,ENSG00000014641
PCBD1,5092,ENSG00000166228
ACADS,35,ENSG00000122971
IDH3B,3420,ENSG00000101365
